"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreEnd","scoreStartAgst","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5","transferKeyPctile","netpppPctile","opppPctile","dpppPctile"
"695e29eb0e9e0b79ee640790","2750314-105097-1","2026-01-03T04:07:43Z","41098","2750314","3","1","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","1","1","0","227","10:00","06:13","227","0","12","0","4","12","4","8","6","7","6","7","0","0","0","0","2","3","0","2","1","2","5","2","2","0","3","0","2","3","0","0","1","03:47","3","1","0.8571","","","5.93","6.93","6.43","2.0236","0.5772","1.4464","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.95","0.96","0.71"
"695e29ea0e9e0b79ee640367","2750314-105097-2","2026-01-03T04:07:43Z","41098","2750314","4","2","105097","LMU (CA)","30","1","false","true","true","2270840-2291259-2291264-1688590-2481512","1","1","227","285","06:13","05:15","58","12","14","4","4","2","0","2","1","3","1","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","00:58","0","1","0.3333","","","3","2","2.5","0.6667","0","0.6667","2270840","Ivana Krajina","2291259","Allison Clarke","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones","0","0.77","0.34","1"
"695e29e70e9e0b79ee63d6cd","2750314-105097-3","2026-01-03T04:07:43Z","41098","2750314","5","3","105097","LMU (CA)","30","1","false","true","false","1925105-2291259-2291264-2481512-1696172","1","1","285","373","05:15","03:47","88","14","17","4","6","3","2","1","1","2","0","1","1","1","0","0","1","0","0","1","1","1","3","1","2","0","1","0","1","0","0","0","1","01:28","2","1","0","1","","0.93","1.93","1.43","3.2258","1.0363","2.1895","1925105","Andjela Matic","2291259","Allison Clarke","2291264","Zawadi Ogot","2481512","Kayla Jones","1696172","Paula Reus Piza","","","",""
"695e29ea0e9e0b79ee640503","2750314-105097-4","2026-01-03T04:07:43Z","41098","2750314","6","4","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2291259-1688590-2118064","1","1","373","406","03:47","03:14","33","17","19","6","6","2","0","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","00:33","0","1","1","","","1","0.93","0.965","2","0","2","2138783","Jess Lawson","1925105","Andjela Matic","2291259","Allison Clarke","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"695e29ea0e9e0b79ee6406ce","2750314-105097-5","2026-01-03T04:07:43Z","41098","2750314","7","5","105097","LMU (CA)","30","1","false","true","true","2138783-2270840-2291259-1688590-2118064","1","1","406","541.8","03:14","00:58","135.8","19","19","6","8","0","2","-2","0","3","0","3","0","0","0","0","0","1","4","2","2","1","3","1","2","0","1","0","0","1","2","1","0","02:16","4","1","0","","","4.86","4","4.43","0","0.5","-0.5","2138783","Jess Lawson","2270840","Ivana Krajina","2291259","Allison Clarke","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.27","0.13","0.78"
"695e29e60e9e0b79ee63cad6","2750314-105097-6","2026-01-03T04:07:43Z","41098","2750314","8","6","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","1","1","541.8","564.5","00:58","00:35","22.7","19","19","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","00:23","0","0","","","","0","0","0","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"695e29e70e9e0b79ee63db4a","2750314-105097-7","2026-01-03T04:07:43Z","41098","2750314","9","7","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2291259-1688590-2118064","1","1","564.5","600","00:35","00:00","35.5","19","19","8","11","0","3","-3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0","00:36","0","1","0","","","1","1.6","1.3","0","1.875","-1.875","2138783","Jess Lawson","1925105","Andjela Matic","2291259","Allison Clarke","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"695e29eb0e9e0b79ee640abd","2750314-105097-8","2026-01-03T04:07:43Z","41098","2750314","9","8","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2291259-1688590-2118064","2","2","600","674","10:00","08:46","74","19","21","11","13","2","2","0","1","2","1","2","0","0","0","0","0","0","0","1","0","1","2","1","1","0","1","0","0","0","0","1","0","01:14","1","1","0.5","","","2","2","2","1","1","0","2138783","Jess Lawson","1925105","Andjela Matic","2291259","Allison Clarke","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"695e29e70e9e0b79ee63d271","2750314-105097-9","2026-01-03T04:07:43Z","41098","2750314","10","9","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2291259-2118064-1696172","2","2","674","764","08:46","07:16","90","21","23","13","15","2","2","0","1","4","1","4","0","0","0","0","0","1","0","2","0","1","3","1","2","0","1","1","0","1","0","3","1","01:30","2","4","0.25","","","4","3.6867","3.8434","0.5","0.5425","-0.0425","2138783","Jess Lawson","1925105","Andjela Matic","2291259","Allison Clarke","2118064","Maya Hernandez","1696172","Paula Reus Piza","0","0.44","0.23","0.72"
"695e29eb0e9e0b79ee641062","2750314-105097-10","2026-01-03T04:07:43Z","41098","2750314","11","10","105097","LMU (CA)","30","1","false","true","false","1925105-2291259-2291264-2481512-1696172","2","2","764","803","07:16","06:37","39","23","23","15","17","0","2","-2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","00:39","0","0","","","","0","1","0.5","","2","","1925105","Andjela Matic","2291259","Allison Clarke","2291264","Zawadi Ogot","2481512","Kayla Jones","1696172","Paula Reus Piza","","","",""
