"Lineup Stint","Player ID 1","Player ID 2","Player ID 3","Player ID 4","Player ID 5","Name 1","Name 2","Name 3","Name 4","Name 5","Period","Game Clock Start","Game Clock End","Stint Duration","Score Start","Opponent Score Start","Score End","Opponent Score End","Point Differential","Lead/Tie","Points Scored","Offensive PPP","Offensive PPP %ile","2 Pointers Made","2-Point Attempts","2-Point Pct","3 Pointers Made","3-Point Attempts","3-Point Pct","Assists","Rebounds","Turnovers","Points Against","Defensive PPP","Defensive PPP %ile","Opponent 2-Pointers Made","Opponent 2-Point Attempts","Opponent 2-Point Pct","Opponent 3-Pointers Made","Opponent 3-Point Attempts","Opponent 3-Point Pct","Opponent Assists","Opponent Rebounds","Opponent Turnovers"
"1","2138783","1925105","2270840","1688590","2118064","Jess Lawson","Andjela Matic","Ivana Krajina","Carly Heidger","Maya Hernandez","q1","10:00","06:44","03:16","0","0","6","2","4","Lead","6","1.2712","0.71","3","7","0.4286","0","1","0","1","6","1","2","0.4","0.83","1","2","0.5","0","1","0","0","1","2"
"2","2138783","1925105","2270840","2481512","1696172","Jess Lawson","Andjela Matic","Ivana Krajina","Kayla Jones","Paula Reus Piza","q1","06:44","04:20","02:24","6","2","10","4","2","","4","1","0.56","2","3","0.6667","0","1","0","0","0","0","2","0.4115","0.81","1","2","0.5","0","1","0","0","4","4"
"3","1925105","2291264","1688590","2481512","1696172","Andjela Matic","Zawadi Ogot","Carly Heidger","Kayla Jones","Paula Reus Piza","q1","04:20","02:52","01:28","10","4","12","6","0","","2","0.5425","0.25","1","3","0.3333","0","0","","0","1","1","2","1.0363","0.38","1","2","0.5","0","0","","0","3","1"
"4","1925105","2291264","1688590","2118064","1696172","Andjela Matic","Zawadi Ogot","Carly Heidger","Maya Hernandez","Paula Reus Piza","q1","02:52","01:59","00:53","12","6","12","9","-3","","0","0","","0","2","0","0","0","","0","1","0","3","1.5544","","0","2","0","1","1","1","1","3","0"
"5","2138783","2270840","2291259","2118064","1696172","Jess Lawson","Ivana Krajina","Allison Clarke","Maya Hernandez","Paula Reus Piza","q1","01:59","00:00","01:59","12","9","17","15","-1","","5","2.5907","","1","2","0.5","1","1","1","1","2","0","6","2","","0","0","","2","3","0.6667","2","0","0"
"6","2138783","2270840","2291259","2118064","1696172","Jess Lawson","Ivana Krajina","Allison Clarke","Maya Hernandez","Paula Reus Piza","q2","10:00","07:53","02:07","17","15","21","20","-1","","4","1.3652","0.77","2","3","0.6667","0","0","","1","2","1","5","1.6667","0.11","1","1","1","1","2","0.5","2","0","0"
"7","2138783","1925105","2270840","1688590","2118064","Jess Lawson","Andjela Matic","Ivana Krajina","Carly Heidger","Maya Hernandez","q2","07:53","06:25","01:28","21","20","27","20","6","","6","1.6997","0.9","1","3","0.3333","0","0","","0","3","0","0","0","1","0","1","0","0","1","0","0","1","1"
"8","1925105","2270840","2291264","1688590","2481512","Andjela Matic","Ivana Krajina","Zawadi Ogot","Carly Heidger","Kayla Jones","q2","06:25","05:48","00:37","27","20","27","20","0","","0","0","","0","1","0","0","0","","0","1","0","0","0","","0","0","","0","0","","0","0","1"
"9","1925105","2270840","2291264","2481512","1696172","Andjela Matic","Ivana Krajina","Zawadi Ogot","Kayla Jones","Paula Reus Piza","q2","05:48","03:44","02:04","27","20","30","24","-1","","3","0.5556","0.26","0","1","0","1","1","1","1","0","3","4","1.0178","0.4","2","2","1","0","1","0","0","3","2"
"10","1925105","2291264","1688590","2481512","1696172","Andjela Matic","Zawadi Ogot","Carly Heidger","Kayla Jones","Paula Reus Piza","q2","03:44","02:52","00:52","30","24","33","24","3","","3","3","","0","0","","1","1","1","1","0","0","0","0","","0","0","","0","0","","0","0","1"
