combo_string,interval_num,minutes,PM_p40,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,pts_for,pts_against,o_poss,d_poss,plus_minus,off_rtg,def_rtg,net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40,combo_size,interval_len,interval_start,interval_end,player1,player2,player3
IK-MH-CH,1,66.243,6.6422112525097,7.142208127529231,-1.2652325282654573,-7.01415603730787,5.748923509042413,110,99,115.167,109.03,11,95.51347174103692,90.80069705585618,4.712774685180747,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,IK,MH,CH
AM-MH-CH,1,63.536,-9.443465122135482,-8.94346824711595,-16.881596154874146,-3.9771825891493364,-12.90441356572481,82,97,102.632,103.37,-15,79.89710811442824,93.83767050401471,-13.940562389586475,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AM,MH,CH
JL-MH-CH,1,63.417,7.568948389233171,8.068945264252703,0.9093452259760397,-5.152928720269998,6.062273946246037,111,99,113.627,106.84,12,97.68804949527842,92.66192437289405,5.0261251223843715,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,JL,MH,CH
JL-IK-CH,1,62.959,0.6353341063231627,1.1353309813426937,-5.977689544560519,-7.512905957428927,1.535216412868408,97,96,106.827,106.31,1,90.80101472474186,90.30194713573512,0.4990675890067422,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,JL,IK,CH
JL-IK-MH,1,58.712,10.219375936776126,10.719372811795658,-2.0222096966917036,-8.51986814871384,6.4976584520221365,101,86,106.589,96.31,15,94.75649457261068,89.2949849444502,5.461509628160471,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,JL,IK,MH
AM-IK-CH,1,58.404,-10.27326895418122,-9.773272079161687,-24.93513583049436,-11.08279320674174,-13.85234262375262,69,84,96.042,96.85,-15,71.84356843880802,86.7320598864223,-14.888491447614285,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AM,IK,CH
JL-AM-CH,1,58.132000000000005,-2.7523567054290234,-2.2523598304094925,-12.079022154529085,-8.265759119291317,-3.8132630352377674,81,85,95.632,94.92,-4,84.6996821147733,89.54909397387273,-4.849411859099433,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,JL,AM,CH
AM-IK-MH,1,56.756,-0.7047713017125943,-0.20477442669306317,-21.88324584668395,-14.07524884882794,-7.807996997856009,72,73,96.134,87.175,-1,74.89545842261843,83.7396042443361,-8.844145821717674,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AM,IK,MH
JL-AM-MH,1,53.522000000000006,5.978849818766114,6.478846693785645,-6.154570529404296,-8.196603558713406,2.04203302930911,85,77,93.794,85.92,8,90.62413373989808,89.61824953445064,1.005884205447444,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,JL,AM,MH
JL-AM-IK,1,53.346000000000004,-2.9992876691785697,-2.4992907941590388,-19.339936209475397,-11.15365154731559,-8.186284662159807,70,74,90.394,85.39,-4,77.43876805982698,86.66120154584846,-9.222433486021473,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,JL,AM,IK
AC-MH-CH,1,38.19,-4.189578423671119,-3.6895815486515877,8.22438405682486,10.131173893342705,-1.906789836517845,68,72,64.76,66.7,-4,105.00308832612724,107.94602698650675,-2.942938660379511,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AC,MH,CH
ZO-MH-CH,1,36.598,7.650691294606263,8.150688169625795,12.01259242696193,-3.255869989769238,15.268462416731168,68,61,62.504999999999995,64.51,7,108.79129669626431,94.55898310339481,14.232313592869502,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,ZO,MH,CH
