players, plus_minus, o_poss, d_poss, pts_for, pts_against, minutes, off_rtg, def_rtg, net_rtg, PM_p40, team_PM_p40, team_off_rtg, team_def_rtg
IK     , 67        ,  546.9,  540.4,     570,         503,   333.7,  104.22,   93.07, 11.14  , 8.03  ,        2.44,       104.16,       100.66
MH     , 62        ,  643.0,  627.1,     677,         615,   375.6,  105.28,   98.07, 7.21   , 6.6   ,        2.44,       104.16,       100.66
JL     , 39        ,  596.6,  585.5,     650,         611,   354.2,  108.95,  104.36, 4.59   , 4.4   ,        2.44,       104.16,       100.66
PR     , 11        ,  308.6,  303.8,     313,         302,   184.1,  101.43,   99.42, 2.02   , 2.39  ,        2.44,       104.16,       100.66
AM     , 22        ,  731.6,  735.2,     752,         730,   446.7,  102.79,   99.29, 3.5    , 1.97  ,        2.44,       104.16,       100.66
CH     , 14        ,  633.4,  633.2,     661,         647,   384.6,  104.36,  102.19, 2.17   , 1.46  ,        2.44,       104.16,       100.66
ZO     , 3         ,  362.5,  367.0,     377,         374,   216.9,  103.99,  101.9 , 2.09   , 0.55  ,        2.44,       104.16,       100.66
AC     , -23       ,  410.8,  415.1,     415,         438,   245.4,  101.01,  105.52, -4.51  , -3.75 ,        2.44,       104.16,       100.66
MS     , -2        ,   28.7,   29.1,      28,          30,    17.3,   97.49,  103.03, -5.54  , -4.62 ,        2.44,       104.16,       100.66
KJ     , -14       ,  170.9,  180.8,     174,         188,   110.8,  101.8 ,  103.98, -2.17  , -5.05 ,        2.44,       104.16,       100.66
AM7    , -15       ,   41.7,   48.2,      42,          57,    27.9,  100.82,  118.31, -17.49 , -21.52,        2.44,       104.16,       100.66
