players, plus_minus, o_poss, d_poss, pts_for, pts_against, minutes, off_rtg, def_rtg, net_rtg, PM_p40, team_PM_p40, team_off_rtg, team_def_rtg
IK     , 56        ,  206.4,  202.2,     239,         183,   128.9,  115.77,   90.51, 25.25  , 17.38 ,        5.66,       104.28,        95.89
LL     , 1         ,    4.0,    5.0,       6,           5,     2.6,  150.0 ,  100.16, 49.84  , 15.19 ,        5.66,       104.28,        95.89
MH     , 38        ,  233.5,  227.1,     246,         208,   138.8,  105.33,   91.59, 13.74  , 10.95 ,        5.66,       104.28,        95.89
ZO     , 20        ,  128.1,  126.2,     133,         113,    77.3,  103.84,   89.57, 14.27  , 10.35 ,        5.66,       104.28,        95.89
CH     , 25        ,  235.4,  230.9,     254,         229,   144.0,  107.9 ,   99.19, 8.7    , 6.95  ,        5.66,       104.28,        95.89
JL     , 14        ,  220.3,  219.0,     234,         220,   134.6,  106.21,  100.48, 5.73   , 4.16  ,        5.66,       104.28,        95.89
AM     , 17        ,  291.9,  290.2,     294,         277,   177.9,  100.71,   95.45, 5.25   , 3.82  ,        5.66,       104.28,        95.89
PR     , 3         ,   94.6,   89.7,      86,          83,    54.9,   90.94,   92.51, -1.58  , 2.19  ,        5.66,       104.28,        95.89
AC     , -8        ,  137.2,  146.9,     134,         142,    85.8,   97.64,   96.68, 0.96   , -3.73 ,        5.66,       104.28,        95.89
MS     , -1        ,   14.3,   12.9,      13,          14,     8.3,   91.16,  108.38, -17.22 , -4.85 ,        5.66,       104.28,        95.89
KJ     , -9        ,   77.7,   82.9,      75,          84,    50.6,   96.54,  101.32, -4.78  , -7.11 ,        5.66,       104.28,        95.89
AM7    , -11       ,   30.0,   35.7,      31,          42,    21.3,  103.44,  117.59, -14.15 , -20.64,        5.66,       104.28,        95.89
