file,lineup_count,non_unique_lineup_count,minutes_mean,minutes_median,minutes_min,minutes_max,minutes_std,lineup_density
251205.csv,18,29,2.22,1.57,0.0,11.3,2.73,1.61
251213.csv,17,30,2.35,2.1,0.03,8.2,2.31,1.76
251220.csv,19,34,2.11,1.27,0.0,9.55,2.49,1.79
251221.csv,18,29,2.22,1.71,1.05,6.35,1.55,1.61
251228.csv,21,41,2.38,2.1,0.48,7.07,1.68,1.95
251230.csv,20,32,2.0,1.44,0.03,11.66,2.45,1.6
260102.csv,17,28,2.35,2.12,0.5,7.51,1.95,1.65
260104.csv,24,33,1.88,0.79,0.0,15.32,3.12,1.38
260108.csv,20,32,2.25,1.58,0.02,7.41,1.92,1.6
260115.csv,12,20,3.33,1.42,0.18,22.63,6.23,1.67
260117.csv,17,20,2.35,1.8,0.2,8.07,2.1,1.18
260122.csv,19,34,2.11,1.17,0.05,10.28,2.61,1.79
260124.csv,17,28,2.35,1.55,0.08,10.0,2.71,1.65
