lineup,poss_total,PM_p40,plus_minus,net_rtg,minutes,o_poss,d_poss,pts_for,pts_against,o_eFG%,o_TOV%,o_orbR,o_ftaR,off_rtg,d_eFG%,d_TOV%,d_orbR,d_ftaR,def_rtg,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40
JL-AM-IK-MH-CH,394.252,14.725,46,18.325,124.955,202.005,192.248,223,177,0.49,0.114,0.163,0.196,110.393,0.464,0.218,0.13,0.194,92.069,12.281,6.236,-8.594,14.83,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-AC-MH-CH,126.588,0.0,0,3.299,35.728,62.262,64.327,64,64,0.347,0.128,0.273,0.403,102.792,0.537,0.295,0.171,0.829,99.492,-2.444,-1.366,-1.171,-0.195,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-ZO-MH-CH,82.005,-20.262,-13,-22.853,25.663,39.43,42.575,41,54,0.407,0.127,0.279,0.186,103.982,0.597,0.211,0.164,0.389,126.835,-22.707,-0.176,26.172,-26.348,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-IK-MH-PR,85.741,12.936,8,13.634,24.737,43.76,41.981,56,48,0.419,0.183,0.297,0.784,127.971,0.597,0.191,0.119,0.278,114.337,10.492,23.813,13.674,10.14,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-IK-ZO-MH-CH,73.165,-15.473,-9,-12.084,23.267,34.455,38.71,35,44,0.552,0.174,0.145,0.276,101.582,0.542,0.181,0.181,0.222,113.666,-17.917,-2.576,13.003,-15.578,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-IK-PR-CH,56.9,-15.109,-7,-19.657,18.532,27.72,29.18,24,31,0.37,0.18,0.18,0.435,86.58,0.583,0.343,0.206,0.167,106.237,-17.554,-17.577,5.574,-23.152,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-ZO-MH-PR,62.045,22.251,10,40.448,17.977,29.52,32.525,31,21,0.44,0.136,0.136,0.48,105.014,0.381,0.338,0.061,0.381,64.566,19.807,0.856,-36.097,36.953,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AC-IK-MH-CH,48.7,0.0,0,5.002,14.73,23.78,24.92,26,26,0.432,0.21,0.252,0.364,109.336,0.523,0.241,0.161,0.136,104.334,-2.444,5.178,3.671,1.507,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-IK-ZO-KJ-CH,44.59,30.303,10,33.659,13.2,24.19,20.4,20,10,0.413,0.165,0.124,0.043,82.679,0.357,0.294,0.0,0.071,49.02,27.859,-21.479,-51.644,30.165,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-ZO-KJ-PR,37.207,0.0,0,8.577,12.402,17.617,19.59,15,15,0.469,0.17,0.114,0.062,85.146,0.469,0.306,0.153,0.125,76.57,-2.444,-19.011,-24.093,5.082,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-AC-MH-PR,45.813,3.309,1,-6.17,12.088,24.19,21.623,22,21,0.429,0.165,0.124,0.286,90.947,0.447,0.324,0.277,0.316,97.117,0.865,-13.211,-3.546,-9.665,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-ZO-MH-CH,43.3,-25.184,-7,-8.068,11.118,19.32,23.98,21,28,0.469,0.207,0.207,0.562,108.696,0.524,0.292,0.25,0.286,116.764,-27.628,4.538,16.101,-11.563,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-IK-ZO-MH-PR,36.25,21.654,6,15.638,11.083,19.73,16.52,21,15,0.679,0.304,0.051,0.143,106.437,0.406,0.242,0.242,0.125,90.799,19.21,2.279,-9.864,12.143,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AC-IK-KJ-CH,30.05,-12.623,-3,-8.661,9.507,14.25,15.8,15,18,0.367,0.211,0.351,0.267,105.263,0.667,0.19,0.0,0.167,113.924,-15.067,1.106,13.261,-12.155,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-IK-KJ-CH,26.385,32.812,7,78.455,8.533,11.055,15.33,13,6,0.423,0.09,0.271,0.154,117.594,0.25,0.391,0.065,0.1,39.139,30.368,13.436,-61.524,74.96,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AC-IK-ZO-MH-CH,24.79,31.373,6,55.143,7.65,11.93,12.86,14,8,0.583,0.084,0.084,0.0,117.351,0.5,0.544,0.156,0.0,62.208,28.928,13.194,-38.455,51.648,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AC-ZO-MH-CH,29.26,36.697,7,38.451,7.63,15.33,13.93,18,11,0.6,0.13,0.065,1.1,117.417,0.643,0.431,0.144,0.714,78.966,34.253,13.259,-21.697,34.956,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-IK-ZO-MH-CH,33.595,52.992,10,51.551,7.548,17.395,16.2,24,14,0.731,0.115,0.172,0.769,137.971,0.643,0.37,0.0,1.143,86.42,50.547,33.813,-14.243,48.056,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-IK-ZO-PR-CH,25.33,-21.818,-4,-12.345,7.333,10.93,14.4,7,11,0.35,0.183,0.091,0.0,64.044,0.5,0.278,0.0,0.1,76.389,-24.263,-40.114,-24.274,-15.839,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-ZO-PR-CH,22.66,-10.992,-2,-36.57,7.278,12.0,10.66,17,19,0.773,0.083,0.0,0.0,141.667,0.667,0.094,0.188,0.778,178.236,-13.436,37.509,77.573,-40.064,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-IK-MH-CH,22.53,-22.378,-4,-40.659,7.15,11.8,10.73,4,8,0.188,0.254,0.0,0.25,33.898,0.438,0.28,0.093,0.25,74.557,-24.822,-70.259,-26.106,-44.153,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-AC-KJ-CH,25.38,-63.279,-11,-89.975,6.953,12.85,12.53,11,22,0.308,0.311,0.311,0.231,85.603,0.818,0.08,0.08,0.364,175.579,-65.723,-18.554,74.915,-93.47,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-ZO-KJ-CH,21.11,-60.521,-9,-68.988,5.948,9.92,11.19,10,19,0.318,0.202,0.403,0.273,100.806,0.722,0.268,0.268,0.667,169.794,-62.966,-3.351,69.131,-72.482,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
