lineup,poss_total,PM_p40,plus_minus,net_rtg,minutes,o_poss,d_poss,pts_for,pts_against,o_eFG%,o_TOV%,o_orbR,o_ftaR,off_rtg,d_eFG%,d_TOV%,d_orbR,d_ftaR,def_rtg,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40
JL-AM-IK-MH-CH,176.146,18.975,26,27.061,54.81,89.123,87.022,104,78,0.522,0.056,0.123,0.167,116.693,0.442,0.218,0.149,0.169,89.632,13.316,12.418,-6.258,18.676,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
JL-AM-AC-MH-CH,53.255,2.682,1,9.324,14.913,25.752,27.503,23,22,0.267,0.078,0.349,0.333,89.314,0.467,0.327,0.109,1.0,79.99,-2.976,-14.961,-15.9,0.939,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
AM-IK-ZO-MH-CH,38.645,-3.26,-1,-0.385,12.27,18.925,19.72,22,23,0.667,0.264,0.159,0.267,116.248,0.559,0.254,0.203,0.294,116.633,-8.919,11.973,20.743,-8.769,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
JL-AM-IK-PR-CH,32.04,0.0,0,-5.834,11.1,16.46,15.58,17,17,0.5,0.122,0.182,0.267,103.281,0.567,0.449,0.385,0.0,109.114,-5.659,-0.994,13.224,-14.218,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
AM-AC-ZO-MH-CH,26.705,-22.514,-5,-27.056,8.883,12.85,13.855,16,21,0.406,0.078,0.389,0.188,124.514,0.654,0.217,0.217,0.308,151.57,-28.173,20.238,55.68,-35.441,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
AM-IK-ZO-KJ-CH,31.26,36.364,8,38.255,8.8,17.26,14.0,14,6,0.406,0.174,0.116,0.062,81.112,0.375,0.429,0.0,0.0,42.857,30.705,-23.163,-53.033,29.87,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
AM-AC-ZO-MH-PR,31.13,9.328,2,20.491,8.577,14.73,16.4,12,10,0.167,0.136,0.068,1.333,81.466,0.318,0.183,0.0,0.545,60.976,3.669,-22.809,-34.915,12.106,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
JL-AC-IK-KJ-CH,23.39,-5.642,-1,-6.478,7.09,11.59,11.8,13,14,0.458,0.173,0.259,0.167,112.166,0.6,0.085,0.0,0.2,118.644,-11.3,7.891,22.754,-14.863,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
AM-AC-ZO-KJ-PR,21.547,11.893,2,19.611,6.727,10.687,10.86,8,6,0.444,0.187,0.094,0.111,74.859,0.333,0.368,0.184,0.0,55.249,6.234,-29.416,-40.642,11.226,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
AM-IK-ZO-MH-PR,18.8,16.162,2,7.727,4.95,10.0,8.8,11,9,0.917,0.4,0.0,0.0,110.0,0.875,0.455,0.0,0.5,102.273,10.503,5.725,6.383,-0.658,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
JL-AM-AC-MH-PR,19.277,-17.778,-2,-10.13,4.5,8.93,10.347,6,8,0.429,0.336,0.112,0.0,67.189,0.312,0.387,0.193,0.375,77.319,-23.436,-37.086,-18.571,-18.515,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
JL-AM-AC-KJ-CH,14.39,-100.763,-11,-140.894,4.367,6.86,7.53,4,15,0.333,0.437,0.146,0.0,58.309,0.786,0.0,0.133,0.571,199.203,-106.422,-45.966,103.313,-149.279,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
JL-AC-IK-MH-CH,9.0,26.966,2,70.0,2.967,4.0,5.0,6,4,1.0,0.25,0.0,0.0,150.0,0.667,0.4,0.0,0.0,80.0,21.308,45.725,-15.89,61.615,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
JL-AM-IK-ZO-MH,9.13,59.259,4,64.494,2.7,5.2,3.93,6,2,0.667,0.192,0.0,1.0,115.385,0.333,0.509,0.254,0.0,50.891,53.601,11.109,-45.0,56.109,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
JL-AM-ZO-MH-AM7,9.0,-14.824,-1,-50.0,2.698,5.0,4.0,5,6,0.625,0.2,0.0,0.0,100.0,0.75,0.0,0.0,0.0,150.0,-20.483,-4.275,54.11,-58.385,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
MS-AC-KJ-LL-AM7,8.992,15.19,1,49.85,2.633,4.0,4.992,6,5,0.75,0.0,0.0,0.0,150.0,0.0,0.401,0.601,2.0,100.15,9.531,45.725,4.26,41.465,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
