player1,player2,player3,minutes,pts_for,pts_against,o_poss,d_poss,plus_minus,off_rtg,def_rtg,net_rtg,PM_p40,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg
AM,MH,CH,235.524,401,389,386.67199999999997,385.17,12,103.70546613150165,100.99436612404911,2.7111000074525435,2.0380088653385644,-0.4064491594282402,-0.45201372636189774,0.33121968489604114,-0.7832334112579389
JL,AM,MH,221.585,408,363,375.067,363.219,45,108.78056453913567,99.93970579732888,8.840858741806784,8.123293544238102,5.678835519471297,4.623084681272118,-0.7234406418241832,5.3465253230963015
JL,AM,CH,217.828,380,348,355.002,354.585,32,107.04165046957482,98.14289944583105,8.89875102374377,5.876195897680739,3.431737872913934,2.8841706117112693,-2.5202469933220186,5.404417605033288
AM,IK,CH,208.63,331,295,330.955,330.928,36,100.0135970146999,89.1432577479089,10.870339266790992,6.902171308057326,4.457713283290522,-4.143882843163652,-11.519888691244162,7.37600584808051
JL,MH,CH,205.339,384,326,347.892,340.465,58,110.37908316374048,95.75139882219906,14.62768434154141,11.298389492497773,8.853931467730968,6.221603305876926,-4.911747616954003,11.133350922830928
AM,IK,MH,200.17,350,297,328.75,314.584,53,106.4638783269962,94.41039595147878,12.053482375517419,10.590997651995805,8.146539627229,2.3063984691326453,-6.252750487674291,8.559148956806936
JL,IK,MH,187.614,369,293,321.46,301.599,76,114.7887762085485,97.14886322567384,17.639912982874662,16.203481616510494,13.75902359174369,10.631296350684948,-3.5142832134792314,14.14557956416418
IK,MH,CH,186.63,328,279,304.365,297.528,49,107.76534752681812,93.7726869403888,13.992660586429324,10.502062905213524,8.05760488044672,3.607867668954569,-6.890459498764272,10.498327167718841
JL,IK,CH,185.752,327,274,299.205,295.538,53,109.28961748633881,92.71227388694516,16.577343599393657,11.413066884878763,8.968608860111958,5.132137628475263,-7.950872552207912,13.083010180683175
JL,AM,IK,185.743,329,277,300.33,293.069,52,109.54616588419405,94.51699087928098,15.029175004913071,11.198268575397188,8.753810550630384,5.388686026330504,-6.146155559872085,11.534841586202589
AM,AC,MH,108.346,171,182,185.062,189.375,-11,92.40146545482054,96.10561056105611,-3.704145106235572,-4.061063629483322,-6.505521654250127,-11.756014403043011,-4.557535878096957,-7.198478524946054
AM,AC,CH,104.313,167,208,176.052,178.872,-41,94.8583373094313,116.28427031620376,-21.425933006772453,-15.721913855415911,-18.166371880182716,-9.299142548432243,15.621123877050692,-24.920266425482936
AC,MH,CH,102.397,173,180,174.662,175.942,-7,99.04844785929394,102.3064418956247,-3.257994036330757,-2.73445511098958,-5.1789131357563845,-5.1090319985696055,1.643295456471634,-6.7523274550412395
AM,ZO,CH,102.129,168,199,162.835,172.57500000000002,-31,103.17192249823441,115.31218310879328,-12.140260610558869,-12.14150730938323,-14.585965334150035,-0.9855573596291407,14.64903666964021,-15.634594029269351
AM,ZO,MH,100.663,170,175,163.98499999999999,173.04,-5,103.66801841631859,101.1326860841424,2.535332332176182,-1.986827334770472,-4.431285359537276,-0.48946144154496096,0.4695396449893394,-0.9590010865343004
JL,AC,CH,89.051,161,174,151.117,153.637,-13,106.53996572192408,113.25396877054355,-6.714003048619475,-5.839350484553795,-8.2838085093206,2.382485864060527,12.590822331390484,-10.208336467329957
ZO,MH,CH,86.57300000000001,160,166,144.99,153.255,-6,110.35243809917925,108.31620501778083,2.0362330813984215,-2.772226906772319,-5.216684931539124,6.194958241315703,7.653058578627764,-1.458100337312061
JL,AC,MH,82.479,153,145,147.52,143.99,8,103.71475054229936,100.70143759983333,3.0133129424660297,3.8797754579953687,1.435317433228564,-0.44272931556419337,0.038291160680259395,-0.48102047624445277
JL,AM,PR,78.987,150,148,135.337,131.504,2,110.8344355202199,112.54410512227766,-1.7096696020577582,1.012824895235925,-1.4316331295308797,6.676955662356349,11.88095868312459,-5.204003020768241
AM,IK,PR,78.249,127,127,125.78999999999999,129.206,0,100.96192066141982,98.29264894819126,2.669271713228568,0.0,-2.4444580247668046,-3.1955591964437247,-2.37049749096181,-0.8250617054819145
AM,MH,PR,75.37,142,116,136.6,129.514,26,103.95314787701318,89.56560680698611,14.38754107002707,13.798593604882578,11.354135580115774,-0.20433198085036963,-11.097539632166956,10.893207651316587
AM,AC,ZO,75.025,122,133,116.077,126.94,-11,105.10264738061804,104.77390893335435,0.3287384472636887,-5.864711762745751,-8.309169787512555,0.9451675227544882,4.110762494201282,-3.1655949714467937
AM,AC,PR,74.22,128,109,126.117,126.053,19,101.49305803341342,86.47156354866604,15.021494484747379,10.239827539746699,7.795369514979894,-2.6644218244501303,-14.191582890487027,11.527161066036896
JL,AM,AC,69.486,124,134,122.36200000000001,121.27,-10,101.33865088834769,110.49723756906079,-9.1585866807131,-5.75655527732205,-8.201013302088855,-2.818828969515863,9.83409112990772,-12.652920099423582
AC,ZO,MH,68.994,116,109,114.898,118.02,7,100.95911155981827,92.35722758854432,8.60188397127395,4.058323912224251,1.6138658874574467,-3.198368298045281,-8.305918850608748,5.107550552563467
