lineup,poss_total,PM_p40,plus_minus,net_rtg,minutes,o_poss,d_poss,pts_for,pts_against,o_eFG%,o_TOV%,o_orbR,o_ftaR,off_rtg,d_eFG%,d_TOV%,d_orbR,d_ftaR,def_rtg,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40
JL-AM-IK-MH-CH,36.711,45.675,11,52.209,9.633,19.78,16.931,15,4,0.342,0.303,0.303,0.158,75.834,0.083,0.413,0.177,0.333,23.625,4.675,-39.467,-34.653,-4.813,40.0,41,81,40,70.251,68.636,138.887,115.301,58.278,57.023,41.0
JL-AM-AC-ZO-KJ,19.73,96.97,12,118.89,4.95,10.0,9.73,16,4,0.889,0.1,0.0,0.0,160.0,0.167,0.411,0.103,0.333,41.11,55.97,44.699,-17.168,61.867,40.0,41,81,40,70.251,68.636,138.887,115.301,58.278,57.023,41.0
MS-AC-ZO-LL-AM7,15.347,29.268,3,43.243,4.1,7.487,7.86,8,5,0.7,0.267,0.134,0.6,106.856,0.312,0.254,0.254,0.0,63.613,-11.732,-8.445,5.335,-13.78,40.0,41,81,40,70.251,68.636,138.887,115.301,58.278,57.023,41.0
JL-AM-IK-MH-AM7,10.79,-10.48,-1,2.25,3.817,4.93,5.86,6,7,0.5,0.0,0.203,0.0,121.704,0.583,0.341,0.341,0.0,119.454,-51.48,6.403,61.176,-54.773,40.0,41,81,40,70.251,68.636,138.887,115.301,58.278,57.023,41.0
AC-IK-ZO-KJ-PR,10.263,53.631,4,82.073,2.983,4.998,5.265,6,2,0.5,0.0,0.2,0.4,120.06,0.5,0.57,0.19,1.0,37.987,12.631,4.759,-20.291,25.05,40.0,41,81,40,70.251,68.636,138.887,115.301,58.278,57.023,41.0
IK-ZO-KJ-PR-CH,10.087,98.476,7,136.932,2.843,5.087,5.0,9,2,0.8,0.0,0.197,0.4,176.932,0.25,0.2,0.0,0.0,40.0,57.476,61.631,-18.278,79.909,40.0,41,81,40,70.251,68.636,138.887,115.301,58.278,57.023,41.0
AM-AC-ZO-KJ-PR,8.93,15.385,1,57.125,2.6,3.73,5.2,5,4,0.5,0.0,0.268,0.5,134.048,0.25,0.0,0.0,0.75,76.923,-25.615,18.747,18.645,0.102,40.0,41,81,40,70.251,68.636,138.887,115.301,58.278,57.023,41.0
MS-JL-ZO-KJ-AM7,6.19,-31.373,-2,-136.664,2.55,3.73,2.46,4,6,0.5,0.268,0.268,0.667,107.239,0.333,0.0,0.813,1.333,243.902,-72.373,-8.062,185.624,-193.687,40.0,41,81,40,70.251,68.636,138.887,115.301,58.278,57.023,41.0
AM-AC-ZO-MH-CH,1.59,-52.174,-2,-273.973,1.533,0.86,0.73,0,2,0.0,0.0,2.326,0.0,0.0,0.0,0.0,1.37,2.0,273.973,-93.174,-115.301,215.694,-330.996,40.0,41,81,40,70.251,68.636,138.887,115.301,58.278,57.023,41.0
JL-AM-AC-MH-PR,7.53,53.933,2,13.138,1.483,4.73,2.8,4,2,0.5,0.423,0.211,0.667,84.567,0.0,0.357,0.0,2.0,71.429,12.933,-30.734,13.15,-43.885,40.0,41,81,40,70.251,68.636,138.887,115.301,58.278,57.023,41.0
AM-IK-ZO-KJ-PR,5.2,110.345,4,178.571,1.45,2.4,2.8,6,2,1.25,0.0,0.0,0.5,250.0,0.0,0.357,0.0,2.0,71.429,69.345,134.699,13.15,121.549,40.0,41,81,40,70.251,68.636,138.887,115.301,58.278,57.023,41.0
AM-IK-ZO-MH-PR,3.93,0.0,0,0.0,1.033,1.93,2.0,0,0,0.0,0.518,0.518,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-41.0,-115.301,-58.278,-57.023,40.0,41,81,40,70.251,68.636,138.887,115.301,58.278,57.023,41.0
JL-AM-AC-MH-CH,0.79,0.0,0,-0.0,0.55,-0.21,1.0,0,0,0.0,-0.0,-14.286,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,-41.0,-115.301,-58.278,-57.023,40.0,41,81,40,70.251,68.636,138.887,115.301,58.278,57.023,41.0
MS-ZO-KJ-PR-CH,1.8,169.014,2,250.0,0.473,0.8,1.0,2,0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,128.014,134.699,-58.278,192.977,40.0,41,81,40,70.251,68.636,138.887,115.301,58.278,57.023,41.0
