interval_num,interval_len,lineup,minutes,rel_PM_p40,PM_p40,o_poss,d_poss,plus_minus,net_rtg,off_rtg,def_rtg,poss_total,rel_net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40,interval_start,interval_end,pts_for,pts_against,net_pts,o_eFG%,d_eFG%,o_TOV%,d_TOV%,o_orbR,d_orbR,o_ftaR,d_ftaR,rel_off_rtg,rel_def_rtg
1,4,JL-AM-IK-MH-CH,32.862,2.934,2.434,56.592,50.19,2,-5.481,74.216,79.697,106.782,-4.445,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,42,40,2,0.316,0.414,0.194,0.239,0.159,0.06,0.327,0.457,-22.563,-18.118
1,4,JL-AM-AC-MH-CH,9.39,-12.28,-12.78,16.19,17.73,-3,-7.8,105.003,112.803,33.92,-6.764,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,17,20,-3,0.429,0.65,0.185,0.226,0.247,0.113,0.429,1.2,8.224,14.988
1,4,JL-AC-IK-MH-CH,9.3,0.5,0.0,14.92,15.92,0,8.42,134.048,125.628,30.84,9.456,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,20,20,0,0.406,0.531,0.0,0.188,0.268,0.251,0.5,0.188,37.269,27.813
1,4,AM-IK-ZO-MH-CH,8.533,-8.875,-9.375,11.53,13.06,-2,-4.137,95.403,99.541,24.59,-3.101,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,11,13,-2,0.5,0.462,0.087,0.077,0.173,0.153,0.4,0.231,-1.376,1.726
1,4,AM-AC-ZO-MH-CH,8.1,-29.13,-29.63,10.79,14.59,-6,-21.813,74.143,95.956,25.38,-20.777,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,8,14,-6,0.333,0.429,0.185,0.206,0.278,0.206,0.0,0.143,-22.636,-1.859
1,4,JL-IK-ZO-MH-CH,7.548,53.492,52.992,17.395,16.2,10,51.551,137.971,86.42,33.595,52.587,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,24,14,10,0.731,0.643,0.115,0.37,0.172,0.0,0.769,1.143,41.192,-11.395
1,4,JL-AM-IK-MH-PR,6.852,35.528,35.028,12.682,9.8,6,26.444,118.281,91.837,22.482,27.48,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,15,9,6,0.5,0.583,0.158,0.306,0.237,0.0,0.455,0.333,21.502,-5.978
1,4,AC-IK-ZO-MH-CH,6.183,26.376,25.876,10.93,10.86,4,36.125,109.79,73.665,21.79,37.161,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,12,8,4,0.545,0.667,0.091,0.645,0.091,0.184,0.0,0.0,13.011,-24.15
1,4,JL-AM-IK-PR-CH,6.048,-45.794,-46.294,9.26,11.6,-7,-49.453,53.996,103.448,20.86,-48.417,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,5,12,-7,0.0,0.562,0.324,0.172,0.216,0.0,1.0,0.5,-42.783,5.633
1,4,JL-AM-IK-KJ-CH,4.167,-18.7,-19.2,6.0,8.4,-2,-4.762,66.667,71.429,14.4,-3.726,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,4,6,-2,0.4,0.625,0.167,0.476,0.0,0.0,0.0,0.25,-30.112,-26.386
1,4,JL-AC-ZO-PR-CH,3.973,-49.836,-50.336,5.0,5.0,-5,-100.0,100.0,200.0,10.0,-98.964,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,5,10,-5,0.833,1.25,0.4,0.2,0.0,0.0,0.0,0.0,3.221,102.185
1,4,JL-AM-AC-KJ-PR,3.617,44.74,44.24,5.8,5.93,4,71.233,172.414,101.18,11.73,72.269,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,10,6,4,1.125,0.5,0.172,0.169,0.0,0.169,0.5,0.0,75.635,3.366
1,4,AM-IK-ZO-PR-CH,3.217,-36.806,-37.306,5.93,8.4,-3,-25.797,33.727,59.524,14.33,-24.761,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,2,5,-3,0.2,0.4,0.337,0.357,0.169,0.0,0.0,0.2,-63.052,-38.291
1,4,AM-AC-ZO-KJ-CH,2.983,-93.355,-93.855,4.79,5.73,-7,-108.465,83.507,191.972,10.52,-107.429,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,4,11,-7,0.25,1.125,0.0,0.349,0.626,0.175,0.0,0.5,-13.272,94.157
1,4,AM-IK-ZO-MH-PR,2.95,-26.619,-27.119,3.93,3.86,-2,-52.736,50.891,103.627,7.79,-51.7,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,2,4,-2,0.25,0.333,0.254,0.0,0.254,0.518,0.0,0.0,-45.888,5.812
1,4,AM-AC-ZO-MH-PR,2.6,31.269,30.769,4.0,4.395,2,54.494,100.0,45.506,8.395,55.53,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,4,2,2,0.667,0.25,0.25,0.455,0.0,0.228,0.0,0.0,3.221,-52.309
1,4,JL-AC-IK-KJ-CH,2.417,-32.603,-33.103,2.66,4.0,-2,-24.812,75.188,100.0,6.66,-23.776,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,2,4,-2,0.0,1.0,0.376,0.5,0.752,0.0,0.667,0.0,-21.591,2.185
1,4,JL-AM-ZO-PR-CH,2.348,68.633,68.133,2.86,2.0,4,94.755,244.755,150.0,4.86,95.791,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,7,3,4,0.7,0.75,0.0,0.0,0.699,0.0,0.0,0.0,147.976,52.185
1,4,JL-AC-ZO-MH-CH,2.3,70.065,69.565,5.8,3.8,4,41.742,120.69,78.947,9.6,42.778,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,7,3,4,0.75,1.0,0.172,0.526,0.0,0.0,0.5,2.0,23.911,-18.867
1,4,JL-AC-ZO-KJ-PR,2.15,-36.709,-37.209,3.86,3.53,-2,-56.657,0.0,56.657,7.39,-55.621,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,0,2,-2,0.0,0.0,0.518,0.283,0.518,0.283,0.0,2.0,-96.779,-41.158
1,4,AC-IK-ZO-KJ-CH,2.1,-18.548,-19.048,4.73,4.0,-1,-40.433,84.567,125.0,8.73,-39.397,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,4,5,-1,0.667,1.25,0.423,0.5,0.423,0.0,0.667,0.0,-12.212,27.185
1,4,JL-AM-ZO-MH-CH,2.017,-19.335,-19.835,2.73,3.0,-1,-30.037,36.63,66.667,5.73,-29.001,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,1,2,-1,0.0,0.5,0.366,0.333,0.366,0.0,1.0,0.0,-60.149,-31.148
1,4,JL-AM-IK-KJ-PR,1.967,0.5,0.0,3.86,3.0,0,-29.706,103.627,133.333,6.86,-28.67,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,4,4,0,0.4,1.0,0.259,0.333,0.518,0.0,0.0,0.0,6.848,35.518
1,4,JL-AM-AC-MH-PR,1.9,63.658,63.158,3.8,3.8,3,78.947,210.526,131.579,7.6,79.983,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,8,5,3,1.0,1.0,0.0,0.263,0.0,0.0,0.667,1.0,113.747,33.764
1,4,AM-AC-IK-MH-CH,1.817,-65.555,-66.055,3.8,2.8,-3,-116.541,26.316,142.857,6.6,-115.505,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,1,4,-3,0.0,1.5,0.263,0.357,0.0,0.0,1.0,2.0,-70.463,45.042
1,4,AM-IK-ZO-KJ-AM7,1.783,45.36,44.86,2.0,1.86,2,92.473,200.0,107.527,3.86,93.509,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,4,2,2,1.0,0.25,0.0,0.0,0.0,1.075,0.0,0.0,103.221,9.712
1,4,AM-IK-ZO-KJ-CH,1.733,0.5,0.0,2.93,2.4,0,-30.148,136.519,166.667,5.33,-29.112,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,4,4,0,0.667,1.0,0.341,0.0,0.341,0.0,0.0,0.5,39.74,68.852
1,4,JL-IK-ZO-MH-PR,1.717,-46.102,-46.602,4.0,3.8,-2,-52.632,0.0,52.632,7.8,-51.596,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,0,2,-2,0.0,0.0,0.5,0.263,0.0,0.0,0.0,1.0,-96.779,-45.183
1,4,JL-AM-ZO-PR-AM7,1.633,0.5,0.0,4.087,4.0,0,-2.652,122.348,125.0,8.087,-1.616,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,5,5,0,0.5,1.25,0.0,0.5,0.245,0.0,0.5,0.0,25.569,27.185
1,4,JL-AC-ZO-KJ-CH,1.467,82.318,81.818,4.865,3.0,3,-2.227,164.44,166.667,7.865,-1.191,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,8,5,3,0.8,1.25,0.0,0.333,0.411,0.0,0.2,0.0,67.661,68.852
1,4,AC-IK-ZO-KJ-PR,1.383,87.247,86.747,3.2,2.8,3,84.821,156.25,71.429,6.0,85.857,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,5,2,3,0.5,0.0,0.0,0.714,0.0,0.0,1.5,0.0,59.471,-26.386
1,4,JL-AM-AC-PR-CH,1.3,92.808,92.308,2.0,2.0,3,150.0,250.0,100.0,4.0,151.036,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,5,2,3,1.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,153.221,2.185
1,4,MS-AM-IK-MH-PR,1.3,31.269,30.769,1.8,3.0,1,55.556,55.556,0.0,4.8,56.591,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-41.223,-97.815
1,4,AM-AC-IK-MH-PR,1.117,-35.321,-35.821,2.0,2.265,-1,-44.15,0.0,44.15,4.265,-43.114,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,0,1,-1,0.0,0.0,0.0,0.442,0.0,0.442,0.0,2.0,-96.779,-53.665
1,4,MS-AC-ZO-MH-CH,1.1,0.5,0.0,2.33,1.0,0,-171.245,128.755,300.0,3.33,-170.209,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,3,3,0,0.333,1.5,0.0,0.0,0.429,0.0,0.333,0.0,31.976,202.185
1,4,JL-AM-IK-PR-AM7,1.017,-78.189,-78.689,1.0,2.0,-2,-100.0,0.0,100.0,3.0,-98.964,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,0,2,-2,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,-96.779,2.185
1,4,MS-AC-ZO-MH-AM7,0.95,-41.605,-42.105,1.8,2.4,-1,-13.889,111.111,125.0,4.2,-12.853,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,2,3,-1,0.0,1.0,0.0,0.417,0.0,0.0,2.0,1.0,14.332,27.185
1,4,MS-AM-ZO-KJ-CH,0.933,86.214,85.714,0.93,1.0,2,215.054,215.054,0.0,1.93,216.09,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,2,0,2,0.5,0.0,0.0,0.0,1.075,0.0,0.0,0.0,118.275,-97.815
1,4,JL-IK-ZO-KJ-PR,0.933,0.5,0.0,1.0,1.0,0,0.0,0.0,0.0,2.0,1.036,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-96.779,-97.815
1,4,MS-AM-ZO-MH-CH,0.817,-97.459,-97.959,1.0,2.0,-2,0.0,200.0,200.0,3.0,1.036,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,2,4,-2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,103.221,102.185
1,4,AM-IK-ZO-MH-AM7,0.752,0.5,0.0,1.8,1.0,0,0.0,0.0,0.0,2.8,1.036,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-96.779,-97.815
1,4,AM-AC-ZO-KJ-PR,0.742,0.5,0.0,1.0,0.8,0,0.0,0.0,0.0,1.8,1.036,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.779,-97.815
1,4,JL-AC-ZO-MH-PR,0.7,57.643,57.143,1.373,0.0,1,72.817,72.817,0.0,1.373,73.853,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,1,0,1,0.0,0.0,0.0,0.0,1.456,0.0,1.0,0.0,-23.962,-97.815
1,4,JL-IK-ZO-PR-CH,0.617,0.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.036,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.779,-97.815
1,4,JL-AM-IK-MH-AM7,0.433,-91.808,-92.308,1.0,0.4,-1,-250.0,0.0,250.0,1.4,-248.964,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,0,1,-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-96.779,152.185
1,4,AM-AC-IK-ZO-MH,0.14,-285.214,-285.714,1.0,0.8,-1,-125.0,0.0,125.0,1.8,-123.964,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,0,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.779,27.185
1,4,JL-AM-ZO-MH-PR,0.068,1171.232,1170.732,0.8,1.0,2,250.0,250.0,0.0,1.8,251.036,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.221,-97.815
1,4,AM-AC-IK-PR-CH,0.027,0.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.036,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.779,-97.815
1,4,JL-AM-ZO-KJ-AM7,0.0,0.5,0.0,0.0,0.8,-2,-250.0,0.0,250.0,0.8,-248.964,160.0,-2.0,263.0,265.0,271.753,270.92,542.673,96.779,97.815,-1.036,-0.5,251205,251221,0,2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.779,152.185
2,3,JL-AM-IK-MH-CH,21.967,13.619,16.388,31.05,30.98,9,28.774,122.383,93.609,62.03,22.934,129.998,9.0,239.0,230.0,213.838,217.131,430.97,111.767,105.927,5.84,2.769,251228,260102,38,29,9,0.597,0.452,0.161,0.194,0.161,0.194,0.032,0.032,10.617,-12.318
2,3,JL-AM-IK-MH-PR,12.728,28.657,31.426,23.488,25.581,10,51.631,153.268,101.637,49.07,45.791,129.998,9.0,239.0,230.0,213.838,217.131,430.97,111.767,105.927,5.84,2.769,251228,260102,36,26,10,0.421,0.5,0.128,0.156,0.298,0.195,1.158,0.154,41.501,-4.29
2,3,JL-AM-AC-MH-CH,10.798,12.048,14.817,19.32,18.093,4,13.685,124.224,110.538,37.413,7.845,129.998,9.0,239.0,230.0,213.838,217.131,430.97,111.767,105.927,5.84,2.769,251228,260102,24,20,4,0.441,0.5,0.155,0.332,0.207,0.332,0.529,0.467,12.457,4.611
2,3,JL-AM-ZO-MH-CH,7.283,-46.705,-43.936,12.59,17.05,-8,-19.911,103.257,123.167,29.64,-25.751,129.998,9.0,239.0,230.0,213.838,217.131,430.97,111.767,105.927,5.84,2.769,251228,260102,13,21,-8,0.458,0.469,0.238,0.235,0.238,0.293,0.167,0.375,-8.51,17.24
