lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
ATUR-IBET-YEJI-ELIT-MHUI,Interval 1,1,66.01,39.88,14.04,21.21,14
ATUR-CO'C-YEJI-ELIT-MHUI,Interval 1,1,72.51,46.48,20.65,33.1,24
ATUR-IBET-CO'C-YEJI-MHUI,Interval 1,1,132.08,73.68,10.31,14.39,19
ATUR-COSA-CO'C-MDAL-MHUI,Interval 1,1,11.16,6.67,11.99,17.92,2
ATUR-IBET-CO'C-ELIT-MHUI,Interval 1,1,11.0,6.21,-45.09,-63.67,-7
IBET-COSA-CO'C-MDAL-YEJI,Interval 1,1,6.4,3.56,-33.71,-46.91,-3
ATUR-IBET-VGUN-MDAL-MHUI,Interval 1,1,1.5,0.34,0.0,0.0,0
IBET-VGUN-COSA-MDAL-EHOP,Interval 1,1,4.76,2.56,-109.38,-146.9,-7
IBET-VGUN-COSA-MDAL-MHUI,Interval 1,1,1.9,1.26,-31.75,-52.63,-1
ATUR-CO'C-MDAL-ELIT-MHUI,Interval 1,1,16.66,9.27,-47.46,-66.01,-11
ATUR-IBET-CO'C-MDAL-MHUI,Interval 1,1,37.22,21.09,-7.59,-10.75,-4
IBET-COSA-CO'C-MDAL-MHUI,Interval 1,1,8.26,4.44,-117.12,-157.29,-13
ATUR-VGUN-CO'C-MDAL-MHUI,Interval 1,1,2.93,1.63,-49.08,-68.26,-2
IBET-VGUN-CO'C-MDAL-YEJI,Interval 1,1,8.48,5.24,68.7,106.12,9
ATUR-IBET-VGUN-MDAL-YEJI,Interval 1,1,4.93,2.47,-48.58,-60.85,-3
ATUR-COSA-CO'C-YEJI-MHUI,Interval 1,1,20.16,12.7,9.45,14.88,3
IBET-COSA-CO'C-EHOP-MHUI,Interval 1,1,1.96,1.55,-103.23,-203.56,-4
ATUR-COSA-CO'C-MDAL-YEJI,Interval 1,1,18.07,10.63,-22.58,-33.2,-6
ATUR-CO'C-MDAL-YEJI-ELIT,Interval 1,1,18.43,10.11,-55.39,-75.98,-14
ATUR-IBET-COSA-EHOP-MHUI,Interval 1,1,3.43,1.98,60.61,87.46,3
ATUR-IBET-CO'C-MDAL-YEJI,Interval 1,1,31.26,19.25,16.62,25.59,8
ATUR-COSA-CO'C-EHOP-MHUI,Interval 1,1,1.4,1.14,-70.18,-142.86,-2
IBET-VGUN-CO'C-MDAL-MHUI,Interval 1,1,5.73,3.62,-44.2,-69.81,-4
ATUR-COSA-YEJI-ELIT-MHUI,Interval 1,1,9.83,6.03,6.63,10.17,1
IBET-COSA-MDAL-ELIT-MHUI,Interval 1,1,3.36,2.43,-16.46,-29.72,-1
ATUR-IBET-CO'C-MDAL-ELIT,Interval 1,1,5.23,2.24,-71.43,-76.48,-4
IBET-CO'C-MDAL-YEJI-ELIT,Interval 1,1,16.16,7.82,-35.81,-43.31,-7
IBET-COSA-CO'C-YEJI-ELIT,Interval 1,1,1.4,1.03,-194.17,-358.42,-5
ATUR-COSA-MDAL-ELIT-MHUI,Interval 1,1,8.33,6.01,-46.59,-84.03,-7
IBET-COSA-CO'C-MDAL-ELIT,Interval 1,1,3.36,1.99,-40.2,-59.44,-2
ATUR-IBET-MDAL-YEJI-ELIT,Interval 1,1,7.93,4.7,42.55,63.05,5
IBET-CO'C-MDAL-ELIT-MHUI,Interval 1,1,16.73,10.3,-50.49,-77.72,-13
ATUR-IBET-CO'C-YEJI-EHOP,Interval 1,1,3.46,1.93,20.73,28.86,1
IBET-COSA-YEJI-ELIT-MHUI,Interval 1,1,6.86,4.0,-10.0,-14.57,-1
ATUR-COSA-CO'C-ELIT-MHUI,Interval 1,1,1.5,0.85,-235.29,-333.33,-5
ATUR-IBET-VGUN-MDAL-EHOP,Interval 1,1,3.5,2.47,-64.78,-114.29,-4
IBET-COSA-CO'C-YEJI-MHUI,Interval 1,1,3.8,2.63,-60.84,-105.26,-4
ATUR-IBET-VGUN-YEJI-MHUI,Interval 1,1,11.42,7.6,-5.26,-8.75,-1
ATUR-IBET-COSA-MDAL-MHUI,Interval 1,1,6.76,4.17,-28.78,-44.35,-3
ATUR-VGUN-MDAL-ELIT-MHUI,Interval 1,1,0.46,1.0,0.0,0.0,0
ATUR-COSA-CO'C-YEJI-ELIT,Interval 1,1,0.5,0.05,0.0,0.0,0
ATUR-IBET-MDAL-ELIT-MHUI,Interval 1,1,17.76,9.98,16.03,22.53,4
ATUR-VGUN-COSA-MDAL-EHOP,Interval 1,1,3.63,3.03,-52.81,-110.1,-4
ATUR-VGUN-COSA-EHOP-MHUI,Interval 1,1,1.4,0.52,-76.92,-71.43,-1
ATUR-IBET-VGUN-YEJI-ELIT,Interval 1,1,1.46,1.0,-80.0,-136.52,-2
ATUR-VGUN-COSA-MDAL-MHUI,Interval 1,1,2.9,1.25,64.0,68.97,2
ATUR-CO'C-MDAL-YEJI-MHUI,Interval 1,1,1.96,1.72,-46.51,-101.78,-2
IBET-CO'C-YEJI-ELIT-MHUI,Interval 1,1,35.75,20.6,-11.65,-16.78,-6
ATUR-VGUN-CO'C-YEJI-MHUI,Interval 1,1,5.36,2.4,33.33,37.28,2
IBET-VGUN-CO'C-YEJI-MHUI,Interval 1,1,6.96,5.12,46.88,86.21,6
ATUR-COSA-MDAL-YEJI-ELIT,Interval 1,1,19.05,13.23,-24.19,-42.0,-8
ATUR-COSA-CO'C-MDAL-EHOP,Interval 1,1,0.43,0.31,258.06,465.12,2
IBET-CO'C-YEJI-ELIT-EHOP,Interval 1,1,2.63,2.29,17.47,37.98,1
IBET-VGUN-MDAL-YEJI-ELIT,Interval 1,1,2.0,1.0,-40.0,-50.0,-1
ATUR-VGUN-COSA-YEJI-MHUI,Interval 1,1,6.8,4.2,-9.52,-14.72,-1
ATUR-VGUN-CO'C-MDAL-YEJI,Interval 1,1,2.37,1.77,22.6,42.28,1
ATUR-VGUN-MDAL-YEJI-ELIT,Interval 1,1,2.4,1.15,208.7,250.0,6
ATUR-VGUN-YEJI-ELIT-MHUI,Interval 1,1,6.26,3.84,52.08,79.81,5
ATUR-IBET-COSA-MDAL-YEJI,Interval 1,1,19.62,10.65,11.27,15.29,3
ATUR-VGUN-ELIT-EHOP-MHUI,Interval 1,1,1.4,0.47,-85.11,-71.43,-1
ATUR-IBET-COSA-YEJI-MHUI,Interval 1,1,12.83,7.33,-10.91,-15.59,-2
ATUR-IBET-CO'C-ELIT-MHUI,Interval 2,2,2.16,1.89,-84.66,-184.76,-4
ATUR-TDAL-VGUN-ELIT-MHUI,Interval 2,2,1.5,1.02,-117.65,-200.0,-3
IBET-TDAL-CO'C-MDAL-MHUI,Interval 2,2,3.86,1.82,87.91,103.49,4
IBET-TDAL-COSA-YEJI-MHUI,Interval 2,2,3.0,1.69,0.0,0.0,0
IBET-COSA-CO'C-MDAL-ELIT,Interval 2,2,0.4,0.67,119.4,500.0,2
ATUR-IBET-COSA-ELIT-MHUI,Interval 2,2,2.0,0.82,0.0,0.0,0
IBET-TDAL-CO'C-YEJI-MHUI,Interval 2,2,12.72,7.37,16.28,23.58,3
ATUR-IBET-TDAL-YEJI-MHUI,Interval 2,2,17.29,9.11,30.74,40.48,7
ATUR-TDAL-BSAL-ELIT-MHUI,Interval 2,2,18.92,11.2,-25.0,-36.99,-7
