lineup,possessions,minutes,plusminus,plusminus_per40,netrating,offrating,defrating
ATUR-IBET-CO'C-YEJI-MHUI,174.73,100.68,23,9.14,13.16,112.75,99.58
ATUR-CO'C-YEJI-ELIT-MHUI,148.4,94.29,34,14.42,22.91,109.17,86.25
ATUR-TDAL-CO'C-YEJI-ELIT,139.92,86.97,66,30.36,47.17,118.64,71.47
ATUR-TDAL-CO'C-YEJI-MHUI,93.87,57.28,6,4.19,6.39,104.4,98.01
ATUR-IBET-YEJI-ELIT-MHUI,90.28,54.07,27,19.97,29.91,117.42,87.51
ATUR-TDAL-YEJI-BSAL-ELIT,70.24,41.82,13,12.43,18.51,92.54,74.03
ATUR-IBET-CO'C-MDAL-YEJI,50.88,31.4,15,19.11,29.48,104.17,74.69
ATUR-TDAL-BSAL-ELIT-MHUI,49.68,29.84,-6,-8.04,-12.08,122.78,134.86
IBET-CO'C-YEJI-ELIT-MHUI,48.37,28.28,-9,-12.73,-18.61,105.44,124.04
ATUR-IBET-TDAL-YEJI-ELIT,44.55,28.79,19,26.4,42.65,136.92,94.27
ATUR-IBET-YEJI-BSAL-ELIT,44.54,27.08,19,28.06,42.65,127.96,85.31
ATUR-TDAL-YEJI-BSAL-MHUI,44.04,29.86,-3,-4.02,-6.81,93.1,99.91
