lineup,possessions,minutes,plusminus,plusminus_per40,netrating,offrating,defrating
BWIL-NEVA-ACLA-MHER-CHEI,496.88,317.64,-39,-4.91,-7.85,89.96,97.81
BWIL-NEVA-ZOGO-MHER-CHEI,310.7,188.91,-9,-1.91,-2.9,93.02,95.91
BWIL-NEVA-ACLA-ASIT-CHEI,121.95,69.56,-26,-14.95,-21.32,80.36,101.68
BWIL-NEVA-ACLA-MHER-ASIT,72.34,44.39,3,2.7,4.15,89.85,85.71
BWIL-NEVA-ZOGO-ASIT-CHEI,65.19,37.79,13,13.76,19.94,105.84,85.9
NEVA-ACLA-ZOGO-MHER-CHEI,57.72,33.66,-2,-2.38,-3.46,107.41,110.88
BWIL-NEVA-ZOGO-MHER-ASIT,55.71,31.91,-5,-6.27,-8.98,96.93,105.91
BWIL-NEVA-MHER-ASIT-CHEI,44.31,28.55,-3,-4.2,-6.77,85.75,92.52
BWIL-NEVA-ACLA-ZOGO-MHER,39.79,24.88,1,1.61,2.51,87.96,85.44
BWIL-NEVA-ACLA-AMAT-MHER,39.69,24.64,28,45.45,70.55,143.62,73.07
BWIL-NEVA-MWAT-MHER-CHEI,28.45,16.78,7,16.69,24.61,94.91,70.3
BWIL-NEVA-ZOGO-ATOO-CHEI,26.02,13.24,-24,-72.51,-92.24,49.96,142.2
