lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
KSHU-TBOL-CFER-AMAR-KREE,Interval 1,1,89.38,56.26,13.51,21.26,19
CVEC-KSHU-SYEP-AMAR-SHEI,Interval 1,1,1.0,0.48,-166.67,-200.0,-2
ASCH-KSHU-TBOL-CFER-KREE,Interval 1,1,24.45,14.21,-19.7,-28.63,-7
ASCH-KSHU-LNAV-AMAR-SHEI,Interval 1,1,1.5,0.9,-133.33,-200.0,-3
ASCH-KSHU-CFER-AMAR-SHEI,Interval 1,1,17.58,12.38,-9.69,-17.06,-3
CVEC-ASCH-AMAR-KREE-SHEI,Interval 1,1,27.61,14.16,-31.07,-39.84,-11
ASCH-KSHU-TBOL-AMAR-SHEI,Interval 1,1,2.6,0.99,-40.4,-38.46,-1
ASCH-KSHU-SYEP-AMAR-KREE,Interval 1,1,4.3,2.35,-34.04,-46.51,-2
KSHU-TBOL-AMAR-KREE-SHEI,Interval 1,1,39.3,22.8,-5.26,-7.63,-3
ASCH-KSHU-CFER-AMAR-KREE,Interval 1,1,60.94,35.37,-28.27,-41.02,-25
CVEC-ASCH-TBOL-CFER-AMAR,Interval 1,1,8.4,4.42,-63.35,-83.36,-7
KSHU-CFER-SYEP-AMAR-SHEI,Interval 1,1,5.13,2.55,-31.37,-38.99,-2
CVEC-TBOL-CFER-AMAR-SHEI,Interval 1,1,1.4,0.65,-61.54,-71.43,-1
CVEC-TBOL-LNAV-AMAR-SHEI,Interval 1,1,1.8,0.63,-190.48,-166.67,-3
KSHU-TBOL-LNAV-AMAR-SHEI,Interval 1,1,1.46,1.37,0.0,0.0,0
KSHU-TBOL-CFER-SYEP-SHEI,Interval 1,1,6.83,4.83,-49.69,-87.85,-6
CVEC-TBOL-AMAR-KREE-SHEI,Interval 1,1,0.4,0.0,inf,500.0,2
ASCH-KSHU-TBOL-KREE-SHEI,Interval 1,1,7.53,4.55,-26.37,-39.84,-3
CVEC-KSHU-CFER-AMAR-KREE,Interval 1,1,3.5,1.64,-170.73,-200.0,-7
KSHU-CFER-AMAR-KREE-SHEI,Interval 1,1,32.8,19.23,-8.32,-12.2,-4
ASCH-KSHU-CFER-SYEP-SHEI,Interval 1,1,8.29,4.68,25.64,36.18,3
KSHU-TBOL-SYEP-AMAR-KREE,Interval 1,1,8.76,5.94,-20.2,-34.25,-3
ASCH-KSHU-AMAR-KREE-SHEI,Interval 1,1,55.21,34.64,-6.93,-10.87,-6
ASCH-KSHU-TBOL-CFER-SHEI,Interval 1,1,11.99,7.35,-27.21,-41.69,-5
KSHU-TBOL-CFER-LNAV-AMAR,Interval 1,1,6.76,4.15,-77.11,-118.34,-8
ASCH-TBOL-AMAR-KREE-SHEI,Interval 1,1,6.43,4.44,-18.02,-31.1,-2
ASCH-TBOL-CFER-AMAR-KREE,Interval 1,1,2.0,1.52,26.32,50.0,1
ASCH-KSHU-TBOL-AMAR-KREE,Interval 1,1,31.66,18.27,-19.7,-28.43,-9
CVEC-ASCH-CFER-AMAR-KREE,Interval 1,1,4.86,1.96,-40.82,-41.11,-2
KSHU-TBOL-CFER-AMAR-SHEI,Interval 1,1,42.75,25.17,-36.55,-53.8,-23
CVEC-ASCH-TBOL-CFER-SHEI,Interval 1,1,5.46,2.65,-60.38,-73.19,-4
CVEC-ASCH-KSHU-SYEP-AMAR,Interval 1,1,2.37,1.83,131.15,253.7,6
CVEC-TBOL-CFER-AMAR-KREE,Interval 1,1,19.42,12.41,-32.23,-51.49,-10
CVEC-ASCH-TBOL-SYEP-AMAR,Interval 1,1,2.9,0.7,171.43,103.45,3
KSHU-TBOL-SYEP-AMAR-SHEI,Interval 1,1,3.9,2.72,-29.41,-51.28,-2
CVEC-TBOL-SYEP-AMAR-KREE,Interval 1,1,4.8,2.78,14.39,20.86,1
ASCH-CFER-SYEP-AMAR-KREE,Interval 1,1,8.86,5.07,47.34,67.68,6
ASCH-TBOL-CFER-SYEP-AMAR,Interval 1,1,11.83,7.15,16.78,25.36,3
CVEC-CFER-AMAR-KREE-SHEI,Interval 1,1,8.36,5.63,78.15,131.5,11
CVEC-KSHU-CFER-AMAR-SHEI,Interval 1,1,12.19,7.68,10.42,16.41,2
ASCH-KSHU-TBOL-CFER-AMAR,Interval 1,1,14.72,8.46,18.91,27.17,4
CVEC-ASCH-SYEP-AMAR-KREE,Interval 2,2,2.4,1.73,46.24,83.33,2
ASCH-KSHU-AMAR-KREE-SHEI,Interval 2,2,7.63,4.58,-17.47,-26.21,-2
