lineup,possessions,minutes,plusminus,plusminus_per40,netrating,offrating,defrating
KSHU-TBOL-CFER-AMAR-KREE,557.97,348.67,7,0.8,1.25,94.09,92.84
ASCH-KSHU-CFER-AMAR-KREE,214.55,131.62,-24,-7.29,-11.19,91.82,103.01
ASCH-KSHU-AMAR-KREE-SHEI,200.68,124.43,18,5.79,8.97,101.16,92.19
KSHU-TBOL-CFER-AMAR-SHEI,125.97,75.77,-23,-12.14,-18.26,92.08,110.34
KSHU-TBOL-AMAR-KREE-SHEI,120.9,73.97,-3,-1.62,-2.48,88.51,90.99
KSHU-CFER-AMAR-KREE-SHEI,69.7,41.82,-6,-5.74,-8.61,84.64,93.25
ASCH-KSHU-CFER-AMAR-SHEI,67.2,43.95,7,6.37,10.42,99.7,89.28
CVEC-TBOL-CFER-AMAR-KREE,56.76,37.48,2,2.13,3.52,86.33,82.8
ASCH-KSHU-TBOL-AMAR-KREE,56.52,32.43,-11,-13.57,-19.46,77.86,97.32
ASCH-KSHU-TBOL-CFER-KREE,54.67,33.31,14,16.81,25.61,100.61,75.0
ASCH-TBOL-CFER-AMAR-KREE,53.22,35.75,4,4.48,7.52,90.18,82.67
ASCH-KSHU-TBOL-CFER-SHEI,50.5,33.31,11,13.21,21.78,106.94,85.16
