lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
AJAM-LSMI-NLOW-SWAR-LGLA,Interval 1,1,39.23,20.79,-36.56,-48.43,-19
AJAM-LSMI-SSZA-TFAU-LGLA,Interval 1,1,1.3,0.97,-82.47,-154.44,-2
LSMI-NLOW-SSZA-SWAR-LGLA,Interval 1,1,8.52,5.1,23.53,35.19,3
AJAM-LSMI-SSZA-SWAR-LGLA,Interval 1,1,16.32,9.17,-4.36,-6.13,-1
LSMI-NLOW-SWAR-MRAD-LGLA,Interval 1,1,2.4,1.48,-108.11,-166.67,-4
DNES-AJAM-SSZA-JKEN-LGLA,Interval 1,1,1.46,0.75,-106.67,-136.52,-2
DNES-AJAM-LSMI-EELL-LGLA,Interval 1,1,3.8,2.67,-29.96,-52.7,-2
AJAM-LSMI-SSZA-SWAR-EELL,Interval 1,1,33.36,16.36,0.0,0.0,0
AJAM-LSMI-SWAR-TFAU-MRAD,Interval 1,1,5.33,3.92,-20.41,-37.52,-2
AJAM-LSMI-NLOW-TFAU-LGLA,Interval 1,1,7.4,3.55,-67.61,-81.11,-6
AJAM-LSMI-JKEN-EELL-MRAD,Interval 1,1,0.5,0.28,0.0,0.0,0
LSMI-SSZA-TFAU-LAND-MRAD,Interval 1,1,2.5,0.96,-125.0,-120.0,-3
AJAM-LSMI-NLOW-EELL-LGLA,Interval 1,1,55.34,31.92,8.77,12.65,7
LSMI-SSZA-LAND-MRAD-LGLA,Interval 1,1,2.0,0.88,-136.36,-150.0,-3
AJAM-LSMI-TFAU-MRAD-LGLA,Interval 1,1,12.13,5.52,-43.48,-49.46,-6
DNES-AJAM-NLOW-SWAR-EELL,Interval 1,1,4.13,2.43,65.84,96.85,4
AJAM-LSMI-NLOW-SWAR-MRAD,Interval 1,1,0.5,0.22,0.0,0.0,0
AJAM-SSZA-SWAR-TFAU-MRAD,Interval 1,1,1.9,1.33,30.08,52.63,1
AJAM-NLOW-SSZA-EELL-LGLA,Interval 1,1,9.86,5.13,-15.59,-20.28,-2
AJAM-NLOW-SSZA-SWAR-LGLA,Interval 1,1,1.9,0.72,-222.22,-210.53,-4
AJAM-NLOW-EELL-MRAD-LGLA,Interval 1,1,6.16,3.72,-75.27,-113.73,-7
AJAM-LSMI-SSZA-JKEN-TFAU,Interval 1,1,1.0,0.48,0.0,0.0,0
AJAM-LSMI-SSZA-JKEN-LGLA,Interval 1,1,6.12,3.49,-91.69,-130.78,-8
AJAM-LSMI-SWAR-MRAD-LGLA,Interval 1,1,26.84,13.44,29.76,37.26,10
AJAM-NLOW-SSZA-SWAR-EELL,Interval 1,1,7.2,2.22,-180.18,-138.95,-10
LSMI-NLOW-SWAR-EELL-MRAD,Interval 1,1,6.32,3.62,-33.15,-47.43,-3
AJAM-SSZA-TFAU-LAND-MRAD,Interval 1,1,0.9,0.57,-70.18,-111.11,-1
AJAM-SSZA-EELL-LAND-MRAD,Interval 1,1,6.4,3.63,-11.02,-15.64,-1
LSMI-SSZA-TFAU-MRAD-LGLA,Interval 1,1,1.83,1.22,-131.15,-218.58,-4
AJAM-SSZA-TFAU-MRAD-LGLA,Interval 1,1,3.96,1.73,-92.49,-100.88,-4
LSMI-NLOW-TFAU-MRAD-LGLA,Interval 1,1,1.0,0.32,0.0,0.0,0
AJAM-LSMI-NLOW-SWAR-EELL,Interval 1,1,63.49,34.84,13.78,18.9,12
AJAM-LSMI-NLOW-EELL-UNK,Interval 1,1,0.0,0.02,0.0,,0
DNES-LSMI-NLOW-SWAR-TFAU,Interval 1,1,3.4,1.43,-139.86,-147.06,-5
DNES-LSMI-SSZA-LAND-LGLA,Interval 1,1,3.86,1.78,67.42,77.62,3
AJAM-LSMI-EELL-MRAD-LGLA,Interval 1,1,16.59,10.96,40.15,66.31,11
DNES-LSMI-SWAR-EELL-MRAD,Interval 1,1,12.86,6.85,-11.68,-15.55,-2
DNES-LSMI-NLOW-EELL-LGLA,Interval 1,1,2.5,1.48,0.0,0.0,0
DNES-LSMI-NLOW-SWAR-LGLA,Interval 1,1,10.86,5.22,91.95,110.5,12
AJAM-NLOW-SSZA-EELL-LAND,Interval 1,1,1.0,0.62,-129.03,-200.0,-2
LSMI-SWAR-EELL-MRAD-UNK,Interval 1,1,0.4,0.07,1142.86,500.0,2
DNES-AJAM-SSZA-SWAR-TFAU,Interval 1,1,1.46,1.03,-77.67,-136.52,-2
DNES-AJAM-LSMI-SWAR-LGLA,Interval 1,1,8.7,4.63,-17.28,-23.0,-2
DNES-SSZA-TFAU-LAND-MRAD,Interval 1,1,3.66,1.88,-106.38,-136.61,-5
