lineup,possessions,minutes,plusminus,plusminus_per40,netrating,offrating,defrating
AJAM-LSMI-SWAR-EELL-MRAD,391.29,230.88,31,5.37,7.92,95.58,87.66
AJAM-LSMI-NLOW-SWAR-EELL,228.28,121.87,-3,-0.98,-1.31,92.43,93.75
AJAM-LSMI-NLOW-EELL-LGLA,105.85,59.87,9,6.01,8.5,110.53,102.03
AJAM-LSMI-NLOW-SWAR-LGLA,99.84,51.71,-22,-17.02,-22.03,77.12,99.15
AJAM-LSMI-SWAR-MRAD-LGLA,80.34,43.39,-10,-9.22,-12.45,85.89,98.33
DNES-AJAM-LSMI-SWAR-EELL,74.97,42.81,-8,-7.47,-10.67,92.04,102.71
AJAM-LSMI-JKEN-SWAR-MRAD,72.32,42.24,4,3.79,5.53,95.41,89.88
AJAM-LSMI-EELL-MRAD-LGLA,39.56,21.79,2,3.67,5.06,111.23,106.18
LSMI-NLOW-SWAR-EELL-MRAD,39.0,22.18,2,3.61,5.13,76.92,71.79
AJAM-LSMI-SSZA-SWAR-EELL,38.32,19.32,1,2.07,2.61,106.99,104.38
DNES-LSMI-SWAR-EELL-MRAD,37.9,20.94,-5,-9.55,-13.19,60.69,73.89
DNES-AJAM-NLOW-SWAR-EELL,35.06,20.67,-11,-21.29,-31.38,77.02,108.39
