lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
OMUC-MMAS-MMAS-EBRU-MHAR,Interval 1,1,87.41,54.57,3.67,5.72,5
MMAS-MMAS-CSOT-EMAS-MHAR,Interval 1,1,31.08,18.82,-19.13,-28.95,-9
AMEL-MMAS-EBRU-EMAS-MHAR,Interval 1,1,3.23,2.1,38.1,61.92,2
OMUC-MMAS-CSOT-HFRI-MVIC,Interval 1,1,19.42,11.64,-17.18,-25.75,-5
MMAS-MMAS-EBRU-EMAS-MVIC,Interval 1,1,3.93,2.82,56.74,101.78,4
AMEL-CSOT-EMAS-HFRI-MVIC,Interval 1,1,1.36,1.12,-35.71,-73.26,-1
AMEL-MMAS-CSOT-HFRI-MHAR,Interval 1,1,2.5,1.2,-66.67,-80.0,-2
OMUC-MMAS-MMAS-EMAS-MHAR,Interval 1,1,12.53,7.4,-32.43,-47.89,-6
AMEL-OMUC-CSOT-EMAS-MVIC,Interval 1,1,1.0,0.43,-186.05,-200.0,-2
OMUC-MMAS-MMAS-EBRU-MVIC,Interval 1,1,24.36,15.29,20.93,32.85,8
MMAS-CSOT-EBRU-EMAS-MHAR,Interval 1,1,0.96,0.63,0.0,0.0,0
AMEL-MMAS-EMAS-HFRI-MHAR,Interval 1,1,3.6,2.63,-60.84,-111.17,-4
AMEL-OMUC-EMAS-HFRI-MVIC,Interval 1,1,2.0,0.72,0.0,0.0,0
AMEL-CSOT-EMAS-HFRI-MHAR,Interval 1,1,0.96,1.05,0.0,0.0,0
OMUC-MMAS-MMAS-HFRI-MHAR,Interval 1,1,13.57,7.2,-5.56,-7.37,-1
OMUC-MMAS-CSOT-HFRI-MHAR,Interval 1,1,23.02,11.95,-16.74,-21.72,-5
MMAS-MMAS-EMAS-HFRI-MVIC,Interval 1,1,5.83,3.69,32.52,51.46,3
AMEL-MMAS-MMAS-EMAS-MVIC,Interval 1,1,1.86,1.03,38.83,53.62,1
OMUC-CSOT-EMAS-HFRI-MVIC,Interval 1,1,2.89,1.56,-51.28,-69.28,-2
AMEL-MMAS-CSOT-EMAS-MHAR,Interval 1,1,4.96,3.5,-22.86,-40.28,-2
AMEL-OMUC-EMAS-HFRI-MHAR,Interval 1,1,2.9,1.25,-128.0,-137.93,-4
AMEL-MMAS-MMAS-HFRI-MVIC,Interval 1,1,2.46,1.43,-139.86,-202.84,-5
MMAS-MMAS-CSOT-EMAS-MVIC,Interval 1,1,0.0,0.03,0.0,,0
AMEL-MMAS-CSOT-EBRU-MHAR,Interval 1,1,1.0,0.75,0.0,0.0,0
OMUC-CSOT-EMAS-HFRI-MHAR,Interval 1,1,4.96,3.16,12.66,20.14,1
MMAS-MMAS-CSOT-EBRU-MVIC,Interval 1,1,25.26,12.47,-16.04,-19.79,-5
OMUC-MMAS-EBRU-EMAS-MVIC,Interval 1,1,2.4,1.32,-90.91,-125.0,-3
OMUC-MMAS-EBRU-EMAS-HFRI,Interval 1,1,1.9,0.7,114.29,105.26,2
MMAS-MMAS-EBRU-EMAS-MHAR,Interval 1,1,3.83,1.95,0.0,0.0,0
OMUC-MMAS-CSOT-EMAS-MVIC,Interval 1,1,13.33,9.42,4.25,7.5,1
MMAS-MMAS-CSOT-EBRU-MHAR,Interval 1,1,55.9,34.04,15.28,23.26,13
MMAS-MMAS-CSOT-HFRI-MVIC,Interval 1,1,27.4,15.6,17.95,25.55,7
OMUC-MMAS-CSOT-EMAS-MHAR,Interval 1,1,9.1,4.31,-111.37,-131.87,-12
MMAS-MMAS-EBRU-EMAS-HFRI,Interval 1,1,7.1,1.6,50.0,28.17,2
