lineup,possessions,minutes,plusminus,plusminus_per40,netrating,offrating,defrating
MMAS-MMAS-CSOT-EMAS-MVIC,238.58,154.07,-51,-13.24,-21.38,76.29,97.66
MMAS-MMAS-CSOT-EBRU-MVIC,188.02,109.27,-11,-4.03,-5.85,79.25,85.1
MMAS-MMAS-CSOT-EBRU-MHAR,120.6,72.17,-1,-0.55,-0.83,100.34,101.16
OMUC-MMAS-MMAS-EBRU-MHAR,117.28,74.23,0,0.0,0.0,94.64,94.64
MMAS-MMAS-CSOT-EMAS-MHAR,79.46,47.43,-21,-17.71,-26.43,61.67,88.1
OMUC-MMAS-CSOT-EBRU-MHAR,67.42,37.52,6,6.4,8.9,109.76,100.86
OMUC-MMAS-MMAS-EBRU-MVIC,55.46,36.04,16,17.76,28.85,111.79,82.94
OMUC-MMAS-MMAS-EMAS-MHAR,54.18,31.54,-26,-32.97,-47.99,71.98,119.97
OMUC-MMAS-CSOT-EMAS-MVIC,51.33,34.13,0,0.0,0.0,81.82,81.82
MMAS-MMAS-CSOT-HFRI-MVIC,49.32,28.42,18,25.33,36.5,99.35,62.86
OMUC-MMAS-MMAS-EMAS-MVIC,45.16,32.26,-23,-28.52,-50.93,59.78,110.71
OMUC-MMAS-CSOT-EBRU-MVIC,41.04,24.74,11,17.78,26.81,136.46,109.66
