lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
MMEE-AMAR-ESHE-MBUR-THUL,Interval 1,1,162.67,87.64,23.28,31.35,51
RMOG-AMAR-ESHE-MBUR-THUL,Interval 1,1,49.07,26.92,32.69,44.83,22
MMEE-RMOG-AMAR-MBUR-LSPE,Interval 1,1,11.72,6.11,26.19,34.14,4
RMOG-AMAR-ESHE-MBUR-DANA,Interval 1,1,0.5,0.17,-470.59,-400.0,-2
RMOG-AMAR-MBUR-DANA-THUL,Interval 1,1,1.96,1.47,-54.42,-101.78,-2
MMEE-ESHE-MBUR-NFRA-THUL,Interval 1,1,1.3,0.59,-67.8,-76.92,-1
MMEE-ESHE-MBUR-DANA-NFRA,Interval 1,1,3.36,1.46,54.79,59.44,2
RMOG-MBUR-DANA-LSPE-THUL,Interval 1,1,1.43,0.97,-82.47,-139.86,-2
MMEE-RMOG-AMAR-MBUR-THUL,Interval 1,1,27.91,16.18,29.67,43.0,12
MMEE-AMAR-ESHE-MBUR-LSPE,Interval 1,1,30.11,19.64,8.15,13.28,4
MMEE-RMOG-MBUR-LSPE-THUL,Interval 1,1,22.26,13.28,-12.05,-17.97,-4
MMEE-RMOG-AMAR-ESHE-MBUR,Interval 1,1,13.76,6.11,52.37,58.12,8
MMEE-RMOG-ESHE-NFRA-LSPE,Interval 1,1,3.76,1.87,-42.78,-53.12,-2
RMOG-AMAR-ESHE-MBUR-NFRA,Interval 1,1,4.96,2.27,-70.48,-80.56,-4
RMOG-AMAR-ESHE-NFRA-THUL,Interval 1,1,4.3,2.75,0.0,0.0,0
RMOG-MBUR-NFRA-LSPE-THUL,Interval 1,1,0.4,0.0,-inf,-500.0,-2
RMOG-AMAR-ESHE-MBUR-LSPE,Interval 1,1,17.32,9.21,99.89,132.79,23
RMOG-AMAR-DANA-NFRA-LSPE,Interval 1,1,2.0,1.18,0.0,0.0,0
TBAR-DANA-NFRA-LSPE-EZIM,Interval 1,1,0.36,0.0,-inf,-273.97,-1
RMOG-TBAR-DANA-LSPE-EZIM,Interval 1,1,1.0,0.85,0.0,0.0,0
MMEE-RMOG-DANA-LSPE-THUL,Interval 1,1,0.9,0.28,142.86,111.11,1
RMOG-DANA-NFRA-LSPE-EZIM,Interval 1,1,1.4,1.2,66.67,142.86,2
TBAR-AMAR-DANA-NFRA-LSPE,Interval 1,1,3.4,2.23,-35.87,-58.91,-2
RMOG-MBUR-DANA-NFRA-LSPE,Interval 1,1,2.46,1.0,0.0,0.0,0
RMOG-DANA-NFRA-LSPE-THUL,Interval 1,1,1.8,0.43,0.0,0.0,0
ESHE-DANA-NFRA-LSPE-EZIM,Interval 1,1,2.9,0.93,-301.08,-241.38,-7
RMOG-TBAR-DANA-NFRA-LSPE,Interval 1,1,2.43,1.23,-65.04,-82.2,-2
RMOG-MBUR-DANA-LSPE-EZIM,Interval 1,1,2.3,0.88,90.91,86.96,2
TBAR-AMAR-ESHE-NFRA-THUL,Interval 1,1,0.0,0.02,0.0,,0
AEDD-TBAR-ESTR-NFRA-EZIM,Interval 1,1,15.7,10.62,-75.33,-127.36,-20
RMOG-TBAR-ESTR-NFRA-EZIM,Interval 1,1,0.46,0.84,0.0,0.0,0
MMEE-RMOG-ESTR-AMAR-EZIM,Interval 1,1,0.5,0.2,0.0,0.0,0
MMEE-ESHE-MBUR-LSPE-THUL,Interval 1,1,14.73,6.55,0.0,0.0,0
RMOG-TBAR-AMAR-MBUR-THUL,Interval 1,1,3.8,1.72,-93.02,-105.26,-4
MMEE-AMAR-ESHE-MBUR-NFRA,Interval 1,1,5.6,2.75,58.18,71.45,4
MMEE-RMOG-TBAR-AMAR-THUL,Interval 1,1,2.96,1.42,-56.34,-67.45,-2
MMEE-MBUR-DANA-LSPE-THUL,Interval 1,1,5.96,3.58,44.69,67.06,4
MMEE-AMAR-DANA-NFRA-LSPE,Interval 1,1,2.46,1.55,-51.61,-81.14,-2
MMEE-RMOG-AMAR-ESHE-EZIM,Interval 1,1,3.43,1.94,0.0,0.0,0
RMOG-TBAR-ESTR-LSPE-EZIM,Interval 1,1,1.4,0.6,133.33,142.86,2
MMEE-RMOG-TBAR-LSPE-THUL,Interval 1,1,0.9,0.36,111.11,111.11,1
MMEE-RMOG-AMAR-ESHE-THUL,Interval 1,1,28.67,18.45,6.5,10.46,3
MMEE-ESHE-MBUR-DANA-LSPE,Interval 1,1,1.36,0.83,-96.39,-146.52,-2
MMEE-AMAR-ESHE-NFRA-LSPE,Interval 1,1,1.5,0.18,0.0,0.0,0
MMEE-RMOG-MBUR-NFRA-LSPE,Interval 1,1,4.33,3.03,-26.4,-46.19,-2
MMEE-RMOG-ESTR-LSPE-THUL,Interval 1,1,0.5,0.48,0.0,0.0,0
RMOG-TBAR-MBUR-NFRA-LSPE,Interval 1,1,4.4,2.92,-27.4,-45.51,-2
MMEE-AMAR-ESHE-MBUR-DANA,Interval 1,1,6.63,3.29,-36.47,-45.25,-3
MMEE-RMOG-TBAR-AMAR-NFRA,Interval 1,1,3.66,1.95,20.51,27.29,1
MMEE-RMOG-AMAR-ESHE-NFRA,Interval 1,1,1.73,0.81,-98.77,-115.41,-2
MMEE-AMAR-ESHE-LSPE-THUL,Interval 1,1,0.0,0.27,0.0,,0
RMOG-ESHE-MBUR-LSPE-THUL,Interval 1,1,6.0,3.9,10.26,16.67,1
MMEE-TBAR-AMAR-MBUR-THUL,Interval 1,1,2.8,1.18,33.9,35.71,1
MMEE-RMOG-NFRA-THUL-EZIM,Interval 1,1,0.5,0.21,0.0,0.0,0
MMEE-RMOG-NFRA-LSPE-EZIM,Interval 1,1,0.0,0.32,0.0,,0
MMEE-TBAR-MBUR-LSPE-THUL,Interval 1,1,2.33,1.85,86.49,171.67,4
MMEE-RMOG-MBUR-LSPE-EZIM,Interval 1,1,0.4,0.0,inf,500.0,2
MMEE-RMOG-ESHE-MBUR-LSPE,Interval 1,1,9.2,5.5,65.45,97.88,9
MMEE-RMOG-ESHE-LSPE-EZIM,Interval 1,1,1.5,0.93,-86.02,-133.33,-2
RMOG-AMAR-MBUR-DANA-LSPE,Interval 1,1,1.8,0.87,0.0,0.0,0
MMEE-RMOG-AMAR-MBUR-DANA,Interval 1,1,2.86,1.82,109.89,174.52,5
MMEE-ESHE-MBUR-DANA-THUL,Interval 1,1,2.46,1.52,52.63,81.14,2
MMEE-RMOG-MBUR-DANA-LSPE,Interval 1,1,5.07,3.12,0.0,0.0,0
RMOG-AMAR-ESHE-DANA-LSPE,Interval 1,1,10.12,5.54,-43.32,-59.26,-6
MMEE-RMOG-ESHE-LSPE-THUL,Interval 1,1,7.4,4.26,18.78,27.05,2
MMEE-TBAR-AMAR-ESHE-THUL,Interval 1,1,2.0,1.32,0.0,0.0,0
MMEE-TBAR-AMAR-ESHE-LSPE,Interval 1,1,5.06,2.76,43.48,59.23,3
RMOG-TBAR-ESHE-NFRA-LSPE,Interval 1,1,2.8,1.56,51.28,71.43,2
MMEE-AMAR-MBUR-NFRA-LSPE,Interval 1,1,1.96,0.9,-88.89,-101.78,-2
RMOG-AMAR-MBUR-NFRA-LSPE,Interval 1,1,1.73,1.83,43.72,115.61,2
RMOG-ESHE-NFRA-LSPE-THUL,Interval 1,1,1.66,0.95,126.32,180.18,3
TBAR-AMAR-ESHE-NFRA-LSPE,Interval 1,1,1.5,0.5,160.0,133.33,2
RMOG-AMAR-ESHE-NFRA-LSPE,Interval 1,1,3.33,2.71,29.52,60.06,2
RMOG-ESHE-MBUR-NFRA-LSPE,Interval 1,1,15.89,8.83,9.06,12.58,2
MMEE-RMOG-AMAR-DANA-LSPE,Interval 1,1,2.0,0.57,140.35,100.0,2
TBAR-AMAR-ESHE-MBUR-THUL,Interval 1,1,1.73,1.4,57.14,115.61,2
MMEE-RMOG-MBUR-NFRA-THUL,Interval 1,1,3.56,1.88,0.0,0.0,0
RMOG-AMAR-ESHE-DANA-THUL,Interval 1,1,2.93,1.76,45.45,68.26,2
MMEE-AMAR-MBUR-DANA-LSPE,Interval 1,1,1.0,0.87,91.95,200.0,2
RMOG-ESHE-MBUR-DANA-THUL,Interval 1,1,9.6,4.98,8.03,10.42,1
MMEE-AMAR-MBUR-DANA-THUL,Interval 1,1,1.9,1.17,0.0,0.0,0
RMOG-TBAR-AMAR-ESHE-THUL,Interval 1,1,3.46,1.77,0.0,0.0,0
RMOG-TBAR-MBUR-LSPE-THUL,Interval 1,1,1.46,1.05,0.0,0.0,0
TBAR-ESTR-NFRA-LSPE-EZIM,Interval 1,1,1.4,1.03,0.0,0.0,0
MMEE-RMOG-AMAR-MBUR-NFRA,Interval 1,1,3.9,3.2,62.5,128.37,5
MMEE-RMOG-ESHE-MBUR-THUL,Interval 1,1,1.9,1.43,27.97,52.63,1
MMEE-RMOG-ESHE-DANA-THUL,Interval 1,1,1.3,0.73,-54.79,-76.92,-1
MMEE-RMOG-AMAR-NFRA-LSPE,Interval 1,1,2.46,1.45,0.0,0.0,0
MMEE-ESHE-MBUR-NFRA-LSPE,Interval 1,1,2.0,1.17,-68.38,-100.0,-2
RMOG-TBAR-AMAR-MBUR-NFRA,Interval 1,1,3.0,2.62,0.0,0.0,0
RMOG-TBAR-ESTR-LSPE-THUL,Interval 1,1,4.0,1.83,65.57,75.0,3
MMEE-TBAR-ESHE-LSPE-THUL,Interval 1,1,1.46,1.25,-32.0,-68.26,-1
MMEE-RMOG-MBUR-DANA-NFRA,Interval 1,1,5.6,3.27,0.0,0.0,0
RMOG-ESTR-DANA-LSPE-EZIM,Interval 1,1,3.26,2.15,74.42,122.51,4
MMEE-RMOG-AMAR-ESHE-LSPE,Interval 1,1,39.13,18.97,2.11,2.56,1
MMEE-RMOG-ESHE-DANA-LSPE,Interval 1,1,4.1,3.38,47.34,97.61,4
MMEE-MBUR-DANA-NFRA-LSPE,Interval 1,1,3.9,2.43,0.0,0.0,0
RMOG-TBAR-AMAR-ESHE-LSPE,Interval 1,1,2.5,1.4,28.57,40.0,1
RMOG-ESHE-DANA-NFRA-THUL,Interval 1,1,1.66,1.23,97.56,180.18,3
AEDD-ESTR-NFRA-LSPE-EZIM,Interval 1,1,3.2,1.97,-40.61,-62.5,-2
MMEE-AMAR-MBUR-DANA-NFRA,Interval 1,1,7.53,2.72,88.24,79.68,6
AMAR-ESHE-MBUR-NFRA-THUL,Interval 1,1,3.43,1.5,186.67,204.08,7
MMEE-ESHE-NFRA-LSPE-THUL,Interval 1,1,3.5,1.57,152.87,171.43,6
RMOG-ESHE-MBUR-DANA-LSPE,Interval 1,1,5.36,2.62,137.4,167.75,9
MMEE-RMOG-AMAR-NFRA-EZIM,Interval 1,1,5.16,2.92,54.79,77.44,4
MMEE-AMAR-ESHE-MBUR-THUL,Interval 2,2,124.6,67.96,36.49,49.76,62
MMEE-RMOG-AMAR-ESHE-THUL,Interval 2,2,10.32,4.58,-69.87,-77.5,-8
MMEE-RMOG-TBAR-AMAR-EZIM,Interval 2,2,1.0,0.45,-177.78,-200.0,-2
RMOG-AMAR-ESHE-MBUR-LSPE,Interval 2,2,8.26,5.34,-29.96,-48.43,-4
MMEE-TBAR-AMAR-MBUR-LSPE,Interval 2,2,5.36,2.04,-58.82,-55.92,-3
MMEE-AMAR-ESHE-MBUR-LSPE,Interval 2,2,16.58,8.85,45.2,60.3,10
RMOG-AMAR-MBUR-DANA-THUL,Interval 2,2,4.16,2.98,0.0,0.0,0
RMOG-AMAR-MBUR-DANA-LSPE,Interval 2,2,8.86,3.8,-52.63,-56.4,-5
MMEE-AMAR-MBUR-DANA-LSPE,Interval 2,2,6.74,3.02,-79.47,-88.97,-6
MMEE-RMOG-ESHE-LSPE-THUL,Interval 2,2,6.3,3.4,-47.06,-63.54,-4
MMEE-RMOG-MBUR-LSPE-THUL,Interval 2,2,1.63,0.9,177.78,245.4,4
MMEE-ESHE-MBUR-DANA-EZIM,Interval 2,2,1.9,0.82,97.56,105.26,2
AEDD-TBAR-ESTR-LSPE-EZIM,Interval 2,2,5.83,2.6,-184.62,-205.83,-12
RMOG-TBAR-AMAR-NFRA-LSPE,Interval 2,2,1.5,0.38,-210.53,-133.33,-2
RMOG-AMAR-MBUR-DANA-NFRA,Interval 2,2,3.0,1.18,-67.8,-66.67,-2
MMEE-RMOG-AMAR-DANA-THUL,Interval 2,2,1.33,1.27,-94.49,-225.56,-3
MMEE-RMOG-AMAR-DANA-NFRA,Interval 2,2,2.9,0.8,0.0,0.0,0
MMEE-ESHE-MBUR-NFRA-THUL,Interval 2,2,1.0,0.24,0.0,0.0,0
MMEE-TBAR-AMAR-DANA-THUL,Interval 2,2,0.5,0.2,0.0,0.0,0
MMEE-RMOG-AMAR-DANA-LSPE,Interval 2,2,5.96,4.03,-69.48,-117.35,-7
RMOG-AMAR-ESHE-MBUR-DANA,Interval 2,2,19.36,11.66,-6.86,-10.33,-2
MMEE-MBUR-DANA-NFRA-THUL,Interval 2,2,0.4,0.0,-inf,-500.0,-2
RMOG-ESHE-DANA-LSPE-THUL,Interval 2,2,16.33,8.67,87.66,116.35,19
RMOG-ESHE-MBUR-DANA-THUL,Interval 2,2,0.5,0.47,0.0,0.0,0
MMEE-AMAR-ESHE-MBUR-DANA,Interval 2,2,17.04,10.42,-34.55,-52.8,-9
RMOG-AMAR-ESHE-DANA-THUL,Interval 2,2,2.9,1.87,-21.39,-34.48,-1
RMOG-AMAR-ESHE-MBUR-THUL,Interval 2,2,5.3,3.1,64.52,94.39,5
RMOG-TBAR-AMAR-MBUR-THUL,Interval 2,2,0.5,0.48,0.0,0.0,0
RMOG-TBAR-ESTR-NFRA-EZIM,Interval 2,2,0.5,0.03,0.0,0.0,0
MMEE-AMAR-ESHE-DANA-THUL,Interval 2,2,0.96,0.7,0.0,0.0,0
RMOG-ESHE-MBUR-LSPE-THUL,Interval 2,2,7.49,5.4,-29.63,-53.38,-4
MMEE-AMAR-MBUR-DANA-THUL,Interval 2,2,10.52,7.49,32.04,57.03,6
MMEE-RMOG-ESHE-DANA-THUL,Interval 2,2,0.0,0.15,0.0,,0
MMEE-ESHE-DANA-LSPE-THUL,Interval 2,2,7.83,4.58,-8.73,-12.77,-1
MMEE-RMOG-ESHE-MBUR-LSPE,Interval 2,2,1.6,0.29,-551.72,-250.0,-4
RMOG-ESHE-MBUR-NFRA-LSPE,Interval 2,2,1.9,0.8,-50.0,-52.63,-1
