lineup,possessions,minutes,plusminus,plusminus_per40,netrating,offrating,defrating
MMEE-AMAR-ESHE-MBUR-THUL,718.08,416.59,246,23.62,34.26,116.42,82.16
MMEE-AMAR-ESHE-MBUR-LSPE,121.67,69.56,24,13.8,19.73,121.64,101.91
MMEE-RMOG-AMAR-MBUR-THUL,100.83,65.2,19,11.66,18.84,101.16,82.31
MMEE-RMOG-AMAR-ESHE-THUL,97.2,57.12,-15,-10.5,-15.43,87.45,102.88
RMOG-AMAR-ESHE-MBUR-THUL,89.69,51.37,26,20.25,28.99,117.07,88.08
MMEE-RMOG-AMAR-MBUR-LSPE,79.35,46.23,-10,-8.65,-12.6,92.0,104.6
MMEE-RMOG-AMAR-ESHE-LSPE,77.24,41.59,6,5.77,7.77,94.51,86.74
RMOG-AMAR-ESHE-MBUR-LSPE,71.3,40.36,49,48.56,68.72,141.65,72.93
MMEE-ESHE-MBUR-LSPE-THUL,46.2,24.44,-4,-6.55,-8.66,99.58,108.23
MMEE-RMOG-AMAR-ESHE-NFRA,38.54,19.43,0,0.0,0.0,98.59,98.59
MMEE-RMOG-MBUR-LSPE-THUL,38.24,22.87,-1,-1.75,-2.61,94.13,96.74
AEDD-TBAR-ESTR-NFRA-EZIM,37.37,25.23,-32,-50.73,-85.63,56.19,141.82
