lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
MJON-KJOH-ASHO-EFOY-MAFE,Interval 1,1,71.41,44.35,16.23,25.21,18
JHUN-MJON-EWED-ECLA-NBER,Interval 1,1,5.94,3.02,-66.23,-84.12,-5
MHAS-JHUN-EFOY-EWED-NBER,Interval 1,1,6.06,3.56,-33.71,-49.5,-3
JHUN-KJOH-EFOY-EWED-ECLA,Interval 1,1,0.9,0.01,8000.0,222.22,2
MJON-KJOH-EFOY-MAFE-NBER,Interval 1,1,2.16,1.68,-71.43,-138.7,-3
JHUN-MJON-SMUR-KJOH-ECLA,Interval 1,1,0.0,0.01,0.0,,0
JHUN-MJON-KJOH-EWED-MAFE,Interval 1,1,6.31,3.91,10.23,15.85,1
MHAS-MJON-ZAOK-AKUR-EFOY,Interval 1,1,1.4,0.1,0.0,0.0,0
MJON-KJOH-EFOY-EWED-MAFE,Interval 1,1,25.9,14.99,13.34,19.31,5
JHUN-MJON-ASHO-EFOY-MAFE,Interval 1,1,5.5,2.93,-122.87,-163.64,-9
MJON-KJOH-ASHO-EFOY-EWED,Interval 1,1,11.36,6.65,30.08,43.99,5
MJON-ZAOK-KJOH-ASHO-EFOY,Interval 1,1,6.3,3.98,-40.2,-63.49,-4
MHAS-MJON-ASHO-EFOY-NBER,Interval 1,1,2.0,1.95,-41.03,-100.0,-2
JHUN-ASHO-EFOY-EWED-MAFE,Interval 1,1,5.93,3.79,-31.66,-50.59,-3
MJON-SMUR-ASHO-EFOY-MAFE,Interval 1,1,1.5,0.8,0.0,0.0,0
JHUN-KJOH-ASHO-EFOY-ECLA,Interval 1,1,2.9,1.81,-44.2,-68.97,-2
JHUN-MJON-EFOY-EWED-NBER,Interval 1,1,8.83,4.38,-45.66,-56.61,-5
MJON-ASHO-EFOY-MAFE-NBER,Interval 1,1,0.4,0.0,-inf,-250.0,-1
MJON-KJOH-ASHO-EWED-NBER,Interval 1,1,3.93,3.17,-37.85,-76.34,-3
JHUN-KJOH-ASHO-EFOY-MAFE,Interval 1,1,4.46,3.13,-25.56,-44.79,-2
MHAS-ZAOK-KJOH-EWED-ECLA,Interval 1,1,1.63,1.07,-37.38,-61.27,-1
JHUN-KJOH-ASHO-EFOY-EWED,Interval 1,1,1.4,0.77,0.0,0.0,0
JHUN-KJOH-ASHO-EWED-ECLA,Interval 1,1,1.5,1.18,0.0,0.0,0
MJON-KJOH-EWED-MAFE-ECLA,Interval 1,1,2.5,1.8,0.0,0.0,0
JHUN-MJON-EFOY-EWED-ECLA,Interval 1,1,1.5,0.93,-86.02,-133.33,-2
MHAS-MJON-ZAOK-KJOH-EWED,Interval 1,1,1.8,1.76,-68.18,-167.13,-3
JHUN-MJON-KJOH-EFOY-MAFE,Interval 1,1,15.56,8.81,-18.16,-25.71,-4
MHAS-KJOH-EFOY-EWED-NBER,Interval 1,1,2.33,1.48,-108.11,-171.67,-4
JHUN-MJON-KJOH-ASHO-ECLA,Interval 1,1,0.86,0.3,0.0,0.0,0
MHAS-KJOH-ASHO-EFOY-EWED,Interval 1,1,0.4,0.0,-inf,-250.0,-1
JHUN-SMUR-KJOH-ASHO-EWED,Interval 1,1,1.54,1.28,31.25,64.77,1
JHUN-KJOH-ASHO-AKUR-EFOY,Interval 1,1,0.5,0.75,0.0,0.0,0
MJON-KJOH-ASHO-EFOY-ECLA,Interval 1,1,18.72,11.73,23.87,37.39,7
MHAS-SMUR-KJOH-EFOY-ECLA,Interval 1,1,0.0,0.56,0.0,,0
JHUN-ZAOK-KJOH-EFOY-MAFE,Interval 1,1,0.96,0.77,-103.9,-207.25,-2
MJON-KJOH-EFOY-EWED-ECLA,Interval 1,1,7.9,3.79,-42.22,-50.66,-4
MHAS-KJOH-ASHO-EFOY-NBER,Interval 1,1,4.86,2.85,-70.18,-102.77,-5
JHUN-ASHO-EFOY-EWED-NBER,Interval 1,1,0.5,0.73,0.0,0.0,0
MHAS-KJOH-EFOY-MAFE-NBER,Interval 1,1,2.0,0.88,0.0,0.0,0
MHAS-JHUN-SMUR-KJOH-MAFE,Interval 1,1,1.96,1.83,-65.57,-152.67,-3
MHAS-ZAOK-KJOH-EWED-MAFE,Interval 1,1,2.96,1.33,-120.3,-134.91,-4
MHAS-MJON-ASHO-EFOY-MAFE,Interval 1,1,3.0,1.57,0.0,0.0,0
JHUN-MJON-ASHO-EWED-MAFE,Interval 1,1,3.4,2.2,36.36,58.91,2
JHUN-MJON-KJOH-MAFE-ECLA,Interval 1,1,0.9,0.52,-307.69,-444.44,-4
MJON-KJOH-EFOY-MAFE-ECLA,Interval 1,1,1.5,0.59,-67.8,-66.67,-1
JHUN-MJON-ASHO-EFOY-EWED,Interval 1,1,1.7,0.57,-70.18,-58.82,-1
MJON-ASHO-EFOY-EWED-MAFE,Interval 1,1,10.7,6.68,11.98,18.69,2
MHAS-MJON-KJOH-ASHO-ECLA,Interval 1,1,2.4,0.92,-217.39,-208.33,-5
MJON-SMUR-KJOH-EFOY-MAFE,Interval 1,1,8.14,5.84,6.85,12.29,1
MHAS-MJON-KJOH-EFOY-ECLA,Interval 1,1,1.5,0.65,0.0,0.0,0
MHAS-MENN-SMUR-KJOH-EWED,Interval 1,1,0.2,0.13,0.0,0.0,0
MHAS-KJOH-ASHO-EFOY-MAFE,Interval 1,1,10.17,5.7,-14.04,-19.66,-2
MJON-EFOY-EWED-MAFE-ECLA,Interval 1,1,2.33,1.25,-32.0,-42.92,-1
MHAS-JHUN-EFOY-EWED-ECLA,Interval 1,1,12.96,8.09,-14.83,-23.14,-3
ZAOK-KJOH-ASHO-AKUR-EFOY,Interval 1,1,1.43,1.28,-156.25,-349.65,-5
MHAS-MJON-KJOH-EWED-ECLA,Interval 1,1,13.6,9.06,52.98,88.27,12
MHAS-JHUN-AKUR-EFOY-MAFE,Interval 1,1,0.0,0.36,0.0,,0
MHAS-JHUN-EFOY-EWED-MAFE,Interval 1,1,1.5,1.07,74.77,133.33,2
JHUN-MJON-ASHO-EWED-NBER,Interval 1,1,0.93,1.23,0.0,0.0,0
JHUN-AKUR-EFOY-MAFE-ECLA,Interval 1,1,0.5,0.13,0.0,0.0,0
MHAS-JHUN-MJON-EWED-ECLA,Interval 1,1,1.4,0.63,-126.98,-142.86,-2
MHAS-JHUN-ASHO-EFOY-EWED,Interval 1,1,1.0,0.66,-121.21,-200.0,-2
MJON-ZAOK-KJOH-EFOY-EWED,Interval 1,1,0.9,0.39,0.0,0.0,0
MJON-KJOH-ASHO-EFOY-NBER,Interval 1,1,0.4,0.0,-inf,-500.0,-2
MJON-ZAOK-KJOH-EFOY-MAFE,Interval 1,1,4.4,1.45,-137.93,-113.64,-5
MHAS-SMUR-KJOH-ASHO-ECLA,Interval 1,1,1.9,0.85,47.06,52.63,1
JHUN-MJON-SMUR-KJOH-MAFE,Interval 1,1,1.36,0.19,-210.53,-73.26,-1
MHAS-MJON-KJOH-ASHO-EWED,Interval 1,1,6.96,4.2,9.52,14.36,1
MJON-ZAOK-KJOH-EFOY-ECLA,Interval 1,1,3.5,1.57,-50.96,-57.14,-2
MHAS-SMUR-KJOH-ASHO-MAFE,Interval 1,1,0.5,0.47,0.0,0.0,0
JHUN-MJON-KJOH-ASHO-MAFE,Interval 1,1,3.5,1.52,-26.32,-28.57,-1
MHAS-JHUN-MJON-EWED-NBER,Interval 1,1,1.0,0.53,0.0,0.0,0
MHAS-SMUR-EFOY-EWED-MAFE,Interval 1,1,3.43,1.37,-58.39,-58.31,-2
JHUN-MJON-EFOY-EWED-MAFE,Interval 1,1,1.0,0.98,0.0,0.0,0
JHUN-MJON-KJOH-ASHO-EFOY,Interval 1,1,1.26,0.72,-111.11,-158.1,-2
MJON-ASHO-EFOY-EWED-ECLA,Interval 1,1,4.46,3.02,0.0,0.0,0
MJON-ASHO-EFOY-MAFE-ECLA,Interval 1,1,1.4,0.58,0.0,0.0,0
JHUN-MJON-KJOH-MAFE-NBER,Interval 1,1,0.96,0.57,-70.18,-103.63,-1
MHAS-ASHO-EFOY-EWED-NBER,Interval 1,1,2.5,1.25,0.0,0.0,0
MHAS-MENN-SMUR-ASHO-EWED,Interval 1,1,2.86,1.7,-23.53,-34.9,-1
MHAS-SMUR-KJOH-EFOY-MAFE,Interval 1,1,2.37,1.73,-23.12,-42.28,-1
MJON-KJOH-ASHO-EWED-MAFE,Interval 1,1,4.46,2.25,-17.78,-22.4,-1
