lineup,possessions,minutes,plusminus,plusminus_per40,netrating,offrating,defrating
MJON-ZAOK-KJOH-ASHO-EFOY,130.12,77.29,18,9.32,13.83,97.6,83.77
JHUN-MJON-ZAOK-KJOH-ASHO,93.78,57.25,25,17.47,26.66,108.76,82.1
MJON-KJOH-ASHO-EFOY-MAFE,81.57,50.85,13,10.23,15.94,112.78,96.84
MJON-ZAOK-KJOH-ASHO-MAFE,51.67,36.4,5,5.49,9.68,104.51,94.83
MJON-ZAOK-KJOH-EFOY-MAFE,50.4,27.79,14,20.15,27.78,105.15,77.37
JHUN-MJON-ZAOK-KJOH-EFOY,48.44,27.89,-7,-10.04,-14.45,115.6,130.06
JHUN-MJON-KJOH-ASHO-EFOY,41.31,25.46,19,29.85,46.0,137.99,91.99
JHUN-ZAOK-KJOH-ASHO-EFOY,36.29,22.57,11,19.49,30.31,115.74,85.43
MJON-ZAOK-KJOH-ASHO-ECLA,33.34,20.55,-18,-35.04,-53.98,65.98,119.97
MJON-ZAOK-KJOH-AKUR-EFOY,31.86,17.73,1,2.26,3.14,106.72,103.58
MHAS-MJON-ZAOK-KJOH-EFOY,28.85,15.28,-12,-31.41,-41.59,72.78,114.37
MJON-KJOH-ASHO-EFOY-ECLA,27.61,17.48,7,16.02,25.36,123.16,97.8
