lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
LMCC-HRHO-JRHO-KHOR-CWRI,Interval 1,1,14.03,7.74,-56.85,-78.4,-11
LMCC-HRHO-JRHO-MTHA-CWRI,Interval 1,1,2.32,0.93,-215.05,-215.42,-5
ARAN-HRHO-JRHO-DMOO-KHOR,Interval 1,1,0.5,0.33,0.0,0.0,0
PSAN-ARAN-KHOR-MTHA-TREI,Interval 1,1,13.26,8.11,-29.59,-45.25,-6
ARAN-DMOO-KHOR-CWRI-TREI,Interval 1,1,3.9,2.12,0.0,0.0,0
ARAN-CGAL-HRHO-CWRI-TREI,Interval 1,1,0.7,0.33,-242.42,-285.71,-2
ARAN-HRHO-KHOR-CWRI-ECAR,Interval 1,1,2.23,1.05,-38.1,-44.84,-1
LMCC-HRHO-JRHO-KHOR-TREI,Interval 1,1,9.8,6.26,-6.39,-10.21,-1
LMCC-HRHO-KHOR-CWRI-TREI,Interval 1,1,17.49,10.46,-15.3,-22.87,-4
PSAN-HRHO-KHOR-TREI-ECAR,Interval 1,1,2.0,1.47,0.0,0.0,0
PSAN-ARAN-HRHO-JRHO-TREI,Interval 1,1,5.13,2.46,-113.82,-136.45,-7
LMCC-ARAN-DMOO-KHOR-TREI,Interval 1,1,6.06,3.28,12.2,16.49,1
LMCC-ARAN-JRHO-KHOR-TREI,Interval 1,1,7.76,4.09,-39.12,-51.51,-4
LMCC-ARAN-KHOR-MTHA-ECAR,Interval 1,1,1.4,0.07,-1714.29,-214.29,-3
LMCC-HRHO-KHOR-TREI-ECAR,Interval 1,1,1.7,1.02,-156.86,-235.29,-4
LMCC-ARAN-HRHO-MTHA-ERUS,Interval 1,1,1.4,0.7,0.0,0.0,0
LMCC-ARAN-CGAL-CWRI-ECAR,Interval 1,1,1.0,0.8,-100.0,-200.0,-2
LMCC-CGAL-JRHO-KHOR-ECAR,Interval 1,1,1.0,0.35,-228.57,-200.0,-2
LMCC-HRHO-KHOR-MTHA-CWRI,Interval 1,1,10.22,6.07,19.77,29.36,3
LMCC-ARAN-CGAL-CWRI-TREI,Interval 1,1,1.93,1.95,-61.54,-155.44,-3
LMCC-CGAL-KHOR-CWRI-TREI,Interval 1,1,7.0,3.74,-96.26,-128.57,-9
LMCC-HRHO-JRHO-KHOR-ECAR,Interval 1,1,0.86,0.8,-50.0,-115.61,-1
ARAN-HRHO-JRHO-KHOR-TREI,Interval 1,1,6.3,3.3,-60.61,-79.43,-5
LMCC-ARAN-KHOR-MTHA-ERUS,Interval 1,1,0.36,0.52,-153.85,-547.95,-2
LMCC-ARAN-KHOR-CWRI-ECAR,Interval 1,1,0.5,0.39,0.0,0.0,0
PSAN-ARAN-HRHO-DMOO-TREI,Interval 1,1,2.86,1.3,-215.38,-244.33,-7
ARAN-CGAL-DMOO-KHOR-CWRI,Interval 1,1,-0.04,0.25,0.0,,0
PSAN-ARAN-KHOR-MTHA-ECAR,Interval 1,1,2.5,1.28,-156.25,-200.0,-5
LMCC-ARAN-DMOO-KHOR-CWRI,Interval 1,1,3.5,2.05,0.0,0.0,0
ARAN-HRHO-KHOR-CWRI-TREI,Interval 1,1,24.83,14.74,19.0,28.2,7
PSAN-HRHO-KHOR-MTHA-TREI,Interval 1,1,4.3,2.18,18.35,23.26,1
LMCC-ARAN-JRHO-KHOR-CWRI,Interval 1,1,7.26,3.28,-36.59,-41.29,-3
ARAN-HRHO-MTHA-CWRI-TREI,Interval 1,1,0.86,0.22,-181.82,-115.61,-1
LMCC-ARAN-HRHO-CWRI-TREI,Interval 1,1,1.46,1.54,51.95,136.52,2
LMCC-ARAN-HRHO-KHOR-MTHA,Interval 1,1,0.9,0.23,-347.83,-222.22,-2
PSAN-ARAN-JRHO-KHOR-CWRI,Interval 1,1,4.0,1.83,-43.72,-50.0,-2
PSAN-ARAN-JRHO-KHOR-TREI,Interval 1,1,4.83,4.21,-9.5,-20.7,-1
PSAN-ARAN-HRHO-MTHA-CWRI,Interval 1,1,1.96,1.07,-149.53,-203.56,-4
LMCC-CGAL-HRHO-MTHA-CWRI,Interval 1,1,4.0,2.23,-89.69,-125.0,-5
LMCC-ARAN-JRHO-DMOO-KHOR,Interval 1,1,1.5,0.87,0.0,0.0,0
LMCC-ARAN-KHOR-MTHA-CWRI,Interval 1,1,24.4,12.72,40.88,53.28,13
PSAN-ARAN-HRHO-MTHA-ECAR,Interval 1,1,2.79,1.67,0.0,0.0,0
LMCC-PSAN-ARAN-CWRI-TREI,Interval 1,1,0.96,0.55,0.0,0.0,0
PSAN-HRHO-KHOR-MTHA-CWRI,Interval 1,1,6.4,5.62,-14.23,-31.27,-2
PSAN-ARAN-CGAL-KHOR-TREI,Interval 1,1,-0.04,0.17,0.0,,0
LMCC-HRHO-KHOR-MTHA-TREI,Interval 1,1,1.86,1.34,29.85,53.62,1
PSAN-ARAN-KHOR-CWRI-TREI,Interval 1,1,5.96,3.05,-78.69,-100.59,-6
LMCC-ARAN-KHOR-CWRI-TREI,Interval 1,1,61.1,38.18,0.0,0.0,0
ARAN-HRHO-KHOR-MTHA-TREI,Interval 1,1,3.2,1.2,-66.67,-62.5,-2
LMCC-ARAN-KHOR-MTHA-TREI,Interval 1,1,29.75,15.62,-15.36,-20.17,-6
LMCC-CGAL-HRHO-JRHO-CWRI,Interval 1,1,1.46,1.18,-101.69,-204.78,-3
LMCC-HRHO-DMOO-KHOR-TREI,Interval 1,1,9.33,4.89,16.36,21.44,2
CGAL-HRHO-KHOR-CWRI-TREI,Interval 1,1,2.0,1.05,0.0,0.0,0
LMCC-CGAL-KHOR-TREI-ECAR,Interval 1,1,1.9,0.93,86.02,105.26,2
PSAN-CGAL-KHOR-TREI-ECAR,Interval 1,1,2.16,1.15,0.0,0.0,0
CGAL-HRHO-JRHO-MTHA-CWRI,Interval 1,1,0.96,0.9,0.0,0.0,0
LMCC-HRHO-JRHO-DMOO-KHOR,Interval 1,1,1.66,1.03,116.5,180.18,3
PSAN-CGAL-HRHO-MTHA-TREI,Interval 1,1,2.0,1.15,34.78,50.0,1
PSAN-CGAL-LAMO-DMOO-ECAR,Interval 1,1,2.33,1.82,109.89,214.59,5
PSAN-HRHO-JRHO-KHOR-TREI,Interval 1,1,1.5,0.85,47.06,66.67,1
ARAN-HRHO-DMOO-KHOR-CWRI,Interval 1,1,7.83,4.25,56.47,76.63,6
LMCC-HRHO-KHOR-MTHA-ERUS,Interval 1,1,2.4,1.07,0.0,0.0,0
PSAN-CGAL-JRHO-LAMO-ECAR,Interval 1,1,5.96,3.6,-33.33,-50.29,-3
