lineup,possessions,minutes,plusminus,plusminus_per40,netrating,offrating,defrating
ARAN-HRHO-DMOO-KHOR-TREI,282.66,173.28,-47,-10.85,-16.63,82.43,99.06
LMCC-ARAN-KHOR-CWRI-TREI,127.21,75.27,-18,-9.57,-14.15,75.46,89.61
LMCC-ARAN-DMOO-KHOR-TREI,122.05,74.67,-34,-18.21,-27.86,100.78,128.64
ARAN-HRHO-KHOR-MTHA-TREI,106.93,66.58,-3,-1.8,-2.81,100.07,102.87
ARAN-HRHO-JRHO-KHOR-TREI,82.1,48.44,19,15.69,23.14,95.01,71.87
CGAL-HRHO-DMOO-KHOR-TREI,60.96,37.51,-1,-1.07,-1.64,95.14,96.78
ARAN-HRHO-JRHO-DMOO-KHOR,57.53,35.4,-22,-24.86,-38.24,81.7,119.94
LMCC-HRHO-DMOO-KHOR-TREI,45.01,25.91,-4,-6.18,-8.89,88.86,97.75
LMCC-ARAN-KHOR-MTHA-TREI,44.61,24.46,-7,-11.45,-15.69,91.91,107.6
ARAN-HRHO-KHOR-CWRI-TREI,41.28,23.43,-1,-1.71,-2.42,94.47,96.89
LMCC-HRHO-KHOR-CWRI-TREI,35.81,19.76,-13,-26.32,-36.3,94.94,131.24
LMCC-ARAN-KHOR-MTHA-CWRI,29.46,15.59,16,41.05,54.31,132.38,78.07
