lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
LLEI-EPAP-EPOR-AZIA-FWER,Interval 1,1,6.46,3.95,20.25,30.94,2
LLEI-CFUL-EPOR-AZIA-FWER,Interval 1,1,8.26,3.99,-40.1,-48.41,-4
CFUL-EPAP-EPOR-DSAN-FWER,Interval 1,1,2.93,1.93,-62.18,-102.39,-3
LLEI-CFUL-EPAP-EPOR-SCAS,Interval 1,1,3.2,1.62,-49.38,-62.5,-2
CFUL-EPOR-AZIA-DSAN-FWER,Interval 1,1,18.02,8.22,-34.06,-38.83,-7
CFUL-EPAP-EPOR-AZIA-FWER,Interval 1,1,7.66,4.05,-9.88,-13.05,-1
EPAP-EPOR-AZIA-FWER-SCAS,Interval 1,1,31.03,19.43,6.18,9.67,3
LLEI-AZIA-FWER-SCAS-LBAR,Interval 1,1,2.4,1.78,89.89,166.67,4
EPAP-EPOR-AZIA-FWER-LBAR,Interval 1,1,10.52,7.23,-11.07,-19.01,-2
CFUL-EPOR-AZIA-FWER-SCAS,Interval 1,1,7.43,4.87,-32.85,-53.84,-4
LLEI-CFUL-EPAP-EPOR-DSAN,Interval 1,1,6.06,3.95,-30.38,-49.46,-3
AKÉI-EPAP-EPOR-DSAN-LBAR,Interval 1,1,2.0,0.57,-280.7,-200.0,-4
CFUL-AZIA-DSAN-FWER-LBAR,Interval 1,1,1.9,0.55,-145.45,-105.26,-2
CFUL-EPOR-FWER-SCAS-LBAR,Interval 1,1,0.43,0.98,-81.63,-465.12,-2
LLEI-CFUL-FWER-SCAS-LBAR,Interval 1,1,1.0,0.78,-102.56,-200.0,-2
EPAP-AZIA-DSAN-FWER-LBAR,Interval 1,1,2.86,2.24,-142.86,-279.23,-8
CFUL-AZIA-FWER-LBAR-STHI,Interval 1,1,0.5,0.18,0.0,0.0,0
LLEI-CFUL-FWER-LBAR-STHI,Interval 1,1,0.43,0.9,0.0,0.0,0
LLEI-CFUL-EPOR-DSAN-FWER,Interval 1,1,8.95,6.41,18.72,33.51,3
CFUL-AKÉI-AZIA-DSAN-FWER,Interval 1,1,1.0,0.75,-160.0,-300.0,-3
LLEI-AKÉI-EPAP-EPOR-FWER,Interval 1,1,0.83,0.45,-88.89,-120.48,-1
LLEI-CFUL-AKÉI-EPOR-FWER,Interval 1,1,1.4,0.96,-83.33,-142.86,-2
LLEI-EPAP-EPOR-DSAN-FWER,Interval 1,1,26.55,16.39,-19.52,-30.13,-8
AKÉI-EPAP-EPOR-AZIA-DSAN,Interval 1,1,2.46,1.13,-70.8,-81.14,-2
LLEI-AKÉI-EPOR-FWER-STHI,Interval 1,1,2.4,1.22,-32.79,-41.67,-1
LLEI-EPOR-AZIA-SCAS-LBAR,Interval 1,1,1.0,0.67,0.0,0.0,0
LLEI-CFUL-AZIA-DSAN-FWER,Interval 1,1,32.36,21.19,1.89,3.09,1
CFUL-EPAP-AZIA-FWER-LBAR,Interval 1,1,2.76,1.08,-74.07,-72.33,-2
LLEI-AZIA-DSAN-FWER-LBAR,Interval 1,1,2.8,0.7,114.29,71.43,2
LLEI-CFUL-AZIA-FWER-LBAR,Interval 1,1,4.36,2.61,-15.33,-22.94,-1
AKÉI-EPOR-AZIA-FWER-STHI,Interval 1,1,0.0,0.02,0.0,,0
LLEI-EPAP-AZIA-DSAN-FWER,Interval 1,1,1.86,1.45,27.59,53.62,1
EPAP-EPOR-AZIA-DSAN-FWER,Interval 1,1,41.84,23.53,11.9,16.73,7
CFUL-AKÉI-EPAP-EPOR-DSAN,Interval 1,1,1.0,0.57,0.0,0.0,0
EPAP-EPOR-AZIA-SCAS-LBAR,Interval 1,1,3.43,1.89,42.33,58.31,2
LLEI-AKÉI-EPAP-DSAN-FWER,Interval 1,1,2.0,1.18,-169.49,-250.0,-5
CFUL-EPAP-AZIA-DSAN-LBAR,Interval 1,1,0.9,0.14,-571.43,-222.22,-2
LLEI-CFUL-EPAP-DSAN-FWER,Interval 1,1,16.42,9.68,-8.26,-12.18,-2
LLEI-EPAP-DSAN-FWER-LBAR,Interval 1,1,5.0,2.55,-109.8,-140.0,-7
LLEI-EPAP-DSAN-FWER-SCAS,Interval 1,1,1.84,0.65,-184.62,-162.69,-3
LLEI-EPAP-EPOR-DSAN-SCAS,Interval 1,1,1.5,0.98,0.0,0.0,0
LLEI-CFUL-EPAP-AZIA-SCAS,Interval 1,1,2.37,0.87,-45.98,-42.28,-1
LLEI-CFUL-EPAP-EPOR-LBAR,Interval 1,1,4.08,3.02,26.49,49.01,2
CFUL-EPAP-AZIA-DSAN-FWER,Interval 1,1,24.58,13.49,8.9,12.21,3
LLEI-EPAP-AZIA-FWER-SCAS,Interval 1,1,0.5,0.73,0.0,0.0,0
LLEI-EPAP-AZIA-DSAN-SCAS,Interval 1,1,0.9,0.33,0.0,0.0,0
LLEI-EPAP-EPOR-FWER-LBAR,Interval 1,1,4.26,3.23,-37.15,-70.39,-3
LLEI-EPOR-AZIA-FWER-LBAR,Interval 1,1,16.06,8.48,37.74,49.83,8
EPAP-EPOR-AZIA-DSAN-LBAR,Interval 1,1,4.36,2.37,-16.88,-22.91,-1
LLEI-EPAP-EPOR-DSAN-LBAR,Interval 1,1,5.22,3.8,10.53,19.14,1
LLEI-CFUL-DSAN-FWER-LBAR,Interval 1,1,14.24,8.31,4.81,7.02,1
LLEI-EPAP-EPOR-AZIA-DSAN,Interval 1,1,14.86,10.13,43.44,74.01,11
LLEI-EPAP-EPOR-AZIA-LBAR,Interval 1,1,5.4,2.43,0.0,0.0,0
AKÉI-EPAP-AZIA-FWER-LBAR,Interval 1,1,0.4,0.0,-inf,-500.0,-2
CFUL-EPAP-EPOR-AZIA-DSAN,Interval 1,1,5.16,2.75,0.0,0.0,0
LLEI-EPAP-FWER-LBAR-STHI,Interval 1,1,0.5,0.03,0.0,0.0,0
EPAP-AZIA-FWER-LBAR-STHI,Interval 1,1,0.0,0.12,0.0,,0
LLEI-CFUL-EPOR-AZIA-DSAN,Interval 1,1,6.36,3.69,0.0,0.0,0
LLEI-CFUL-EPAP-SCAS-LBAR,Interval 1,1,-0.07,0.6,0.0,,0
LLEI-EPAP-EPOR-AZIA-SCAS,Interval 1,1,4.0,1.93,-20.73,-25.0,-1
LLEI-EPOR-AZIA-FWER-SCAS,Interval 1,1,3.82,3.5,22.86,52.29,2
CFUL-EPAP-AZIA-FWER-SCAS,Interval 1,1,1.46,0.9,-222.22,-341.3,-5
LLEI-CFUL-EPOR-AZIA-SCAS,Interval 1,1,0.96,0.59,0.0,0.0,0
LLEI-AKÉI-EPAP-FWER-STHI,Interval 1,1,1.4,0.83,48.19,71.43,1
LLEI-CFUL-AKÉI-FWER-LBAR,Interval 1,1,3.5,1.03,-233.01,-171.43,-6
CFUL-AKÉI-AZIA-FWER-LBAR,Interval 1,1,0.93,0.77,0.0,0.0,0
AKÉI-EPAP-AZIA-FWER-STHI,Interval 1,1,2.26,0.97,-123.71,-132.45,-3
LLEI-CFUL-EPAP-EPOR-FWER,Interval 1,1,10.26,4.5,-35.56,-38.97,-4
CFUL-EPAP-EPOR-AZIA-SCAS,Interval 1,1,2.83,2.37,67.51,141.34,4
LLEI-CFUL-AKÉI-DSAN-FWER,Interval 1,1,18.4,9.62,16.63,21.75,4
CFUL-EPOR-AZIA-FWER-LBAR,Interval 1,1,11.83,6.3,0.0,0.0,0
AKÉI-EPAP-EPOR-AZIA-FWER,Interval 1,1,6.8,3.76,85.11,117.73,8
LLEI-CFUL-EPOR-FWER-SCAS,Interval 1,1,1.46,1.47,0.0,0.0,0
LLEI-EPAP-AZIA-FWER-LBAR,Interval 1,1,0.46,0.68,117.65,430.11,2
LLEI-CFUL-EPAP-FWER-LBAR,Interval 1,1,2.5,1.62,49.38,80.0,2
LLEI-EPOR-AZIA-DSAN-FWER,Interval 1,1,24.36,14.47,19.35,28.74,7
LLEI-EPAP-EPOR-FWER-SCAS,Interval 1,1,9.13,5.63,-28.42,-43.81,-4
EPAP-EPOR-AZIA-FWER-STHI,Interval 1,1,3.2,1.37,-58.39,-62.5,-2
LLEI-CFUL-EPOR-FWER-LBAR,Interval 1,1,1.5,0.67,0.0,0.0,0
CFUL-EPAP-DSAN-FWER-LBAR,Interval 1,1,3.1,1.82,153.85,225.81,7
LLEI-AKÉI-EPAP-EPOR-LBAR,Interval 1,1,4.5,2.8,0.0,0.0,0
LLEI-EPOR-DSAN-FWER-LBAR,Interval 1,1,4.6,2.44,0.0,0.0,0
AKÉI-EPAP-MHER-LBAR-STHI,Interval 1,1,3.46,2.77,43.32,86.71,3
CFUL-EPOR-AZIA-FWER-STHI,Interval 1,1,4.93,2.2,-54.55,-60.85,-3
EPAP-AZIA-DSAN-MHER-STHI,Interval 1,1,2.3,1.58,75.95,130.43,3
AKÉI-EPOR-AZIA-DSAN-FWER,Interval 1,1,5.52,2.88,0.0,0.0,0
LLEI-AKÉI-EPOR-DSAN-FWER,Interval 1,1,4.4,2.08,76.92,90.97,4
LLEI-AKÉI-EPAP-EPOR-DSAN,Interval 1,1,4.16,3.98,70.35,168.19,7
LLEI-CFUL-EPAP-AZIA-DSAN,Interval 1,1,3.5,2.01,139.3,200.0,7
AKÉI-EPOR-AZIA-FWER-LBAR,Interval 1,1,9.83,4.6,-8.7,-10.17,-1
LLEI-CFUL-EPOR-DSAN-FWER,Interval 2,2,113.74,67.87,14.73,21.98,25
LLEI-CFUL-AKÉI-EPAP-FWER,Interval 2,2,4.8,3.38,23.67,41.71,2
LLEI-EPAP-EPOR-AZIA-FWER,Interval 2,2,8.1,3.85,-31.17,-37.04,-3
LLEI-AKÉI-EPOR-AZIA-FWER,Interval 2,2,12.73,5.73,69.81,78.55,10
LLEI-CFUL-EPAP-EPOR-FWER,Interval 2,2,6.86,4.55,-87.91,-145.67,-10
LLEI-AKÉI-MVUK-EPAP-FWER,Interval 2,2,5.86,2.88,-83.33,-102.3,-6
CFUL-EPOR-AZIA-DSAN-FWER,Interval 2,2,29.41,14.79,2.7,3.4,1
LLEI-EPAP-AZIA-DSAN-FWER,Interval 2,2,1.9,0.9,-44.44,-52.63,-1
AKÉI-MVUK-EPAP-AZIA-LBAR,Interval 2,2,1.8,1.03,-116.5,-166.67,-3
