lineup,possessions,minutes,plusminus,plusminus_per40,netrating,offrating,defrating
LLEI-CFUL-EPOR-AZIA-FWER,186.55,110.37,-29,-10.51,-15.55,91.13,106.67
LLEI-CFUL-AKÉI-EPOR-FWER,173.4,106.13,32,12.06,18.45,105.53,87.08
LLEI-CFUL-EPOR-DSAN-FWER,122.69,74.28,28,15.08,22.82,105.14,82.32
LLEI-EPAP-EPOR-AZIA-FWER,89.17,52.72,0,0.0,0.0,94.2,94.2
LLEI-AKÉI-EPOR-AZIA-FWER,82.72,49.37,4,3.24,4.84,96.71,91.88
EPAP-EPOR-AZIA-DSAN-FWER,70.61,37.18,28,30.12,39.66,109.05,69.4
LLEI-EPOR-AZIA-DSAN-FWER,49.15,28.52,18,25.25,36.62,126.15,89.53
LLEI-CFUL-EPAP-AZIA-FWER,48.48,32.03,-13,-16.23,-26.82,78.38,105.2
CFUL-EPOR-AZIA-DSAN-FWER,47.44,23.01,-6,-10.43,-12.65,61.14,73.79
LLEI-CFUL-AZIA-DSAN-FWER,43.02,28.02,8,11.42,18.6,83.68,65.08
LLEI-CFUL-AKÉI-AZIA-FWER,42.33,24.65,-1,-1.62,-2.36,66.15,68.51
LLEI-EPAP-EPOR-DSAN-FWER,41.14,24.29,-8,-13.17,-19.44,87.5,106.94
