lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
MNAR-MLAT-HRAP-OPOL-GGRI,Interval 1,1,65.28,41.46,16.4,26.04,17
MNAR-MLAT-HRAP-MCUR-OPOL,Interval 1,1,2.2,0.77,-259.74,-227.27,-5
MNAR-KING-HRAP-MCUR-GGRI,Interval 1,1,0.0,0.07,0.0,,0
MNAR-KING-MLAT-OPOL-GGRI,Interval 1,1,23.23,14.5,-24.83,-38.75,-9
MNAR-MLAT-HRAP-AGOO-OPOL,Interval 1,1,27.8,14.73,-27.16,-35.98,-10
MNAR-MLAT-MCUR-OPOL-GGRI,Interval 1,1,3.23,2.38,-16.81,-30.96,-1
MNAR-KING-IKOR-AGOO-OPOL,Interval 1,1,1.33,0.62,-64.52,-75.19,-1
KING-MLAT-HRAP-OPOL-GGRI,Interval 1,1,6.66,3.68,-32.61,-45.05,-3
MNAR-KING-MLAT-IKOR-OPOL,Interval 1,1,2.5,1.3,-61.54,-80.0,-2
MNAR-KING-MLAT-HRAP-OPOL,Interval 1,1,39.26,25.02,-20.78,-33.11,-13
MNAR-KING-MCUR-IKOR-OPOL,Interval 1,1,0.9,0.17,-470.59,-222.22,-2
MNAR-KING-MLAT-HRAP-GGRI,Interval 1,1,2.37,1.55,-51.61,-84.57,-2
MNAR-KING-MCUR-AGOO-GGRI,Interval 1,1,6.16,3.16,-113.92,-145.99,-9
MNAR-KING-HRAP-IKOR-GGRI,Interval 1,1,6.9,3.01,-53.16,-57.97,-4
MNAR-HRAP-MCUR-AGOO-OPOL,Interval 1,1,3.36,1.58,50.63,59.44,2
MLAT-MCUR-IKOR-AGOO-GGRI,Interval 1,1,3.6,1.48,-54.05,-55.56,-2
KING-MLAT-MCUR-AGOO-OPOL,Interval 1,1,7.83,4.73,-16.91,-25.54,-2
MNAR-HRAP-MCUR-OPOL-GGRI,Interval 1,1,13.68,10.34,-19.34,-36.54,-5
KING-MLAT-HRAP-MCUR-OPOL,Interval 1,1,0.9,0.38,-210.53,-222.22,-2
MNAR-HRAP-IKOR-OPOL-GGRI,Interval 1,1,2.5,0.9,-177.78,-160.0,-4
MNAR-KING-HRAP-MCUR-OPOL,Interval 1,1,16.36,7.83,15.33,18.34,3
MNAR-KING-MCUR-AGOO-OPOL,Interval 1,1,36.09,21.89,-47.51,-72.04,-26
KING-MLAT-MCUR-IKOR-OPOL,Interval 1,1,1.3,1.4,28.57,77.22,1
MNAR-HRAP-IKOR-AGOO-OPOL,Interval 1,1,1.5,1.05,-76.19,-133.33,-2
KING-MCUR-IKOR-AGOO-GGRI,Interval 1,1,0.0,0.07,0.0,,0
MNAR-KING-HRAP-IKOR-OPOL,Interval 1,1,0.4,0.0,-inf,-500.0,-2
KING-MLAT-MCUR-OPOL-GGRI,Interval 1,1,2.43,1.62,49.38,82.3,2
MNAR-KING-HRAP-AGOO-OPOL,Interval 1,1,37.83,21.92,34.67,50.22,19
MNAR-KING-MLAT-HRAP-AGOO,Interval 1,1,5.0,3.42,-11.7,-20.0,-1
MNAR-KING-MCUR-IKOR-AGOO,Interval 1,1,5.66,4.47,-71.59,-141.22,-8
KING-MLAT-HRAP-MCUR-GGRI,Interval 1,1,1.33,0.67,-119.4,-150.04,-2
MNAR-MLAT-HRAP-MCUR-AGOO,Interval 1,1,5.46,2.09,-19.14,-18.3,-1
KING-MLAT-MCUR-IKOR-GGRI,Interval 1,1,7.29,5.13,38.99,68.61,5
MNAR-KING-MLAT-HRAP-IKOR,Interval 1,1,1.4,0.45,-177.78,-142.86,-2
MNAR-KING-HRAP-MCUR-IKOR,Interval 1,1,1.8,0.79,-202.53,-222.22,-4
MNAR-MLAT-MCUR-IKOR-AGOO,Interval 1,1,16.18,9.35,17.11,24.72,4
MNAR-KING-HRAP-MCUR-AGOO,Interval 1,1,7.96,4.82,33.2,50.25,4
MNAR-KING-GHAR-AGOO-OPOL,Interval 1,1,0.5,0.67,-119.4,-400.0,-2
KING-MLAT-HRAP-MCUR-AGOO,Interval 1,1,0.5,0.55,0.0,0.0,0
MNAR-KING-MLAT-AGOO-OPOL,Interval 1,1,19.62,11.21,-49.96,-71.34,-14
MNAR-KING-HRAP-OPOL-GGRI,Interval 1,1,45.7,26.66,1.5,2.19,1
MNAR-HRAP-MCUR-AGOO-GGRI,Interval 1,1,0.96,0.73,164.38,310.88,3
MNAR-HRAP-MCUR-IKOR-OPOL,Interval 1,1,0.5,0.3,400.0,600.0,3
KING-HRAP-MCUR-AGOO-OPOL,Interval 1,1,4.6,2.1,-57.14,-65.22,-3
MNAR-MLAT-HRAP-MCUR-GGRI,Interval 1,1,3.0,2.28,35.09,66.67,2
MNAR-MLAT-MCUR-AGOO-GGRI,Interval 1,1,1.6,0.97,82.47,125.0,2
MNAR-KING-MLAT-IKOR-GGRI,Interval 1,1,3.83,2.47,-97.17,-156.66,-6
MNAR-KING-MCUR-OPOL-GGRI,Interval 1,1,17.32,10.57,11.35,17.32,3
KING-MLAT-HRAP-AGOO-OPOL,Interval 1,1,2.82,1.48,27.03,35.45,1
MNAR-HRAP-MCUR-IKOR-GGRI,Interval 1,1,1.9,1.37,29.2,52.63,1
MNAR-MLAT-MCUR-AGOO-OPOL,Interval 1,1,23.25,14.5,8.28,12.9,3
KING-HRAP-MCUR-OPOL-GGRI,Interval 1,1,3.0,1.63,0.0,0.0,0
MLAT-GHAR-IKOR-AGOO-GGRI,Interval 1,1,4.43,2.3,52.17,67.72,3
MLAT-MCUR-IKOR-OPOL-GGRI,Interval 1,1,2.46,2.02,0.0,0.0,0
MLAT-HRAP-MCUR-IKOR-AGOO,Interval 1,1,2.86,1.81,0.0,0.0,0
MLAT-MCUR-GHAR-IKOR-AGOO,Interval 1,1,5.74,2.82,42.55,52.23,3
MNAR-KING-MLAT-IKOR-AGOO,Interval 1,1,4.2,2.97,53.87,95.24,4
MNAR-KING-GHAR-OPOL-GGRI,Interval 1,1,3.43,2.23,53.81,87.46,3
KING-MLAT-MCUR-IKOR-AGOO,Interval 1,1,6.16,4.58,-17.47,-32.47,-2
MNAR-KING-MCUR-IKOR-GGRI,Interval 1,1,7.43,4.78,100.42,161.51,12
MNAR-MLAT-MCUR-IKOR-GGRI,Interval 1,1,9.6,5.23,61.19,83.38,8
MNAR-MLAT-HRAP-OPOL-GGRI,Interval 2,2,77.68,49.75,-4.02,-6.44,-5
MNAR-MLAT-IKOR-AGOO-OPOL,Interval 2,2,3.91,2.23,-107.62,-153.49,-6
MNAR-MLAT-IKOR-OPOL-GGRI,Interval 2,2,9.86,5.35,-7.48,-10.14,-1
MNAR-KING-MLAT-HRAP-OPOL,Interval 2,2,43.88,26.9,-16.36,-25.07,-11
MNAR-KING-MLAT-IKOR-OPOL,Interval 2,2,22.62,14.43,-33.26,-53.05,-12
