lineup,possessions,minutes,plusminus,plusminus_per40,netrating,offrating,defrating
MNAR-KING-MLAT-HRAP-OPOL,221.2,133.71,-42,-12.56,-18.99,84.99,103.98
MNAR-MLAT-HRAP-OPOL-GGRI,170.4,109.45,5,1.83,2.93,93.9,90.96
MNAR-KING-MLAT-AGOO-OPOL,158.28,96.11,-48,-19.98,-30.33,94.14,124.46
MNAR-MLAT-HRAP-AGOO-OPOL,109.48,63.57,-8,-5.03,-7.31,84.03,91.34
MNAR-KING-HRAP-OPOL-GGRI,100.88,61.73,13,8.42,12.89,109.04,96.15
MNAR-KING-MCUR-AGOO-OPOL,92.87,52.35,-34,-25.98,-36.61,77.53,114.14
MNAR-KING-HRAP-AGOO-OPOL,84.71,51.17,22,17.2,25.97,109.79,83.82
MNAR-KING-MLAT-OPOL-GGRI,83.7,51.02,-3,-2.35,-3.58,94.38,97.96
KING-MLAT-HRAP-MCUR-OPOL,72.69,41.44,-12,-11.58,-16.51,85.29,101.8
MNAR-MLAT-MCUR-AGOO-OPOL,58.09,38.52,22,22.85,37.87,117.06,79.19
MNAR-KING-HRAP-MCUR-OPOL,54.82,32.16,2,2.49,3.65,109.46,105.81
KING-MLAT-MCUR-AGOO-OPOL,47.17,28.99,13,17.94,27.56,108.11,80.56
