lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
EVIL-ATUH-JVIL-TWAL-ACOV,Interval 1,1,150.36,85.76,-10.26,-14.63,-22
EVIL-ATUH-CABR-JVIL-TWAL,Interval 1,1,31.56,16.35,34.25,44.35,14
EVIL-ADAR-MALS-CABR-TWAL,Interval 1,1,0.0,0.25,0.0,,0
JCHI-ADAR-MALS-CABR-JVIL,Interval 1,1,1.86,1.2,-66.67,-107.24,-2
EVIL-ADAR-MALS-CABR-ACOV,Interval 1,1,3.43,2.15,-93.02,-145.77,-5
JCHI-ADAR-KGAR-MALS-ACOV,Interval 1,1,1.0,0.53,-150.94,-200.0,-2
JCHI-ATUH-MALS-CABR-ACOV,Interval 1,1,1.86,1.62,-98.77,-214.48,-4
JCHI-ADAR-KGAR-MALS-JVIL,Interval 1,1,1.0,0.25,-320.0,-200.0,-2
EVIL-ATUH-KGAR-MALS-CKPE,Interval 1,1,4.0,1.9,-168.42,-200.0,-8
EVIL-ATUH-JVIL-TWAL-CKPE,Interval 1,1,28.76,17.7,-22.6,-34.77,-10
ATUH-ADAR-MALS-JVIL-CKPE,Interval 1,1,1.6,0.68,58.82,62.5,1
EVIL-ATUH-MALS-DMEN-TWAL,Interval 1,1,6.93,3.1,-25.81,-28.86,-2
EVIL-ADAR-MALS-CABR-DMEN,Interval 1,1,4.26,2.41,0.0,0.0,0
JCHI-ADAR-MALS-CABR-ACOV,Interval 1,1,7.7,5.18,-23.17,-38.99,-3
EVIL-ATUH-CABR-TWAL-CKPE,Interval 1,1,30.86,17.74,-40.59,-58.34,-18
EVIL-MALS-CABR-JVIL-TWAL,Interval 1,1,2.76,1.43,-27.97,-36.17,-1
JCHI-EVIL-ADAR-JVIL-TWAL,Interval 1,1,0.5,0.18,0.0,0.0,0
JCHI-EVIL-CABR-JVIL-TWAL,Interval 1,1,1.46,0.75,-106.67,-136.52,-2
JCHI-ADAR-MALS-TWAL-ACOV,Interval 1,1,0.96,0.43,0.0,0.0,0
JCHI-MALS-CABR-JVIL-TWAL,Interval 1,1,3.5,2.51,-31.87,-57.14,-2
EVIL-ADAR-MALS-TWAL-ACOV,Interval 1,1,1.9,1.32,-121.21,-210.53,-4
EVIL-ATUH-ADAR-JVIL-TWAL,Interval 1,1,2.26,1.47,54.42,88.3,2
ATUH-MALS-CABR-JVIL-CKPE,Interval 1,1,0.96,1.05,0.0,0.0,0
JCHI-MALS-CABR-TWAL-ACOV,Interval 1,1,1.36,0.48,83.33,73.26,1
JCHI-EVIL-MALS-TWAL-ACOV,Interval 1,1,0.4,0.0,inf,250.0,1
ATUH-CABR-DMEN-TWAL-ACOV,Interval 1,1,10.19,5.89,-47.54,-68.69,-7
EVIL-ATUH-MALS-TWAL-CKPE,Interval 1,1,4.36,3.2,-25.0,-45.82,-2
ATUH-CABR-DMEN-TWAL-CKPE,Interval 1,1,0.86,0.43,-186.05,-231.21,-2
JCHI-EVIL-MALS-TWAL-CKPE,Interval 1,1,1.2,0.77,-103.9,-166.67,-2
JCHI-ADAR-CABR-JVIL-ACOV,Interval 1,1,0.5,0.13,0.0,0.0,0
JCHI-CABR-JVIL-TWAL-ACOV,Interval 1,1,1.0,0.7,-171.43,-300.0,-3
EVIL-ADAR-KGAR-CABR-TWAL,Interval 1,1,2.93,1.7,-94.12,-136.52,-4
EVIL-ATUH-MALS-CABR-DMEN,Interval 1,1,1.5,0.92,-86.96,-133.33,-2
EVIL-ADAR-KGAR-TWAL-CKPE,Interval 1,1,1.5,0.5,0.0,0.0,0
JCHI-EVIL-MALS-CABR-DMEN,Interval 1,1,3.23,1.05,-114.29,-92.88,-3
EVIL-ATUH-KGAR-TWAL-CKPE,Interval 1,1,1.33,0.83,-96.39,-150.38,-2
JCHI-EVIL-MALS-CABR-CKPE,Interval 1,1,0.5,0.45,0.0,0.0,0
JCHI-ATUH-MALS-CABR-CKPE,Interval 1,1,2.86,3.33,0.0,0.0,0
JCHI-EVIL-CABR-TWAL-CKPE,Interval 1,1,8.43,5.53,7.23,11.86,1
EVIL-ATUH-CABR-TWAL-ACOV,Interval 1,1,1.83,1.02,-117.65,-163.93,-3
EVIL-CABR-JVIL-DMEN-TWAL,Interval 1,1,6.23,3.77,-63.66,-96.31,-6
JCHI-ATUH-ADAR-DMEN-TWAL,Interval 1,1,2.5,1.22,-163.93,-200.0,-5
EVIL-MALS-CABR-JVIL-DMEN,Interval 1,1,1.13,0.62,-64.52,-88.34,-1
JCHI-ATUH-CABR-TWAL-CKPE,Interval 1,1,0.9,0.29,0.0,0.0,0
EVIL-ADAR-MALS-JVIL-CKPE,Interval 1,1,1.8,1.14,-105.26,-166.67,-3
ATUH-CABR-JVIL-TWAL-ACOV,Interval 1,1,23.03,12.86,-9.33,-13.03,-3
EVIL-ATUH-ADAR-DMEN-TWAL,Interval 1,1,5.73,2.78,-43.17,-52.36,-3
ATUH-MALS-CABR-DMEN-TWAL,Interval 1,1,4.96,2.12,-113.21,-120.85,-6
ATUH-KGAR-CABR-JVIL-TWAL,Interval 1,1,0.0,0.13,0.0,,0
