lineup,possessions,minutes,plusminus,plusminus_per40,netrating,offrating,defrating
EVIL-ATUH-JVIL-TWAL-ACOV,322.08,186.04,3,0.65,0.93,96.56,95.63
EVIL-ATUH-JVIL-DMEN-TWAL,267.26,157.12,59,15.02,22.08,105.14,83.06
EVIL-ATUH-CABR-TWAL-CKPE,125.13,75.78,-10,-5.28,-7.99,87.11,95.1
EVIL-ATUH-JVIL-TWAL-CKPE,124.37,74.44,-10,-5.37,-8.04,85.23,93.27
EVIL-ATUH-CABR-DMEN-TWAL,92.38,54.71,14,10.24,15.16,101.76,86.6
EVIL-ATUH-CABR-JVIL-TWAL,67.69,37.18,28,30.12,41.37,135.92,94.55
EVIL-ATUH-CABR-TWAL-ACOV,65.81,40.52,-17,-16.78,-25.83,85.09,110.92
EVIL-ATUH-MALS-DMEN-TWAL,43.34,26.22,14,21.36,32.3,129.2,96.9
EVIL-ATUH-MALS-TWAL-ACOV,40.52,24.84,-1,-1.61,-2.47,96.24,98.71
EVIL-KGAR-CABR-DMEN-TWAL,31.01,18.33,5,10.91,16.12,99.97,83.85
ATUH-CABR-JVIL-TWAL-ACOV,29.9,16.34,-4,-9.79,-13.38,70.23,83.61
EVIL-ATUH-KGAR-TWAL-ACOV,28.8,18.53,6,12.95,20.84,100.71,79.87
