team,lineup,stabilized_at,stabilized_p40,final_plusminus_per40,total_minutes
Gonzaga,ATUR-CO'C-YEJI-ELIT-MHUI,94.29,14.42,14.42,94.29
Gonzaga,ATUR-IBET-CO'C-MDAL-YEJI,29.65,20.24,19.11,31.4
Gonzaga,ATUR-IBET-CO'C-YEJI-MHUI,99.83,9.22,9.14,100.68
Gonzaga,ATUR-IBET-YEJI-BSAL-ELIT,27.08,28.06,28.06,27.08
Gonzaga,ATUR-TDAL-BSAL-ELIT-MHUI,16.85,-21.36,-8.04,29.84
Gonzaga,ATUR-TDAL-CO'C-YEJI-ELIT,52.06,33.04,30.36,86.97
Gonzaga,ATUR-TDAL-YEJI-BSAL-MHUI,29.86,-4.02,-4.02,29.86
LMU (CA),BWIL-NEVA-ACLA-MHER-CHEI,317.64,-4.91,-4.91,317.64
LMU (CA),BWIL-NEVA-ACLA-ZOGO-MHER,24.88,1.61,1.61,24.88
LMU (CA),BWIL-NEVA-MHER-ASIT-CHEI,28.55,-4.2,-4.2,28.55
LMU (CA),BWIL-NEVA-ZOGO-ASIT-CHEI,37.79,13.76,13.76,37.79
LMU (CA),BWIL-NEVA-ZOGO-ATOO-CHEI,8.46,-85.11,-72.51,13.24
LMU (CA),BWIL-NEVA-ZOGO-MHER-CHEI,106.99,-2.24,-1.91,188.91
Oregon St.,ASCH-KSHU-AMAR-KREE-SHEI,39.22,-8.16,5.79,124.43
Oregon St.,ASCH-KSHU-CFER-AMAR-KREE,131.62,-7.29,-7.29,131.62
Oregon St.,ASCH-KSHU-CFER-AMAR-SHEI,15.11,-13.24,6.37,43.95
Oregon St.,ASCH-KSHU-TBOL-AMAR-KREE,29.8,-20.13,-13.57,32.43
Oregon St.,ASCH-KSHU-TBOL-CFER-KREE,30.06,15.97,16.81,33.31
Oregon St.,CVEC-TBOL-CFER-AMAR-KREE,34.5,2.32,2.13,37.48
Oregon St.,KSHU-CFER-AMAR-KREE-SHEI,41.82,-5.74,-5.74,41.82
Oregon St.,KSHU-TBOL-AMAR-KREE-SHEI,26.57,-4.52,-1.62,73.97
Oregon St.,KSHU-TBOL-CFER-AMAR-KREE,269.14,-2.38,0.8,348.67
Oregon St.,KSHU-TBOL-CFER-AMAR-SHEI,75.77,-12.14,-12.14,75.77
Pacific,AJAM-LSMI-JKEN-SWAR-MRAD,42.24,3.79,3.79,42.24
Pacific,AJAM-LSMI-NLOW-EELL-LGLA,48.99,4.9,6.01,59.87
Pacific,AJAM-LSMI-NLOW-SWAR-EELL,96.55,-2.49,-0.98,121.87
Pacific,AJAM-LSMI-SSZA-SWAR-EELL,19.32,2.07,2.07,19.32
Pacific,AJAM-LSMI-SWAR-EELL-MRAD,174.58,4.35,5.37,230.88
Pacific,DNES-AJAM-LSMI-SWAR-EELL,32.11,-13.7,-7.47,42.81
Pacific,DNES-LSMI-SWAR-EELL-MRAD,10.65,-15.02,-9.55,20.94
Pacific,LSMI-NLOW-SWAR-EELL-MRAD,17.7,-4.52,3.61,22.18
Pepperdine,MMAS-MMAS-CSOT-EBRU-MHAR,54.18,13.29,-0.55,72.17
Pepperdine,MMAS-MMAS-CSOT-EBRU-MVIC,90.88,1.32,-4.03,109.27
Pepperdine,MMAS-MMAS-CSOT-EMAS-MHAR,47.43,-17.71,-17.71,47.43
Pepperdine,MMAS-MMAS-CSOT-EMAS-MVIC,154.07,-13.24,-13.24,154.07
Pepperdine,OMUC-MMAS-CSOT-EBRU-MHAR,22.93,34.89,5.18,46.34
Pepperdine,OMUC-MMAS-CSOT-EBRU-MVIC,15.7,20.38,13.33,27.0
Pepperdine,OMUC-MMAS-CSOT-EMAS-MVIC,13.56,-5.9,4.93,40.6
Pepperdine,OMUC-MMAS-MMAS-EBRU-MHAR,57.22,2.8,0.0,74.23
Pepperdine,OMUC-MMAS-MMAS-EMAS-MVIC,32.26,-28.52,-28.52,32.26
Portland,AEDD-TBAR-ESTR-NFRA-EZIM,25.23,-50.73,-50.73,25.23
Portland,MMEE-AMAR-ESHE-MBUR-THUL,269.88,26.83,23.62,416.59
Portland,MMEE-RMOG-AMAR-ESHE-LSPE,41.59,5.77,5.77,41.59
Portland,MMEE-RMOG-AMAR-ESHE-NFRA,19.43,0.0,0.0,19.43
Portland,MMEE-RMOG-AMAR-ESHE-THUL,42.42,-4.71,-10.5,57.12
Portland,MMEE-RMOG-AMAR-MBUR-THUL,65.2,11.66,11.66,65.2
Portland,MMEE-RMOG-MBUR-LSPE-THUL,22.87,-1.75,-1.75,22.87
Portland,RMOG-AMAR-ESHE-MBUR-LSPE,40.36,48.56,48.56,40.36
Portland,RMOG-AMAR-ESHE-MBUR-THUL,30.02,35.98,20.25,51.37
Saint Mary's (CA),JHUN-MJON-KJOH-ASHO-EFOY,25.46,29.85,29.85,25.46
Saint Mary's (CA),JHUN-MJON-ZAOK-KJOH-ASHO,49.05,17.13,17.47,57.25
Saint Mary's (CA),JHUN-ZAOK-KJOH-ASHO-EFOY,22.57,19.49,19.49,22.57
Saint Mary's (CA),MJON-KJOH-ASHO-EFOY-ECLA,17.48,16.02,16.02,17.48
Saint Mary's (CA),MJON-KJOH-ASHO-EFOY-MAFE,48.42,14.04,10.23,50.85
Saint Mary's (CA),MJON-ZAOK-KJOH-ASHO-ECLA,9.65,-24.87,-35.04,20.55
Saint Mary's (CA),MJON-ZAOK-KJOH-ASHO-EFOY,77.29,9.32,9.32,77.29
Saint Mary's (CA),MJON-ZAOK-KJOH-ASHO-MAFE,36.4,5.49,5.49,36.4
Saint Mary's (CA),MJON-ZAOK-KJOH-EFOY-MAFE,27.79,20.15,20.15,27.79
San Diego,ARAN-HRHO-DMOO-KHOR-TREI,173.28,-10.85,-10.85,173.28
San Diego,ARAN-HRHO-JRHO-DMOO-KHOR,35.4,-24.86,-24.86,35.4
San Diego,ARAN-HRHO-JRHO-KHOR-TREI,35.46,15.79,15.69,48.44
San Diego,LMCC-ARAN-DMOO-KHOR-TREI,16.77,11.93,-18.21,74.67
San Diego,LMCC-ARAN-KHOR-MTHA-CWRI,15.59,41.05,41.05,15.59
San Diego,LMCC-HRHO-DMOO-KHOR-TREI,25.91,-6.18,-6.18,25.91
San Francisco,LLEI-CFUL-AKÉI-AZIA-FWER,19.22,-12.49,-1.62,24.65
San Francisco,LLEI-CFUL-AKÉI-EPOR-FWER,106.13,12.06,12.06,106.13
San Francisco,LLEI-CFUL-EPOR-DSAN-FWER,74.28,15.08,15.08,74.28
San Francisco,LLEI-EPAP-EPOR-AZIA-FWER,52.72,0.0,0.0,52.72
Santa Clara,KING-MLAT-HRAP-MCUR-OPOL,41.44,-11.58,-11.58,41.44
Santa Clara,MNAR-KING-HRAP-AGOO-OPOL,35.54,32.64,17.2,51.17
Santa Clara,MNAR-KING-HRAP-MCUR-OPOL,29.86,2.68,2.49,32.16
Santa Clara,MNAR-KING-HRAP-OPOL-GGRI,44.38,-1.8,8.42,61.73
Santa Clara,MNAR-KING-MCUR-AGOO-OPOL,52.35,-25.98,-25.98,52.35
Santa Clara,MNAR-KING-MLAT-AGOO-OPOL,78.77,-17.77,-19.98,96.11
Santa Clara,MNAR-KING-MLAT-HRAP-OPOL,51.92,-18.49,-12.56,133.71
Santa Clara,MNAR-MLAT-HRAP-AGOO-OPOL,61.91,-3.88,-5.03,63.57
Santa Clara,MNAR-MLAT-HRAP-OPOL-GGRI,103.8,4.62,1.83,109.45
Santa Clara,MNAR-MLAT-MCUR-AGOO-OPOL,19.15,6.27,22.85,38.52
Washington St.,ATUH-CABR-JVIL-TWAL-ACOV,16.34,-9.79,-9.79,16.34
Washington St.,EVIL-ATUH-CABR-TWAL-ACOV,32.43,-12.33,-16.78,40.52
