team,lineup,minutes_sum,minutes_count,minutes_std,plusminus_per40_mean,plusminus_per40_std,netrating_mean,netrating_std,plusminus_per40_cv,netrating_cv
Gonzaga,ATUR-CO'C-YEJI-ELIT-MHUI,94.29,4.0,24.55,14.42,24.87,21.73,18.26,1.72,0.84
Gonzaga,ATUR-IBET-CO'C-MDAL-YEJI,31.4,4.0,8.09,19.11,10.92,28.63,15.65,0.57,0.55
Gonzaga,ATUR-IBET-CO'C-YEJI-MHUI,100.68,3.0,36.98,9.13,2.02,13.06,2.37,0.22,0.18
Gonzaga,ATUR-IBET-TDAL-YEJI-ELIT,28.79,3.0,7.91,26.39,18.72,42.19,29.4,0.71,0.7
Gonzaga,ATUR-IBET-YEJI-BSAL-ELIT,27.08,3.0,7.22,28.07,20.94,44.79,26.44,0.75,0.59
Gonzaga,ATUR-IBET-YEJI-ELIT-MHUI,54.07,3.0,19.64,19.97,10.02,29.69,14.24,0.5,0.48
Gonzaga,ATUR-TDAL-BSAL-ELIT-MHUI,29.84,3.0,3.83,-8.04,15.65,-12.14,23.31,1.95,1.92
Gonzaga,ATUR-TDAL-CO'C-YEJI-ELIT,86.97,3.0,18.86,30.35,3.38,47.2,5.45,0.11,0.12
Gonzaga,ATUR-TDAL-CO'C-YEJI-MHUI,57.28,3.0,21.0,4.19,27.94,3.9,38.03,6.67,9.74
Gonzaga,ATUR-TDAL-YEJI-BSAL-ELIT,41.82,3.0,12.62,12.44,8.56,18.85,13.68,0.69,0.73
Gonzaga,ATUR-TDAL-YEJI-BSAL-MHUI,29.86,3.0,5.02,-4.02,9.23,-6.43,16.38,2.3,2.55
Gonzaga,IBET-CO'C-YEJI-ELIT-MHUI,28.28,4.0,9.23,-12.73,39.03,-14.37,50.5,3.07,3.51
LMU (CA),BWIL-NEVA-ACLA-AMAT-MHER,24.64,1.0,,45.45,0.0,70.55,0.0,0.0,0.0
LMU (CA),BWIL-NEVA-ACLA-ASIT-CHEI,69.56,3.0,23.12,-14.96,22.46,-21.79,30.5,1.5,1.4
LMU (CA),BWIL-NEVA-ACLA-MHER-ASIT,44.39,4.0,8.3,2.7,19.83,6.06,32.75,7.33,5.4
LMU (CA),BWIL-NEVA-ACLA-MHER-CHEI,317.64,4.0,73.32,-4.91,5.47,-7.95,9.08,1.11,1.14
LMU (CA),BWIL-NEVA-ACLA-ZOGO-MHER,24.88,2.0,12.95,1.61,8.88,1.38,11.27,5.52,8.16
LMU (CA),BWIL-NEVA-MHER-ASIT-CHEI,28.55,2.0,7.28,-4.2,2.88,-6.41,4.39,0.69,0.69
LMU (CA),BWIL-NEVA-MWAT-MHER-CHEI,16.78,3.0,3.11,16.69,45.32,12.75,70.12,2.72,5.5
LMU (CA),BWIL-NEVA-ZOGO-ASIT-CHEI,37.79,3.0,6.25,13.76,14.47,19.13,19.97,1.05,1.04
LMU (CA),BWIL-NEVA-ZOGO-ATOO-CHEI,13.24,3.0,1.52,-72.51,16.82,-92.16,15.93,0.23,0.17
LMU (CA),BWIL-NEVA-ZOGO-MHER-ASIT,31.91,4.0,5.37,-6.27,37.7,-5.27,52.84,6.02,10.03
LMU (CA),BWIL-NEVA-ZOGO-MHER-CHEI,188.91,4.0,18.53,-1.91,8.31,-2.94,13.09,4.36,4.45
LMU (CA),NEVA-ACLA-ZOGO-MHER-CHEI,33.66,4.0,2.58,-2.37,53.32,-2.08,76.12,22.47,36.63
Oregon St.,ASCH-KSHU-AMAR-KREE-SHEI,124.43,4.0,18.11,5.79,12.59,9.72,20.63,2.18,2.12
Oregon St.,ASCH-KSHU-CFER-AMAR-KREE,131.62,4.0,13.46,-7.29,13.5,-10.44,19.78,1.85,1.89
Oregon St.,ASCH-KSHU-CFER-AMAR-SHEI,43.95,4.0,6.11,6.37,14.96,7.85,27.23,2.35,3.47
Oregon St.,ASCH-KSHU-TBOL-AMAR-KREE,32.43,4.0,8.37,-13.57,22.46,-18.0,36.53,1.66,2.03
Oregon St.,ASCH-KSHU-TBOL-CFER-KREE,33.31,4.0,4.54,16.81,37.22,26.55,54.82,2.21,2.06
Oregon St.,ASCH-KSHU-TBOL-CFER-SHEI,33.31,3.0,3.54,13.21,22.89,24.54,39.13,1.73,1.59
Oregon St.,ASCH-TBOL-CFER-AMAR-KREE,35.75,4.0,6.33,4.48,16.54,7.29,28.09,3.69,3.85
Oregon St.,CVEC-TBOL-CFER-AMAR-KREE,37.48,4.0,5.57,2.14,27.19,4.09,44.17,12.73,10.8
Oregon St.,KSHU-CFER-AMAR-KREE-SHEI,41.82,4.0,7.98,-5.74,13.52,-9.55,17.8,2.36,1.86
Oregon St.,KSHU-TBOL-AMAR-KREE-SHEI,73.97,4.0,12.26,-1.62,5.01,-2.21,7.77,3.09,3.52
Oregon St.,KSHU-TBOL-CFER-AMAR-KREE,348.67,4.0,28.71,0.8,9.32,1.25,14.46,11.59,11.59
Oregon St.,KSHU-TBOL-CFER-AMAR-SHEI,75.77,4.0,6.09,-12.14,18.92,-18.04,27.87,1.56,1.54
Pacific,AJAM-LSMI-EELL-MRAD-LGLA,21.79,4.0,3.9,3.67,39.13,13.54,55.63,10.65,4.11
Pacific,AJAM-LSMI-JKEN-SWAR-MRAD,42.24,3.0,20.46,3.79,4.42,5.23,7.12,1.17,1.36
Pacific,AJAM-LSMI-NLOW-EELL-LGLA,59.87,4.0,13.32,,,7.97,6.97,0.0,0.87
Pacific,AJAM-LSMI-NLOW-SWAR-EELL,121.87,4.0,5.08,-0.98,11.32,-1.45,15.34,11.5,10.6
Pacific,AJAM-LSMI-NLOW-SWAR-LGLA,51.71,3.0,3.08,-17.02,16.05,-22.35,21.4,0.94,0.96
Pacific,AJAM-LSMI-SSZA-SWAR-EELL,19.32,2.0,9.48,2.07,4.87,3.09,7.25,2.35,2.35
Pacific,AJAM-LSMI-SWAR-EELL-MRAD,230.88,4.0,13.12,5.37,12.64,8.03,18.6,2.35,2.32
Pacific,AJAM-LSMI-SWAR-MRAD-LGLA,43.39,4.0,5.91,-9.22,35.51,-15.62,49.0,3.85,3.14
Pacific,DNES-AJAM-LSMI-SWAR-EELL,42.81,3.0,6.5,-7.47,10.84,-10.95,16.11,1.45,1.47
Pacific,DNES-AJAM-NLOW-SWAR-EELL,20.67,3.0,3.99,-21.29,38.68,-31.23,56.73,1.82,1.82
Pacific,DNES-LSMI-SWAR-EELL-MRAD,20.94,4.0,1.41,-9.55,25.23,-14.8,35.59,2.64,2.41
Pacific,LSMI-NLOW-SWAR-EELL-MRAD,22.18,4.0,3.55,3.61,20.75,9.61,37.36,5.75,3.89
Pepperdine,MMAS-MMAS-CSOT-EBRU-MHAR,72.17,4.0,12.09,-0.55,27.11,-3.24,47.05,49.11,14.51
Pepperdine,MMAS-MMAS-CSOT-EBRU-MVIC,109.27,4.0,18.94,-4.03,13.46,-5.23,19.13,3.34,3.66
Pepperdine,MMAS-MMAS-CSOT-EMAS-MHAR,47.43,4.0,7.31,-17.71,18.32,-27.97,29.24,1.03,1.05
Pepperdine,MMAS-MMAS-CSOT-EMAS-MVIC,154.07,4.0,49.63,-13.24,12.91,-21.46,20.63,0.98,0.96
Pepperdine,MMAS-MMAS-CSOT-HFRI-MVIC,28.42,4.0,7.36,25.34,24.72,36.37,36.16,0.98,0.99
Pepperdine,OMUC-MMAS-CSOT-EBRU-MHAR,46.34,7.0,6.98,5.18,35.78,9.84,49.44,6.91,5.02
Pepperdine,OMUC-MMAS-CSOT-EBRU-MVIC,27.0,7.0,4.56,13.34,28.08,22.92,37.15,2.11,1.62
Pepperdine,OMUC-MMAS-CSOT-EMAS-MVIC,40.6,7.0,7.33,4.93,24.43,9.66,39.87,4.96,4.13
Pepperdine,OMUC-MMAS-MMAS-EBRU-MHAR,74.23,4.0,24.17,0.0,6.65,-0.03,10.19,1992.74,376.55
Pepperdine,OMUC-MMAS-MMAS-EBRU-MVIC,36.04,4.0,4.56,17.76,19.97,26.97,31.22,1.12,1.16
Pepperdine,OMUC-MMAS-MMAS-EMAS-MHAR,31.54,4.0,2.86,-32.97,35.89,-45.0,48.29,1.09,1.07
Pepperdine,OMUC-MMAS-MMAS-EMAS-MVIC,32.26,4.0,8.13,-28.52,18.25,-49.78,27.44,0.64,0.55
Portland,AEDD-TBAR-ESTR-NFRA-EZIM,25.23,4.0,3.72,-50.73,27.62,-83.81,45.38,0.54,0.54
Portland,MMEE-AMAR-ESHE-MBUR-LSPE,69.56,4.0,5.84,13.8,31.81,21.42,43.46,2.3,2.03
Portland,MMEE-AMAR-ESHE-MBUR-THUL,416.59,4.0,34.14,23.62,6.27,34.12,8.04,0.27,0.24
Portland,MMEE-ESHE-MBUR-LSPE-THUL,24.44,4.0,4.77,-6.55,34.09,-9.17,47.99,5.21,5.23
Portland,MMEE-RMOG-AMAR-ESHE-LSPE,41.59,4.0,7.06,5.77,16.03,8.32,21.62,2.78,2.6
Portland,MMEE-RMOG-AMAR-ESHE-NFRA,19.43,3.0,6.45,0.0,21.86,0.61,25.87,9808.07,42.27
