"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"2303025","1606381","2111086","1698593","1582594","6","70.112","44.18","36","0.95","51.34641716111365","0.96","141.20264719306255","0.99","0.6267605633802817","0.95","0.38235294117647056","0.78","0.16901408450704225","0.25","0.10553470919324577","0.94","89.8562300319489","0.58","0.423728813559322","0.67","0.21951219512195122","0.8","0.13959390862944163","0.17","0.3389830508474576","0.25"
"2303025","2303021","2303027","1698593","2118009","1","1.83","0.84","-3","0.39","-163.93442622950818","0","0","0","0","0","1","1","0","0.01","0.3333333333333333","0.02","163.9344262295082","0","1","0","1","0","0.3472222222222222","0.98","2","0"
"2303025","1606381","2303027","1698593","1582594","2","5.365","3.08","-1","0.44","-18.63932898415657","0.22","18.63932898415657","0","0","0","0.3333333333333333","0.63","0.6666666666666666","0.98","0.3401360544217687","0.02","37.27865796831314","1","0.25","0.99","0","1","0.3333333333333333","0.98","0","1"
"2303025","1907334","2111086","1582594","2118009","3","3.561","2.47","0","0.46","0","0.46","56.16399887672002","0.02","0.25","0.01","0.75","1","0.25","0.5","0.3105590062111801","0.04","56.16399887672002","0.98","0","1","0.3333333333333333","0.37","0","0","1","0.01"
"1606381","1907334","1698593","1698598","2118009","4","2.965","2.38","-7","0.28","-236.0876897133221","0","0","0","0","0","0","0","0","0.01","0","1","236.08768971332213","0","0.875","0","1","0","0.2","0.55","0","1"
"2303025","1606381","1698593","1582594","2118009","3","3.36","2.66","4","0.57","119.04761904761905","1","178.57142857142858","1","0.3","0.04","1","1","0.8","0.99","0.1288659793814433","0.87","59.523809523809526","0.97","0.5","0.33","0","1","0.29069767441860467","0.93","0.5","0.07"
"1606381","1907334","1698593","1582594","2118009","3","4.365","2.21","6","0.62","137.4570446735395","1","229.09507445589918","1","1","1","1","1","0.5","0.92","0","1","91.63802978235968","0.53","0.5","0.33","0","1","0.2","0.55","0","1"
"2303025","1606381","1907334","1698593","1698598","2","3.9299999999999997","2.31","-1","0.44","-25.445292620865143","0.15","50.89058524173028","0.01","0.25","0.01","0.3333333333333333","0.63","0","0.01","0.3333333333333333","0.02","76.33587786259542","0.85","0.5","0.33","0.5","0.03","0.25","0.82","0","1"
"1907334","2111086","1698593","1582594","2118009","1","1.5","0.75","0","0.46","0","0.46","0","0","","0","","0","","0","1","0","0","1","0","1","0","1","0.5","1","0","1"
"2303025","2303021","2111086","1698593","1582594","1","1.4","0.67","-1","0.44","-71.42857142857143","0.01","0","0","","0","","0","","0","1","0","71.42857142857143","0.91","0","1","0","1","0","0","2","0"
"1907334","2111086","1698593","1698598","1582594","2","5.33","3.1300000000000003","2","0.52","37.5234521575985","0.9","75.046904315197","0.14","0.3333333333333333","0.08","0","0","0.6666666666666666","0.98","0.3401360544217687","0.02","37.5234521575985","1","0.14285714285714285","1","0.3333333333333333","0.37","0","0","0","1"
"2303025","1907334","1698593","1698598","2118009","3","4.257","3.17","-3","0.39","-70.47216349541931","0.01","46.98144233027954","0.01","0","0","0.6666666666666666","1","0.3333333333333333","0.71","0.12690355329949238","0.88","117.45360582569886","0.08","0.2","0.99","0.4","0.15","0","0","0.8","0.01"
"2303025","1606381","1698593","1698598","1582594","6","45.392","25.89","4","0.57","8.8121254846669","0.59","85.91822347550229","0.29","0.55","0.81","0.2857142857142857","0.44","0.2","0.35","0.3148614609571788","0.03","77.1060979908354","0.84","0.2948717948717949","0.96","0.1724137931034483","0.91","0.13089005235602094","0.14","0.4358974358974359","0.12"
"1907334","2111086","1698593","1698598","2118009","2","1.965","2.23","0","0.46","0","0.46","101.78117048346056","0.63","0.5","0.65","0","0","0","0.01","0","1","101.78117048346056","0.29","0.3333333333333333","0.92","0.5","0.03","0","0","0","1"
"2303025","1907334","2111086","1698593","2118009","1","2.197","1.85","0","0.46","0","0.46","0","0","0","0","0.5","0.96","0","0.01","0.25","0.16","0","1","0","1","0","1","0","0","0","1"
"1907334","2303027","2111086","1698593","1582594","1","3.997","2.48","-3","0.39","-75.05629221916438","0.01","50.03752814610959","0.01","0","0","0.5","0.96","0.6666666666666666","0.98","0.20491803278688525","0.38","125.09382036527397","0.04","0.5","0.33","0","1","0.20491803278688525","0.58","0.6666666666666666","0.02"
"1606381","1907334","2111086","1698593","1582594","2","5.8","2.52","-5","0.33","-86.20689655172414","0.01","34.48275862068966","0","0","0","0","0","2","1","0.6802721088435374","0","120.6896551724138","0.06","0.75","0.01","0","1","0.17006802721088435","0.35","0.5","0.07"
"2303025","1606381","2111086","1698598","1582594","5","8.295","5.01","3","0.54","36.166365280289334","0.9","108.499095840868","0.75","0.42857142857142855","0.32","0.5","0.96","0.42857142857142855","0.86","0.26501766784452296","0.11","72.33273056057867","0.89","0.2","0.99","0.25","0.72","0.22831050228310504","0.71","0.8","0.01"
"2303025","1606381","1907334","2303027","2118009","2","2.76","2.8099999999999996","-1","0.44","-36.231884057971016","0.08","36.23188405797102","0","0","0","0.5","0.96","0.5","0.92","0","1","72.46376811594205","0.89","0.25","0.99","0.6666666666666666","0","0.2","0.55","0","1"
"2303025","2303027","1698598","2118009","1615275","1","1.5","1.3","-3","0.39","-200","0","0","0","0","0","0","0","0","0.01","0","1","200","0","0.75","0.01","0","1","0","0","0","1"
"2303025","2111086","1698593","1582594","1615275","1","0.9","0.13","2","0.52","222.22222222222223","1","222.22222222222223","1","","0","","0","","0","0","1","0","1","0","1","0","1","0","0","0","1"
"1907334","2111086","1698593","1582594","1615275","1","2.895","1.37","-6","0.31","-207.2538860103627","0","0","0","0","0","0.3333333333333333","0.63","0","0.01","0.25","0.16","207.25388601036266","0","0.6","0.07","0.6666666666666666","0","0","0","0","1"
"2303025","1606381","2111086","1698598","1615275","1","2.5","0.9","0","0.46","0","0.46","0","0","0","0","0","0","0","0.01","0","1","0","1","0","1","0","1","0.6666666666666666","1","0","1"
"2303025","1606381","1907334","1582594","2118009","6","13.665","8.49","7","0.65","51.22575923893158","0.96","117.08744968898648","0.87","0.6818181818181818","0.98","0","0","0.09090909090909091","0.08","0.1488095238095238","0.78","65.8616904500549","0.95","0.45","0.55","0.16666666666666666","0.92","0.3333333333333333","0.98","0","1"
"1606381","1907334","2111086","1582594","2118009","4","4.755","2.98","0","0.46","0","0.46","84.12197686645636","0.26","0.125","0","0.8571428571428571","1","0.375","0.78","0.09689922480620154","0.95","84.12197686645636","0.71","0.2","0.99","0.25","0.72","0.14534883720930233","0.2","0.4","0.16"
"1606381","2303027","1698593","1698598","2118009","1","0.2","0.04","1","0.49","500","1","500","1","","0","","0","","0","0","1","0","1","","0","","0","","0","","0"
"2303025","1606381","1698598","1582594","2118009","5","15.512","8.44","4","0.57","25.786487880350695","0.81","96.6993295513151","0.52","0.38235294117647056","0.17","0.4166666666666667","0.85","0.11764705882352941","0.12","0.18281535648994515","0.54","70.91284167096441","0.91","0.3888888888888889","0.8","0.2857142857142857","0.56","0.308641975308642","0.95","0.5555555555555556","0.04"
"2303025","2111086","1698598","1582594","2118009","2","3.5","1.79","0","0.46","0","0.46","57.14285714285714","0.02","0.3333333333333333","0.08","0","0","0","0.01","0.25","0.16","57.14285714285714","0.98","0.3333333333333333","0.92","0","1","0","0","0","1"
"2303025","1606381","1698598","1582594","1615275","3","17.362000000000002","11.16","-2","0.41","-11.519410206197442","0.3","103.67469185577698","0.66","0.4666666666666667","0.48","0.375","0.76","0.4","0.82","0.14534883720930233","0.8","115.19410206197442","0.1","0.53125","0.21","0.4","0.15","0.1838235294117647","0.44","0.25","0.47"
"2303025","1606381","2111086","1698593","1615275","1","0.9","0.55","2","0.52","222.22222222222223","1","222.22222222222223","1","","0","","0","","0","0","1","0","1","0","1","0","1","0","0","0","1"
"1606381","1907334","2111086","1698593","2118009","1","1.465","0.83","-4","0.36","-273.03754266211604","0","0","0","","0","","0","","0","1","0","273.03754266211604","0","0.6666666666666666","0.02","1","0","0","0","0","1"
"1606381","1907334","2111086","1698598","1582594","2","13.028","7.039999999999999","-10","0.22","-76.75775253300583","0.01","38.378876266502914","0","0.2777777777777778","0.02","0.2857142857142857","0.44","0","0.01","0.35714285714285715","0.01","115.13662879950874","0.1","0.6875","0.02","0.25","0.72","0.32894736842105265","0.97","0.625","0.03"
