"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"2303025","1606381","2111086","1698593","1582594","19","139.922","86.97","66","0.98","47.1691370906648","0.95","118.63752662197511","0.89","0.5471014492753623","0.8","0.36363636363636365","0.72","0.15217391304347827","0.2","0.14514630747793775","0.8","71.46838953131031","0.9","0.37168141592920356","0.85","0.23170731707317074","0.77","0.2039775624681285","0.57","0.23893805309734514","0.51"
"2303025","1907334","1698593","1582594","1615275","14","90.277","54.07","27","0.91","29.90794997618441","0.85","117.41639620279804","0.88","0.5864197530864198","0.89","0.3953488372093023","0.81","0.19753086419753085","0.34","0.19258987527512839","0.47","87.50844622661364","0.64","0.4226190476190476","0.67","0.23529411764705882","0.76","0.13671875","0.16","0.11904761904761904","0.88"
"2303025","2111086","1698593","1582594","1615275","17","148.398","94.29","34","0.94","22.911359991374546","0.78","109.16589172360813","0.77","0.5307692307692308","0.75","0.38235294117647056","0.78","0.23846153846153847","0.46","0.19592476489028215","0.45","86.25453173223359","0.67","0.39928057553956836","0.76","0.23655913978494625","0.75","0.13431441252043913","0.15","0.1510791366906475","0.79"
"2303025","1907334","2111086","1582594","1615275","14","174.728","100.68","23","0.88","13.16331669795339","0.65","112.74666910855728","0.82","0.565359477124183","0.85","0.45","0.91","0.22875816993464052","0.43","0.24280575539568344","0.18","99.58335241060391","0.34","0.5066225165562914","0.29","0.2247191011235955","0.78","0.12257514389256023","0.11","0.2052980132450331","0.62"
"2303025","2303027","2111086","2118009","1615275","6","15.56","9.49","-5","0.33","-32.13367609254499","0.1","96.40102827763496","0.51","0.625","0.95","0.16666666666666666","0.09","0","0.01","0.29411764705882354","0.05","128.53470437017995","0.03","0.5","0.33","0.4","0.15","0.0536480686695279","0.01","0.4","0.16"
"2303025","1907334","2111086","1698593","1615275","9","20.325","13.440000000000001","-4","0.36","-19.68019680196802","0.21","118.08118081180811","0.88","0.6538461538461539","0.97","0.4","0.82","0.6153846153846154","0.97","0.23234200743494424","0.23","137.76137761377615","0.01","0.5769230769230769","0.1","0.375","0.22","0.19623233908948196","0.53","1.3076923076923077","0"
"1907334","2303027","2111086","1582594","2118009","5","11.96","7.51","4","0.57","33.4448160535117","0.88","142.14046822742475","0.99","0.7777777777777778","0.99","0","0","0.3333333333333333","0.71","0.22522522522522523","0.26","108.69565217391303","0.18","0.5","0.33","0.5714285714285714","0.01","0.13333333333333333","0.15","0","1"
"2303025","1907334","2303021","2118009","1615275","2","1.5","0.33999999999999997","0","0.46","0","0.46","0","0","0","0","0","0","0","0.01","0.5","0","0","1","0","1","0","1","0","0","0","1"
"1907334","2303021","2303027","2118009","2111089","2","4.765","2.56","-7","0.28","-146.90451206715636","0","41.972717733473246","0.01","0","0","0.25","0.31","0.5","0.92","0.17006802721088435","0.64","188.8772298006296","0","0.875","0","0","1","0","0","0.5","0.07"
