"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"1687478","967516","2291259","1688590","2118064","10","245.136","154.89000000000001","-18","0.1","-7.342862737419229","0.35","90.56197376150382","0.39","0.4004524886877828","0.22","0.2222222222222222","0.21","0.2579185520361991","0.52","0.1245197096911911","0.88","97.90483649892306","0.38","0.4748858447488584","0.43","0.36885245901639346","0.23","0.20289463005545785","0.57","0.1735159817351598","0.72"
"1687478","2310642","1688590","2118064","2118062","2","1.5","0.9700000000000001","2","0.52","133.33333333333334","1","133.33333333333331","0.97","0.5","0.65","0","0","0","0.01","0","1","0","1","0","1","0","1","0","0","0","1"
"1687478","2291259","1688590","2118064","2118062","3","7.365","4.61","2","0.52","27.155465037338764","0.82","95.04412763068567","0.48","0.4166666666666667","0.28","0","0","0.3333333333333333","0.71","0.12690355329949238","0.88","67.88866259334691","0.94","0.4166666666666667","0.7","0.25","0.72","0.25","0.82","0","1"
"967516","2291259","1688590","2118064","2118062","1","1.965","1.68","-4","0.36","-203.5623409669211","0","0","0","0","0","0.5","0.96","0","0.01","0.3333333333333333","0.02","203.5623409669211","0","1","0","","0","0","0","0","1"
"1687478","967516","2291259","2118064","2118062","7","38.25","23.06","-9","0.24","-23.529411764705884","0.17","60.130718954248366","0.03","0.3387096774193548","0.09","0.19047619047619047","0.13","0.06451612903225806","0.04","0.27347310847766637","0.09","83.66013071895425","0.72","0.4090909090909091","0.73","0.2857142857142857","0.56","0.18331805682859761","0.44","0.18181818181818182","0.69"
"1687478","2291259","2291264","2118064","2118062","3","7.2299999999999995","4.39","-3","0.39","-41.49377593360996","0.06","41.49377593360996","0.01","0.14285714285714285","0.01","0.16666666666666666","0.09","0.2857142857142857","0.59","0","1","82.98755186721992","0.74","0.5","0.33","0.25","0.72","0.3378378378378379","0.98","0.4","0.16"
"1687478","967516","2291259","1688590","2118062","9","86.094","47.82","-4","0.36","-4.6460845122772785","0.39","91.76016911747625","0.41","0.42567567567567566","0.31","0.2708333333333333","0.38","0.32432432432432434","0.69","0.12427506213753106","0.89","96.40625362975354","0.42","0.5080645161290323","0.29","0.21212121212121213","0.83","0.27119325030132585","0.88","0.3870967741935484","0.18"
"1687478","2310642","2291264","1688590","2118064","1","0.865","0.43","0","0.46","0","0.46","231.21387283236996","1","","0","","0","","0","0","1","231.21387283236996","0","0.5","0.33","1","0","0","0","0","1"
"2310642","2291259","2291264","1688590","2118064","1","0","0.2","0","0.46","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0"
