"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"2125273","2308978","1714604","1581533","1587570","6","75.786","43.89","3","0.54","3.9585147652600745","0.52","105.56039374026864","0.7","0.5175438596491229","0.7","0.2727272727272727","0.39","0.49122807017543857","0.91","0.1969416126042632","0.44","101.60187897500859","0.3","0.45588235294117646","0.53","0.22727272727272727","0.78","0.1152073732718894","0.09","0.29411764705882354","0.35"
"2125273","2146751","1898783","1714604","1581533","8","129.115","79.53","23","0.88","17.813577043720713","0.72","95.26391201641945","0.49","0.5353535353535354","0.76","0.22950819672131148","0.23","0.2727272727272727","0.56","0.23467697404748758","0.21","77.45033497269876","0.83","0.39285714285714285","0.79","0.2","0.86","0.17303433001107418","0.37","0.15178571428571427","0.79"
"2308978","2146751","1714604","2125274","1581533","1","0.5","0.18","-2","0.41","-400","0","0","0","","0","","0","","0","","0","400","0","1","0","","0","0","0","0","1"
"2146751","1898783","1714604","2125274","1587570","1","3.43","1.77","-4","0.36","-116.61807580174927","0","0","0","0","0","0","0","0","0.01","0.75","0","116.61807580174926","0.09","0.4","0.76","0.6666666666666666","0","0","0","0","1"
"2125273","2308978","2146751","1898783","1581533","3","6.03","3.25","2","0.52","33.16749585406302","0.88","99.50248756218905","0.58","0.2","0.01","0.5","0.96","0.8","0.99","0.1288659793814433","0.87","66.33499170812604","0.94","0","1","0","1","0.2958579881656805","0.93","1.3333333333333333","0"
"2125273","2308978","2146751","1898783","1587570","7","15.438","11.57","10","0.71","64.77522995206633","0.98","129.55045990413265","0.96","0.42857142857142855","0.32","0.5454545454545454","0.98","0.9285714285714286","0.99","0.16863406408094436","0.65","64.77522995206633","0.95","0.28125","0.97","0.46153846153846156","0.06","0.15090543259557346","0.22","0.125","0.86"
"2125273","2308978","1898783","1714604","1581533","8","69.626","44.65","-2","0.41","-2.872490161721196","0.41","94.79217533679946","0.48","0.4423076923076923","0.38","0.35135135135135137","0.68","0.5576923076923077","0.95","0.18806419257773319","0.51","97.66466549852066","0.38","0.43548387096774194","0.62","0.25","0.72","0.16682554814108674","0.33","0.2903225806451613","0.36"
"2125273","2308978","2146751","1714604","1581533","1","0.5","0.13","0","0.46","0","0.46","0","0","0","0","0","0","0","0.01","0","1","0","1","","0","","0","","0","","0"
"2308979","2146751","1898783","1714604","1581533","1","4.697","2.98","0","0.46","0","0.46","0","0","0","0","0.5","0.96","0","0.01","0.5","0","0","1","0","1","0","1","0.2","0.55","0","1"
