"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"2125273","2308978","1714604","1581533","1587570","20","200.676","124.42999999999999","18","0.84","8.969682473240448","0.59","101.15808567043393","0.61","0.47941176470588237","0.54","0.32323232323232326","0.58","0.31176470588235294","0.66","0.18882175226586104","0.5","92.1884031971935","0.52","0.42408376963350786","0.67","0.2644628099173554","0.65","0.12809564474807858","0.13","0.15706806282722513","0.77"
"2125273","2146751","1898783","1714604","1581533","32","557.967","348.67","7","0.65","1.2545544808205504","0.47","94.09158606154128","0.47","0.475","0.53","0.3003533568904594","0.5","0.26304347826086955","0.54","0.20457504184489492","0.38","92.83703158072073","0.5","0.45717131474103584","0.52","0.2540192926045016","0.68","0.16927243629201033","0.35","0.17131474103585656","0.73"
"2308979","2125273","1714604","2125274","1587570","1","1","0.48","-2","","-200","","0","","0","","0","","0","","0","","200","","1","","","","0","","0",""
"2125273","2308978","2146751","1898783","1581533","11","54.668","33.31","14","0.78","25.60913148459794","0.81","100.60730226092048","0.6","0.4090909090909091","0.25","0.2857142857142857","0.44","0.5","0.92","0.157035175879397","0.73","74.99817077632252","0.86","0.3125","0.95","0.21875","0.81","0.17112632233976352","0.36","0.25","0.47"
"2125273","2308978","2146751","1714604","1581533","9","56.515","32.43","-11","0.2","-19.463859152437404","0.21","77.85543660974963","0.17","0.3431372549019608","0.09","0.16216216216216217","0.08","0.27450980392156865","0.57","0.10910224438902744","0.93","97.31929576218702","0.39","0.49","0.36","0.16666666666666666","0.92","0.13003901170351104","0.13","0.16","0.76"
"2125273","2146751","1714604","1581533","1587570","17","120.896","73.97","-3","0.39","-2.48147167813658","0.42","88.50582318687135","0.34","0.46111111111111114","0.46","0.32727272727272727","0.59","0.37777777777777777","0.79","0.2553916004540295","0.14","90.98729486500794","0.55","0.4032258064516129","0.75","0.27848101265822783","0.58","0.10396451344607707","0.06","0.0967741935483871","0.92"
"2308978","2146751","1714604","2125274","1581533","2","10.928","7.37","1","","9.150805270863835","","100.65885797950219","","0.4166666666666667","","0.4444444444444444","","0.16666666666666666","","0.13440860215053763","","91.50805270863836","","0.45454545454545453","","0.3333333333333333","","0.15384615384615385","","0",""
"2146751","1898783","1714604","2125274","1587570","1","3.43","1.77","-4","","-116.61807580174927","","0","","0","","0","","0","","0.75","","116.61807580174926","","0.4","","0.6666666666666666","","0","","0",""
"2125273","2308978","2146751","1898783","1587570","14","50.495","33.31","11","0.73","21.784335082681455","0.77","106.94128131498168","0.73","0.4431818181818182","0.38","0.42857142857142855","0.88","0.45454545454545453","0.88","0.19756838905775076","0.43","85.15694623230023","0.69","0.40625","0.74","0.40625","0.14","0.19157088122605365","0.49","0.125","0.86"
"2125273","2308978","1898783","1714604","1581533","29","214.546","131.62","-24","0.05","-11.186412237934988","0.3","91.82180045304969","0.41","0.4096045197740113","0.25","0.31932773109243695","0.57","0.3954802259887006","0.81","0.16813450760608487","0.65","103.00821269098468","0.27","0.5081967213114754","0.29","0.24107142857142858","0.74","0.1763951250801796","0.39","0.2786885245901639","0.39"
"2308978","1898783","1714604","1581533","1587570","6","23.167","14.26","9","0.69","38.84836189407346","0.91","99.27914706263219","0.57","0.38636363636363635","0.18","0.5625","0.99","0.4090909090909091","0.83","0.18773466833541927","0.51","60.43078516855872","0.97","0.30952380952380953","0.95","0.0625","0.99","0.1227495908346972","0.11","0.047619047619047616","0.98"
"2308978","2146751","1898783","1714604","1587570","8","30.386","19.22","7","0.65","23.03692489962483","0.78","92.14769959849932","0.42","0.46","0.45","0.3125","0.54","0.24","0.47","0.20207852193995382","0.4","69.1107746988745","0.93","0.3333333333333333","0.92","0.2222222222222222","0.8","0.19574944071588365","0.52","0.14814814814814814","0.8"
"2308979","2308978","1714604","2125274","1581533","1","2.4","1.73","2","","83.33333333333334","","83.33333333333334","","0","","0","","2","","0","","0","","0","","0","","0.3333333333333333","","0",""
"2308979","2308978","1714604","1581533","1587570","5","28.107","14.459999999999999","-11","0.2","-39.13615825239264","0.07","60.48315366278864","0.03","0.46153846153846156","0.46","0.5714285714285714","0.99","0.38461538461538464","0.8","0.5279503105590062","0","99.61931191518127","0.34","0.4482758620689655","0.56","0.29411764705882354","0.51","0.11655011655011654","0.09","0.10344827586206896","0.91"
"2308978","2146751","1898783","1714604","1581533","11","53.224000000000004","35.75","4","0.57","7.5154065834961665","0.57","90.184879001954","0.38","0.4069767441860465","0.24","0.20689655172413793","0.17","0.32558139534883723","0.69","0.16903313049357674","0.64","82.66947241845783","0.74","0.36363636363636365","0.86","0.21621621621621623","0.81","0.07982120051085569","0.02","0.10909090909090909","0.9"
"2308979","2308978","1714604","2125274","2308976","1","0.9","0.42","-2","","-222.22222222222223","","111.11111111111111","","","","","","","","0","","333.3333333333333","","1.5","","","","0","","0",""
"2125273","2308978","1714604","2126122","1587570","1","1.5","0.9","-3","","-200","","0","","0","","0","","0","","0","","200","","0.75","","0","","0","","0",""
"2125273","2308978","1898783","1714604","1587570","13","67.202","43.95","7","0.65","10.416356656051903","0.61","99.69941370792537","0.58","0.5081967213114754","0.67","0.40540540540540543","0.83","0.14754098360655737","0.19","0.21697203471552556","0.3","89.28305705187346","0.59","0.4180327868852459","0.69","0.21621621621621623","0.81","0.13034410844629823","0.13","0.21311475409836064","0.59"
"2125273","2308978","2146751","1714604","1587570","5","19.53","10.8","-6","","-30.721966205837173","","92.16589861751152","","0.5333333333333333","","0.3333333333333333","","0.2","","0.23452157598499063","","122.88786482334868","","0.6666666666666666","","0","","0.1","","0",""
"2125273","2308978","1714604","2125274","1581533","1","4.3","2.35","-2","","-46.51162790697675","","0","","0","","0","","0","","0.2","","46.51162790697674","","0","","0","","0","","2",""
"2308979","2308978","2146751","1898783","1714604","2","8.397","4.42","-7","","-83.36310587114446","","83.36310587114446","","0.35714285714285715","","0.2","","0.2857142857142857","","0.20242914979757087","","166.7262117422889","","1","","0.5","","0.11415525114155252","","0.6666666666666666",""
