"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"1605617","1724724","2112578","1925556","1925238","6","39.232","20.79","-19","0.09","-48.42985318107667","0.04","53.52773246329527","0.01","0.35","0.11","0.25","0.31","0.06666666666666667","0.04","0.2962625341841386","0.05","101.95758564437195","0.29","0.5357142857142857","0.2","0.3333333333333333","0.37","0.2676181980374665","0.87","0.39285714285714285","0.17"
"1605617","1724724","2112577","2313740","1925238","2","1.295","0.97","-2","0.41","-154.44015444015446","0","0","0","","0","","0","","0","1","0","154.44015444015443","0.01","0.25","0.99","1","0","0","0","0.5","0.07"
"1605617","2112577","2112578","1925556","1925238","4","8.525","5.1","3","0.54","35.19061583577712","0.89","82.11143695014663","0.22","0.3","0.04","0.42857142857142855","0.88","0.2","0.35","0.08417508417508417","0.97","46.920821114369495","0.99","0.25","0.99","0.6666666666666666","0","0.4646840148698885","1","1","0.01"
"1605617","1724724","2112577","1925556","1925238","6","16.325","9.17","-1","0.44","-6.1255742725880555","0.37","61.25574272588056","0.03","0.38461538461538464","0.18","0.125","0.04","0","0.01","0.3157894736842105","0.03","67.3813169984686","0.94","0.4583333333333333","0.51","0.375","0.22","0.3684210526315789","0.99","0","1"
"1605617","2112578","1925556","2143277","1925238","1","2.4","1.48","-4","0.36","-166.66666666666669","0","0","0","0","0","0","0","0","0.01","0.5","0","166.66666666666669","0","1","0","","0","0.3472222222222222","0.98","2","0"
"2313738","1724724","2112577","2112579","1925238","1","1.465","0.75","-2","0.41","-136.51877133105802","0","0","0","","0","","0","","0","1","0","136.51877133105802","0.01","0.5","0.33","1","0","0.3333333333333333","0.98","0","1"
"2313738","1605617","1724724","1724781","1925238","1","3.795","2.67","-2","0.41","-52.700922266139656","0.03","52.70092226613966","0.01","0","0","0","0","2","1","0.6147540983606558","0","105.40184453227933","0.23","0.4","0.76","1","0","0.16666666666666666","0.33","0","1"
"1605617","1724724","2112577","1925556","1724781","5","33.358000000000004","16.36","0","0.46","0","0.46","101.92457581389772","0.63","0.5178571428571429","0.7","0.2857142857142857","0.44","0.21428571428571427","0.39","0.18597236981934112","0.52","101.92457581389772","0.29","0.62","0.05","0.18181818181818182","0.89","0.25167785234899326","0.82","0.16","0.76"
"1605617","1724724","1925556","2313740","2143277","3","5.33","3.92","-2","0.41","-37.5234521575985","0.07","37.5234521575985","0","0.25","0.01","0.3333333333333333","0.63","0","0.01","0.42857142857142855","0.01","75.046904315197","0.86","0.2","0.99","0.25","0.72","0","0","0.4","0.16"
"1605617","1724724","2112578","2313740","1925238","2","7.397","3.55","-6","0.31","-81.11396512099499","0.01","0","0","0","0","0","0","0.6666666666666666","0.98","0.436046511627907","0.01","81.11396512099499","0.77","0.5","0.33","0.5","0.03","0.3073770491803279","0.95","0.8","0.01"
"1605617","1724724","2112579","1724781","2143277","1","0.5","0.28","0","0.46","0","0.46","0","0","","0","","0","","0","1","0","0","1","","0","","0","","0","","0"
"1605617","2112577","2313740","2313734","2143277","1","2.5","0.96","-3","0.39","-120","0","0","0","0","0","0","0","0","0.01","0.5","0","120","0.07","0.75","0.01","","0","0.3333333333333333","0.98","0","1"
"1605617","1724724","2112578","1724781","1925238","9","55.344","31.919999999999998","7","0.65","12.648164209309048","0.64","104.79907487713211","0.68","0.45918367346938777","0.45","0.3333333333333333","0.63","0.40816326530612246","0.83","0.14749262536873156","0.78","92.15091066782307","0.52","0.4148936170212766","0.71","0.4838709677419355","0.04","0.22844089091947462","0.71","0.3404255319148936","0.25"
"1605617","2112577","2313734","2143277","1925238","1","2","0.88","-3","0.39","-150","0","0","0","0","0","0","0","0","0.01","0.5","0","150","0.01","0.75","0.01","0","1","0","0","0","1"
"1605617","1724724","2313740","2143277","1925238","3","12.13","5.52","-6","0.31","-49.4641384995878","0.03","65.95218466611706","0.06","0.5","0.65","0","0","0","0.01","0.38461538461538464","0.01","115.41632316570485","0.1","0.5","0.33","0.4","0.15","0.14662756598240467","0.2","0.6666666666666666","0.02"
"2313738","1724724","2112578","1925556","1724781","2","4.13","2.4299999999999997","4","0.57","96.85230024213075","1","121.06537530266344","0.91","0.8333333333333334","1","0","0","0","0.01","0.25","0.16","24.213075060532688","1","0","1","0.5","0.03","0.3105590062111801","0.96","0.25","0.47"
"1605617","1724724","2112578","1925556","2143277","1","0.5","0.22","0","0.46","0","0.46","0","0","","0","","0","","0","","0","0","1","0","1","0","1","0","0","0","1"
"1724724","2112577","1925556","2313740","2143277","1","1.9","1.33","1","0.49","52.631578947368425","0.97","52.63157894736842","0.01","0","0","0","0","2","1","0","1","0","1","0","1","0","1","0.5","1","0","1"
"1724724","2112577","2112578","1724781","1925238","5","9.86","5.13","-2","0.41","-20.28397565922921","0.2","81.13590263691684","0.21","0.36363636363636365","0.13","0.42857142857142855","0.88","0","0.01","0.21428571428571427","0.32","101.41987829614605","0.3","0.625","0.05","0.2","0.86","0.2","0.55","0","1"
"1724724","2112577","2112578","1925556","1925238","1","1.9","0.72","-4","0.36","-210.5263157894737","0","0","0","0","0","0","0","0","0.01","0.5","0","210.52631578947367","0","1","0","","0","0","0","2","0"
"1724724","2112578","1724781","2143277","1925238","3","6.155","3.7199999999999998","-7","0.28","-113.72867587327376","0","48.7408610885459","0.01","0.2","0.01","0.25","0.31","0.4","0.82","0.25380710659898476","0.15","162.46953696181964","0","0.45454545454545453","0.53","0.8571428571428571","0","0.08333333333333333","0.03","0","1"
"1605617","1724724","2112577","2112579","2313740","1","1","0.48","0","0.46","0","0.46","0","0","","0","","0","","0","1","0","0","1","","0","","0","1","1","","0"
"1605617","1724724","2112577","2112579","1925238","2","6.117","3.49","-8","0.26","-130.78306359326467","0","32.69576589831617","0","0.25","0.01","0.3333333333333333","0.63","0","0.01","0.42857142857142855","0.01","163.47882949158083","0","0.7142857142857143","0.01","0.75","0","0.11261261261261263","0.08","0.2857142857142857","0.37"
"1605617","1724724","1925556","2143277","1925238","5","26.841","13.44","10","0.71","37.25643604932752","0.9","96.86673372825155","0.52","0.5263157894736842","0.73","0.36363636363636365","0.72","0.42105263157894735","0.85","0.28553299492385786","0.07","59.61029767892403","0.97","0.35714285714285715","0.88","0.3333333333333333","0.37","0.31806615776081426","0.97","0.047619047619047616","0.98"
"1724724","2112577","2112578","1925556","1724781","3","7.197","2.2199999999999998","-10","0.22","-138.9467833819647","0","0","0","0","0","0.3333333333333333","0.63","1","0.99","0.6345177664974619","0","138.9467833819647","0.01","0.5833333333333334","0.09","0.3333333333333333","0.37","0.12019230769230768","0.1","0.5","0.07"
"1605617","2112578","1925556","1724781","2143277","2","6.325","3.62","-3","0.39","-47.43083003952569","0.04","0","0","0","0","0.5714285714285714","0.99","0","0.01","0.4166666666666667","0.01","47.43083003952569","0.99","0.3","0.96","0.25","0.72","0.16666666666666666","0.33","0","1"
"1724724","2112577","2313740","2313734","2143277","1","0.9","0.57","-1","0.44","-111.11111111111111","0","0","0","0","0","0","0","0","0.01","0","1","111.11111111111111","0.15","","0","","0","0","0","","0"
"1724724","2112577","1724781","2313734","2143277","1","6.395","3.63","-1","0.44","-15.637216575449571","0.25","78.18608287724786","0.17","0","0","0.5","0.96","2","1","0.21008403361344538","0.34","93.82329945269743","0.48","0.5","0.33","0.25","0.72","0","0","0.3333333333333333","0.27"
"1605617","2112577","2313740","2143277","1925238","1","1.83","1.22","-4","0.36","-218.5792349726776","0","0","0","0","0","0.3333333333333333","0.63","0","0.01","0","1","218.57923497267757","0","0.5","0.33","1","0","0","0","1","0.01"
"1724724","2112577","2313740","2143277","1925238","1","3.965","1.73","-4","0.36","-100.88272383354351","0","0","0","0","0","0","0","0","0.01","0.5","0","100.88272383354351","0.31","0.6666666666666666","0.02","1","0","0.4","1","0","1"
"1605617","2112578","2313740","2143277","1925238","1","1","0.32","0","0.46","0","0.46","0","0","","0","","0","","0","1","0","0","1","","0","","0","1","1","","0"
"1605617","1724724","2112578","1925556","1724781","7","63.49","34.84","12","0.75","18.900614269963775","0.73","91.35296897149156","0.4","0.36585365853658536","0.14","0.2727272727272727","0.39","1","0.99","0.20259319286871963","0.4","72.4523547015278","0.89","0.3888888888888889","0.8","0.2727272727272727","0.61","0.26580861779518744","0.87","0.37777777777777777","0.19"
"1605617","1724724","2112578","1724781","","1","0","0.02","0","0.46","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0"
"2313738","1605617","2112578","1925556","2313740","1","3.4","1.43","-5","0.33","-147.05882352941177","0","0","0","0","0","0","0","0","0.01","0.3333333333333333","0.02","147.05882352941177","0.01","0.75","0.01","0","1","0.2577319587628866","0.84","1","0.01"
"2313738","1605617","2112577","2313734","1925238","2","3.865","1.78","3","0.54","77.61966364812419","0.99","181.11254851228978","1","0.875","1","1","1","0","0.01","0.2","0.42","103.49288486416559","0.26","0.75","0.01","0","1","0.2577319587628866","0.84","1","0.01"
"1605617","1724724","1724781","2143277","1925238","4","16.59","10.96","11","0.73","66.30500301386377","0.99","114.5268233875829","0.84","0.5","0.65","0.125","0.04","0.26666666666666666","0.54","0.15182186234817813","0.76","48.22182037371911","0.99","0.25","0.99","0.4166666666666667","0.12","0.2","0.55","0","1"
"2313738","1605617","1925556","1724781","2143277","3","12.865","6.85","-2","0.41","-15.546055188495918","0.25","85.50330353672754","0.28","0.6","0.92","0","0","1.2","0.99","0.39556962025316456","0.01","101.04935872522347","0.31","0.5625","0.13","0.2","0.86","0.27322404371584696","0.89","0.75","0.01"
"2313738","1605617","2112578","1724781","1925238","1","2.5","1.48","0","0.46","0","0.46","0","0","0","0","0","0","0","0.01","0.5","0","0","1","0","1","0","1","0.6666666666666666","1","0","1"
"2313738","1605617","2112578","1925556","1925238","2","10.86","5.22","12","0.75","110.49723756906079","1","147.32965009208104","0.99","0.5714285714285714","0.86","0.5","0.96","0","0.01","0.06666666666666667","0.99","36.83241252302026","1","0.2222222222222222","0.99","0.14285714285714285","0.95","0.18181818181818182","0.43","0","1"
