"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"1605617","1724724","1925556","1724781","2143277","28","391.287","230.88","31","0.93","7.9225734563121195","0.58","95.58201524712041","0.5","0.46808510638297873","0.49","0.3350253807106599","0.63","0.2765957446808511","0.57","0.21320143271362782","0.33","87.65944179080829","0.63","0.45754716981132076","0.51","0.3193717277486911","0.4","0.23488743130650594","0.75","0.1949685534591195","0.65"
"1605617","1724724","2112578","1925556","1925238","14","99.845","51.71","-22","0.07","-22.034152937052433","0.18","77.11953527968352","0.16","0.4090909090909091","0.25","0.19607843137254902","0.14","0.2857142857142857","0.59","0.2097009482129832","0.35","99.15368821673594","0.35","0.4868421052631579","0.37","0.3111111111111111","0.44","0.23235800344234078","0.74","0.39473684210526316","0.17"
"1605617","1724724","2112577","2313740","1925238","3","2.395","1.33","-2","","-83.50730688935282","","83.50730688935282","","","","","","","","0.5319148936170213","","167.01461377870564","","0.4","","1","","0","","0.6",""
"1605617","2112577","2112578","1925556","1925238","5","11.025","6.9","3","","27.210884353741495","","81.63265306122449","","0.3076923076923077","","0.3333333333333333","","0.15384615384615385","","0.06720430107526881","","54.42176870748299","","0.3333333333333333","","0.5","","0.39184952978056425","","0.6666666666666666",""
"1605617","1724724","2112577","1925556","1925238","7","17.325","9.9","-1","","-5.772005772005772","","57.720057720057724","","0.35714285714285715","","0.1111111111111111","","0","","0.3","","63.4920634920635","","0.4583333333333333","","0.375","","0.4","","0",""
"1605617","2112578","1925556","2143277","1925238","6","9.99","6.5600000000000005","-5","","-50.05005005005005","","40.04004004004004","","0.14285714285714285","","0.16666666666666666","","0.2857142857142857","","0.2757352941176471","","90.09009009009009","","0.125","","0.7142857142857143","","0.2506265664160401","","1.125",""
"2313738","1724724","2112577","2112579","1925238","1","1.465","0.75","-2","","-136.51877133105802","","0","","","","","","","","1","","136.51877133105802","","0.5","","1","","0.3333333333333333","","0",""
"2313738","1605617","1724724","1724781","1925238","7","15.555","8.54","-4","","-25.71520411443266","","38.572806171648985","","0.16666666666666666","","0.2","","0.16666666666666666","","0.352112676056338","","64.28801028608164","","0.3333333333333333","","0.45454545454545453","","0.15889830508474573","","0.13333333333333333",""
"1605617","1724724","2313740","2143277","1925238","6","15.395","7.29","-6","","-38.97369275738876","","90.93861643390711","","0.6363636363636364","","0.3333333333333333","","0","","0.3125","","129.9123091912959","","0.5416666666666666","","0.3333333333333333","","0.10869565217391305","","0.8333333333333334",""
