"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"1587569","1728217","1614758","1694495","1700370","2","8.13","5.27","-7","0.28","-86.10086100861008","0.01","12.300123001230011","0","0","0","0.16666666666666666","0.09","0.2857142857142857","0.59","0.20242914979757087","0.4","98.40098400984009","0.36","0.2857142857142857","0.97","0.2","0.86","0","0","0.5714285714285714","0.04"
"1728217","1614758","1695356","2099025","2287010","1","0.4","0","2","","500","","500","","","","","","","","0","","0","","","","","","","","",""
"1587569","1614758","2099025","2287010","1694495","2","3.125","2.2199999999999998","1","0.49","32","0.87","96","0.5","0","0","0.5","0.96","1.3333333333333333","0.99","0.1736111111111111","0.61","64","0.95","0.2","0.99","0.6666666666666666","0","0.16666666666666666","0.33","0","1"
"1728217","1614758","2287010","1694495","1595048","2","4.545999999999999","3.55","-4","0.36","-87.98944126704797","0","0","0","0","0","0.2","0.16","0","0.01","0","1","87.98944126704797","0.63","0.2857142857142857","0.97","0.6666666666666666","0","0.11261261261261263","0.08","0.2857142857142857","0.37"
"1728217","1614758","1695356","2287010","1694495","2","14.137","6.319999999999999","6","0.62","42.44181933932234","0.93","134.39909457452075","0.97","0.5625","0.84","0.2","0.16","1.5","1","0","1","91.95727523519841","0.52","0.5","0.33","0.25","0.72","0.3968253968253968","0.99","0.75","0.01"
"1728217","1912239","1614758","2099025","1595048","1","0.965","0.78","-2","0.41","-207.2538860103627","0","0","0","0","0","0.5","0.96","0","0.01","0","1","207.25388601036272","0","1","0","","0","0","0","0","1"
"1587569","1728217","2287010","1694495","1700370","1","1.93","1.49","0","0.46","0","0.46","0","0","0","0","0","0","0","0.01","0.5","0","0","1","0","1","0.5","0.03","0","0","0","1"
"1587569","1614758","1695356","2287010","1694495","2","7.23","5.18","-4","0.36","-55.32503457814661","0.02","82.9875518672199","0.24","0.4","0.22","0","0","0.4","0.82","0.25380710659898476","0.15","138.31258644536652","0.01","0.5","0.33","0.5","0.03","0","0","0.25","0.47"
"1728217","1614758","2099025","2287010","1700370","3","32.028","18.39","-14","0.15","-43.71175221681029","0.05","43.71175221681029","0.01","0.24074074074074073","0.01","0.043478260869565216","0.01","0.18518518518518517","0.3","0.14619883040935672","0.79","87.42350443362058","0.64","0.4444444444444444","0.58","0.29411764705882354","0.51","0.19104803493449782","0.49","0.2222222222222222","0.56"
"1587569","1728217","2099025","2287010","1694495","1","1.5","0.99","0","0.46","0","0.46","0","0","0","0","0","0","0","0.01","0","1","0","1","0","1","0","1","0","0","0","1"
"1587569","1728217","1614758","1695356","1694495","2","3.9","2.48","0","0.46","0","0.46","128.2051282051282","0.95","0.75","0.99","0","0","1","0.99","0.2577319587628866","0.13","128.2051282051282","0.03","1.25","0","","0","0.5","1","0","1"
"1614758","2099025","2287010","1694495","1700370","1","2","1.2","-3","0.39","-150","0","0","0","0","0","0","0","0","0.01","0","1","150","0.01","0.75","0.01","0","1","0","0","0","1"
"1587569","1728217","1614758","2287010","1694495","2","4","1.8499999999999999","4","0.57","100","1","225","1","1.1666666666666667","1","","0","0.6666666666666666","0.98","0","1","125","0.04","0.3333333333333333","0.92","0","1","0","0","1","0.01"
"1587569","1728217","1614758","2099025","1700370","4","8.715","7.65","-1","0.44","-11.474469305794607","0.3","103.27022375215147","0.66","0.5714285714285714","0.86","0.25","0.31","0.2857142857142857","0.59","0.11261261261261263","0.92","114.74469305794608","0.11","0.375","0.84","0.5","0.03","0.07204610951008646","0.02","0.16666666666666666","0.74"
"1587569","1728217","1614758","2099025","1694495","2","6.365","3.38","-4","0.36","-62.84367635506677","0.01","78.55459544383346","0.18","0.5","0.65","0.3333333333333333","0.63","0","0.01","0.2857142857142857","0.07","141.39827179890023","0.01","0.7","0.01","0","1","0.14534883720930233","0.2","0.4","0.16"
"1587569","2099025","2287010","1694495","1700370","2","4.265","3.3000000000000003","0","0.46","0","0.46","70.33997655334116","0.09","0.5","0.65","0","0","0","0.01","0.25","0.16","70.33997655334116","0.92","0.14285714285714285","1","0.5714285714285714","0.01","0","0","0.42857142857142855","0.13"
"1728217","1614758","2099025","2287010","1694495","1","3.23","1.89","0","0.46","0","0.46","61.91950464396285","0.04","0","0","0","0","4","1","0.26595744680851063","0.11","61.91950464396285","0.96","0.25","0.99","0.6666666666666666","0","0.2","0.55","0","1"
"1587569","1728217","2099025","1694495","1700370","3","8.26","6.15","-4","0.36","-48.426150121065376","0.04","72.63922518159806","0.11","0.25","0.01","0.3333333333333333","0.63","0.25","0.5","0.1838235294117647","0.54","121.06537530266344","0.06","0.7142857142857143","0.01","1","0","0.3","0.94","0","1"
"1587569","1728217","1614758","2099025","1595048","3","11.788","8.85","-1","0.44","-8.48320325755005","0.33","93.31523583305056","0.45","0.4583333333333333","0.45","0.25","0.31","0.16666666666666666","0.24","0.1889168765743073","0.5","101.7984390906006","0.29","0.45","0.55","0.2","0.86","0","0","0.3","0.34"
"1587569","1614758","2099025","2287010","1595048","2","5.765000000000001","2.83","-3","0.39","-52.038161318300084","0.03","104.07632263660017","0.67","0.6666666666666666","0.98","0","0","0.6666666666666666","0.98","0.3401360544217687","0.02","156.11448395490024","0","0.5833333333333334","0.09","0.3333333333333333","0.37","0","0","0.3333333333333333","0.27"
"1728217","1614758","1695356","2099025","1694495","1","0.93","0.91","0","0.46","0","0.46","0","0","","0","","0","","0","1","0","0","1","0","1","1","0","0.3333333333333333","0.98","0","1"
"1728217","1614758","1695356","2287010","1700370","1","1.865","1.1","-2","0.41","-107.23860589812332","0","107.23860589812332","0.73","0.3333333333333333","0.08","0.5","0.96","0","0.01","0","1","214.47721179624665","0","1.5","0","","0","0","0","2","0"
"1728217","1614758","2099025","2287010","1595048","2","8.595","6.33","-12","0.18","-139.61605584642234","0","46.538685282140776","0.01","0.25","0.01","0.16666666666666666","0.09","0","0.01","0.1111111111111111","0.92","186.1547411285631","0","0.6666666666666666","0.02","0.4","0.15","0","0","0.6666666666666666","0.02"
"1614758","2099025","2287010","1694495","1595048","1","2.5","1.48","-4","0.36","-160","0","80","0.19","0.5","0.65","0","0","0","0.01","0.3333333333333333","0.02","240","0","1.5","0","","0","0","0","0","1"
"1587569","1614758","2287010","1694495","1700370","1","2.663","1.5","2","0.52","75.10326699211416","0.99","75.10326699211416","0.14","0.25","0.01","0.5","0.96","0","0.01","0.2","0.42","0","1","0","1","0.5","0.03","0.3333333333333333","0.98","0","1"
"1587569","1728217","1912239","1695356","1700370","1","1.9","1.92","1","0.49","52.631578947368425","0.97","157.89473684210526","0.99","0.75","0.99","0","0","0","0.01","0","1","105.26315789473684","0.23","0","1","0","1","0","0","2","0"
"1587569","1695356","2099025","2287010","1694495","1","3.9","1.7","-1","0.44","-25.641025641025642","0.15","76.92307692307693","0.16","0.75","0.99","0","0","1","0.99","0.2577319587628866","0.13","102.56410256410258","0.28","1","0","","0","0.5","1","0","1"
"1587569","1728217","1614758","1694495","1595048","2","7.33","5.1","1","0.49","13.642564802182811","0.65","109.14051841746249","0.76","0.5","0.65","0.2","0.16","0.2857142857142857","0.59","0.11261261261261263","0.92","95.49795361527967","0.44","0.4375","0.61","0.2","0.86","0","0","0","1"
"1728217","1912239","1614758","2099025","1700370","1","3.165","1.55","2","0.52","63.191153238546605","0.98","63.191153238546605","0.04","0.25","0.01","0.3333333333333333","0.63","0","0.01","0","1","0","1","0","1","0","1","0.5813953488372093","1","1","0.01"
"1728217","2099025","2287010","1694495","1700370","1","5","3.02","-6","0.31","-120","0","40","0","0.25","0.01","0","0","0","0.01","0.2","0.42","160","0","0.8","0","0","1","0","0","0","1"
"1587569","1728217","1614758","1695356","1700370","1","1.465","1.33","2","0.52","136.51877133105802","1","136.51877133105802","0.98","0.3333333333333333","0.08","0.5","0.96","0","0.01","0","1","0","1","","0","","0","1","1","","0"
"1587569","1614758","2099025","2287010","1700370","1","4.9","2.65","2","0.52","40.816326530612244","0.92","142.85714285714283","0.99","0.625","0.95","0","0","0.5","0.92","0","1","102.04081632653062","0.29","0.5","0.33","0","1","0","0","0","1"
"1728217","1614758","2287010","1694495","1700370","4","50.12","32.879999999999995","2","0.52","3.990422984836393","0.52","73.82282521947326","0.12","0.39285714285714285","0.2","0.21428571428571427","0.19","0.16666666666666666","0.24","0.19614835948644793","0.45","69.83240223463687","0.92","0.36666666666666664","0.86","0.13333333333333333","0.96","0.14378145219266714","0.19","0.13333333333333333","0.85"
"1587569","1614758","1695356","2287010","1700370","2","10.455","7.92","-4","0.36","-38.25920612147298","0.07","114.77761836441893","0.85","0.75","0.99","0.25","0.31","0.25","0.5","0.2525252525252525","0.15","153.0368244858919","0.01","0.5416666666666666","0.18","1","0","0.17899761336515516","0.41","0.3333333333333333","0.27"
"1587569","1614758","2287010","1694495","1595048","1","5","2.57","-1","0.44","-20","0.2","100","0.59","0.625","0.95","0","0","0","0.01","0.2","0.42","120","0.07","0.75","0.01","0","1","0.2","0.55","0","1"
"1587569","1728217","1695356","2287010","1694495","1","6.065","4.27","1","0.49","16.488046166529266","0.7","181.36850783182192","1","0.9","1","0.5","0.96","0.4","0.82","0","1","164.88046166529264","0","0.6428571428571429","0.03","0","1","0","0","0.14285714285714285","0.82"
