"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"1728217","1614758","2099025","2287010","1700370","21","188.018","109.27","-11","0.2","-5.850503675180036","0.37","79.24773160016593","0.18","0.37202380952380953","0.15","0.19327731092436976","0.14","0.2261904761904762","0.43","0.1592936464591298","0.71","85.09823527534598","0.7","0.42857142857142855","0.65","0.36","0.26","0.20043731778425655","0.55","0.20496894409937888","0.62"
"1587569","1728217","1614758","2099025","1595048","18","117.283","74.23","0","0.46","0","0.46","94.64287236854446","0.48","0.5108695652173914","0.68","0.2","0.16","0.2608695652173913","0.53","0.23781212841854935","0.2","94.64287236854446","0.46","0.3730769230769231","0.84","0.42528735632183906","0.1","0.0861383514444739","0.03","0.13846153846153847","0.83"
"1728217","1614758","2099025","2287010","1595048","18","120.596","72.17","-1","0.44","-0.8292148993333112","0.44","100.33500281933065","0.59","0.5606060606060606","0.84","0.14285714285714285","0.06","0.1414141414141414","0.17","0.17301038062283738","0.62","101.16421771866398","0.3","0.4256198347107438","0.66","0.3717948717948718","0.22","0.14285714285714285","0.18","0.2066115702479339","0.61"
"1728217","1614758","2287010","1694495","1595048","16","79.455","47.43","-21","0.07","-26.43005474797055","0.14","61.670127745264615","0.03","0.3230769230769231","0.07","0.26666666666666666","0.37","0.12307692307692308","0.13","0.2826633165829146","0.08","88.10018249323517","0.62","0.375","0.84","0.39622641509433965","0.16","0.13168557536466774","0.14","0.1625","0.75"
"2099024","1614758","2099025","1694495","1595048","1","3.23","2.1","2","","61.919504643962846","","123.8390092879257","","0","","1","","4","","0.42016806722689076","","61.91950464396285","","0.3333333333333333","","0.5","","0.25","","0",""
"1587569","1614758","1695356","2287010","1700370","11","40.965","26.31","-7","0.28","-17.087757842060295","0.23","90.3210057366044","0.38","0.4142857142857143","0.27","0.28","0.42","0.34285714285714286","0.73","0.19888623707239458","0.43","107.40876357866472","0.19","0.45","0.55","0.4782608695652174","0.05","0.15267175572519084","0.23","0.25","0.47"
"1728217","1614758","2099025","1694495","1700370","2","5.43","3.54","7","","128.9134438305709","","165.74585635359117","","0.5","","1","","2.6666666666666665","","0.13297872340425532","","36.83241252302026","","0.3333333333333333","","0","","0.3401360544217687","","0.6666666666666666",""
"2099024","1695356","2287010","1694495","1700370","1","1.365","1.12","-1","","-73.26007326007326","","0","","0","","0.5","","0","","0","","73.26007326007326","","0","","0","","0","","2",""
"2099024","1614758","1695356","2287010","1595048","1","2.5","1.2","-2","","-80","","0","","","","","","","","1","","80","","0.3333333333333333","","0","","0","","0",""
"1587569","1728217","1614758","1694495","1595048","12","54.181","31.54","-26","0.04","-47.98730182167181","0.04","71.9809527325077","0.1","0.3829787234042553","0.18","0.21875","0.2","0.1276595744680851","0.14","0.21998742928975487","0.29","119.96825455417952","0.07","0.6304347826086957","0.04","0.2608695652173913","0.66","0.12010981468771448","0.1","0.2608695652173913","0.44"
"2099024","1587569","2287010","1694495","1700370","1","1","0.43","-2","","-200","","0","","","","","","","","1","","200","","1","","","","0","","0",""
"1587569","1728217","1614758","2099025","1700370","19","55.46","36.04","16","0.81","28.849621348719797","0.84","111.7922827262892","0.81","0.6341463414634146","0.95","0.23809523809523808","0.26","0.34146341463414637","0.72","0.20283975659229211","0.4","82.94266137756942","0.74","0.3723404255319149","0.85","0.4117647058823529","0.13","0.24986118822876183","0.82","0.3404255319148936","0.25"
"1614758","2099025","2287010","1694495","1595048","5","13.195","6.68","-8","","-60.62902614626753","","68.20765441455097","","0.5","","0.3333333333333333","","0.6666666666666666","","0.4742547425474255","","128.8366805608185","","0.6538461538461539","","0.3333333333333333","","0.13333333333333333","","0",""
"2099024","1728217","1695356","1694495","1595048","1","3.598","2.63","-4","","-111.17287381878822","","0","","0","","0","","0","","0.3333333333333333","","111.17287381878822","","0.4","","0.5","","0","","0.4",""
"2099024","1587569","1695356","1694495","1700370","1","2","0.72","0","","0","","0","","","","","","","","1","","0","","0","","0","","0.5","","0",""
"2099024","1695356","2287010","1694495","1595048","1","0.965","1.05","0","","0","","0","","","","","","","","1","","0","","0","","0.5","","0","","0",""
"1587569","1728217","1614758","1695356","1595048","10","27.937","16.44","-3","0.39","-10.73844722053191","0.31","64.43068332319146","0.05","0.29545454545454547","0.04","0.25","0.31","0.2727272727272727","0.56","0.24509803921568626","0.17","75.16913054372337","0.86","0.35714285714285715","0.88","0.4444444444444444","0.08","0.23337222870478413","0.74","0.5714285714285714","0.04"
"1587569","1614758","1695356","2287010","1595048","9","34.11","19.99","-13","0.16","-38.11199061858692","0.07","67.4289064790384","0.07","0.34615384615384615","0.1","0.25","0.31","0.23076923076923078","0.44","0.2952755905511811","0.05","105.54089709762533","0.22","0.4264705882352941","0.66","0.42857142857142855","0.1","0.1392757660167131","0.17","0.20588235294117646","0.61"
"1728217","1614758","1695356","1694495","1700370","2","5.83","3.69","3","","51.45797598627787","","120.06861063464838","","0.5","","0.5","","0.3333333333333333","","0","","68.61063464837049","","0.2857142857142857","","0","","0","","0",""
"2099024","1728217","1614758","1694495","1700370","2","1.865","1.03","1","","53.61930294906166","","53.61930294906166","","","","0","","","","0.6944444444444444","","0","","0","","0.5","","0","","0",""
"1587569","1695356","2287010","1694495","1700370","3","2.852","1.89","-2","","-70.12622720897616","","70.12622720897616","","0","","0.3333333333333333","","0.6666666666666666","","0","","140.25245441795232","","0.5","","0.6666666666666666","","0","","0.25",""
"2099024","1614758","2287010","1694495","1595048","1","4.965","3.5","-2","","-40.28197381671702","","0","","0","","0","","0","","0.4","","40.28197381671702","","0.2","","0.25","","0.16666666666666666","","0",""
"2099024","1587569","1695356","1694495","1595048","1","2.9","1.25","-4","","-137.93103448275863","","0","","0","","0","","0","","0.6666666666666666","","137.93103448275863","","0.5","","0","","0","","1",""
"2099024","1728217","1614758","1695356","1700370","1","2.465","1.43","-5","","-202.8397565922921","","0","","0","","0.5","","0","","0.3333333333333333","","202.8397565922921","","0.8333333333333334","","0","","0","","0",""
