"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"1604847","1604848","1695250","1611973","1732365","10","162.674","87.64","51","0.97","31.35104564958137","0.86","111.26547573674956","0.8","0.583969465648855","0.89","0.36507936507936506","0.72","0.24427480916030533","0.48","0.22862611654615056","0.25","79.9144300871682","0.79","0.4689922480620155","0.46","0.2777777777777778","0.58","0.2739578856897293","0.89","0.10852713178294573","0.9"
"2135969","1604848","1695250","1611973","1732365","8","49.07","26.92","22","0.87","44.833910739759524","0.94","116.16058691664968","0.86","0.5921052631578947","0.9","0.5789473684210527","0.99","0.39473684210526316","0.81","0.275974025974026","0.09","71.32667617689016","0.91","0.40625","0.74","0.4","0.15","0.3518648838845883","0.99","0.34375","0.25"
"1604847","2135969","1695250","1611973","2135962","4","11.716000000000001","6.11","4","0.57","34.141345168999656","0.88","110.95937179924888","0.8","0.45","0.41","0.25","0.31","0.8","0.99","0.06887052341597796","0.98","76.81802663024922","0.84","0.45","0.55","0.2857142857142857","0.56","0.15527950310559005","0.25","0.2","0.63"
"2135969","1604848","1695250","2135949","1611973","1","0.5","0.17","-2","0.41","-400","0","0","0","","0","","0","","0","","0","400","0","1","0","","0","0","0","0","1"
"2135969","1695250","2135949","1611973","1732365","2","1.965","1.47","-2","0.41","-101.78117048346056","0","0","0","0","0","0","0","0","0.01","0","1","101.78117048346056","0.29","0.5","0.33","1","0","0.3333333333333333","0.98","0","1"
"1604847","1604848","1695250","1890319","1732365","1","1.3","0.59","-1","0.44","-76.92307692307692","0.01","153.84615384615384","0.99","","0","","0","","0","0","1","230.76923076923075","0","1","0","1","0","0","0","2","0"
"1604847","1604848","1695250","1890319","2135949","1","3.365","1.46","2","0.52","59.43536404160475","0.98","59.43536404160476","0.03","0","0","0.25","0.31","0.5","0.92","0","1","0","1","","0","","0","1","1","","0"
"2135969","1695250","2135949","1732365","2135962","1","1.43","0.97","-2","0.41","-139.86013986013987","0","0","0","0","0","0.5","0.96","0","0.01","0.3333333333333333","0.02","139.86013986013987","0.01","0.5","0.33","1","0","0","0","0","1"
"1604847","2135969","1695250","1611973","1732365","7","27.91","16.18","12","0.75","42.99534217126478","0.93","132.56897169473308","0.97","0.5161290322580645","0.7","0.5","0.96","0.16129032258064516","0.23","0.056818181818181816","0.99","89.57362952346828","0.59","0.46","0.5","0.42857142857142855","0.1","0.27870680044593094","0.9","0.08","0.95"
"1604847","1604848","1695250","1611973","2135962","7","30.114","19.64","4","0.57","13.28285847114299","0.65","109.58358238692966","0.77","0.48484848484848486","0.57","0.45","0.91","0.12121212121212122","0.12","0.12575452716297789","0.88","96.30072391578668","0.42","0.4482758620689655","0.56","0.6875","0","0.2634099616858237","0.86","0.13793103448275862","0.83"
"1604847","2135969","1695250","1732365","2135962","5","22.255","13.28","-4","0.36","-17.97348910357223","0.22","80.88070096607505","0.21","0.3235294117647059","0.07","0.25","0.31","0.5294117647058824","0.93","0.22255192878338279","0.27","98.85419006964727","0.36","0.5833333333333334","0.09","0.5","0.03","0.2751572327044025","0.89","0.05555555555555555","0.98"
"1604847","2135969","1604848","1695250","1611973","4","13.765","6.11","8","0.67","58.118416273156555","0.98","159.82564475118053","0.99","0.75","0.99","0","0","1.5","1","0.13089005235602094","0.86","101.70722847802396","0.29","0.4","0.76","0.16666666666666666","0.92","0.07102272727272728","0.02","0.7","0.02"
"1604847","2135969","1604848","1890319","2135962","2","3.765","1.87","-2","0.41","-53.12084993359893","0.03","26.560424966799467","0","0","0","0","0","1","0.99","0.2577319587628866","0.13","79.6812749003984","0.8","0.3333333333333333","0.92","0.5","0.03","0.20491803278688525","0.58","0.6666666666666666","0.02"
"2135969","1604848","1695250","1890319","1611973","2","4.965","2.27","-4","0.36","-80.56394763343404","0.01","0","0","0","0","0.16666666666666666","0.09","0","0.01","0","1","80.56394763343404","0.78","0.5","0.33","0","1","0.2","0.55","0","1"
"2135969","1604848","1890319","1611973","1732365","3","4.3","2.75","0","0.46","0","0.46","116.27906976744187","0.86","0.3333333333333333","0.08","0","0","1.3333333333333333","0.99","0","1","116.27906976744187","0.09","1.25","0","","0","0.5","1","0","1"
