"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"1604847","1604848","1695250","1611973","1732365","35","718.077","416.59","246","1","34.258164514390515","0.88","116.42205501638404","0.87","0.5191693290734825","0.71","0.3977272727272727","0.82","0.36741214057507987","0.77","0.1738241308793456","0.61","82.16389050199352","0.75","0.44322033898305085","0.58","0.3016759776536313","0.49","0.23324954075219953","0.74","0.1711864406779661","0.73"
"2135969","1604848","1695250","1611973","1732365","25","89.689","51.370000000000005","26","0.91","28.989062203837708","0.84","117.07121274626766","0.87","0.5763888888888888","0.87","0.4358974358974359","0.89","0.3888888888888889","0.8","0.2143123369362654","0.32","88.08215054242996","0.63","0.5153846153846153","0.26","0.3142857142857143","0.43","0.29527559055118113","0.93","0.23076923076923078","0.53"
"1604847","2135969","1604848","1611973","1732365","22","97.19800000000001","57.12","-15","0.13","-15.432416304862238","0.25","87.45035906088602","0.32","0.42857142857142855","0.32","0.3191489361702128","0.57","0.2987012987012987","0.63","0.20886305848165637","0.35","102.88277536574826","0.27","0.4578313253012048","0.51","0.3076923076923077","0.45","0.17851071064263857","0.41","0.37349397590361444","0.2"
"2135969","1604848","1695250","1732365","2135962","15","36.645","23.19","7","0.65","19.10219675262655","0.73","103.69763951425841","0.66","0.515625","0.69","0.29411764705882354","0.47","0.1875","0.31","0.16810758885686838","0.65","84.59544276163187","0.71","0.4393939393939394","0.6","0.10526315789473684","0.98","0.1271617497456765","0.12","0.09090909090909091","0.93"
"2135969","1604848","1695250","1890319","1732365","2","4.43","3.06","0","","0","","112.86681715575622","","0.625","","0.5","","0","","0.2","","112.86681715575622","","0.8333333333333334","","1","","0.5","","0",""
"2135969","2314995","1604848","1890319","2135962","3","5.2","3.31","-1","","-19.23076923076923","","153.84615384615384","","1.25","","0","","2","","0.3472222222222222","","173.07692307692307","","0.875","","0","","0","","0.5",""
"1604847","2135969","1604848","1695250","2135962","11","22.154999999999998","13.21","-3","","-13.540961408259989","","85.75942225231326","","0.35294117647058826","","0.36363636363636365","","0.4117647058823529","","0.23006134969325154","","99.30038366057325","","0.5588235294117647","","0.2727272727272727","","0.26717557251908397","","0.29411764705882354",""
"1604847","2135969","1695250","1611973","1732365","24","100.833","65.2","19","0.85","18.84303749764462","0.73","101.15735919788165","0.61","0.44565217391304346","0.39","0.3793103448275862","0.77","0.2826086956521739","0.59","0.1482213438735178","0.78","82.31432170023703","0.75","0.3956043956043956","0.78","0.4262295081967213","0.1","0.25015160703456635","0.82","0.1978021978021978","0.64"
"1604847","2135969","1890319","1611973","2135962","5","9.89","5.31","-2","","-20.222446916076844","","50.55611729019211","","0.25","","0.2","","0.25","","0.2525252525252525","","70.77856420626895","","0.3333333333333333","","0.6666666666666666","","0.3462603878116344","","0.1111111111111111",""
