"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"2141077","2141082","1728219","1925221","1912304","5","46.304","32.94","3","0.54","6.478921907394609","0.56","99.34346924671735","0.57","0.475","0.53","0.25","0.31","0.25","0.5","0.15267175572519084","0.75","92.86454733932274","0.5","0.44565217391304346","0.57","0.2903225806451613","0.54","0.14234875444839856","0.18","0.10869565217391304","0.9"
"2141082","2269958","1728219","2141076","1925221","6","24.085","14.79","9","0.69","37.367656217562796","0.9","120.40689225659122","0.9","0.6136363636363636","0.93","0.6363636363636364","0.99","0.13636363636363635","0.16","0.23087071240105542","0.24","83.03923603902844","0.74","0.53125","0.21","0.2222222222222222","0.8","0.36023054755043227","0.99","0.25","0.47"
"2141082","1728219","2141076","1925221","2269974","2","3.495","2.53","0","0.46","0","0.46","85.83690987124464","0.29","0.5","0.65","1","1","1","0.99","0.4098360655737705","0.01","85.83690987124464","0.68","0.2","0.99","0.5","0.03","0","0","0.2","0.63"
"2141082","1728219","2141076","2269959","1912304","1","0","0.05","0","0.46","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0"
"2269958","1728219","2141076","1925221","1912304","1","0.9","0.47","-1","0.44","-111.11111111111111","0","111.11111111111111","0.8","","0","","0","","0","0","1","222.22222222222223","0","1","0","","0","0","0","0","1"
"2269960","1945333","2141077","2269958","2269974","1","0.4","0.1","0","0.46","0","0.46","0","0","","0","","0","","0","","0","0","1","","0","0","1","0","0","","0"
"2141082","1728219","2141076","1925221","1912304","4","18.038","10.81","-11","0.2","-60.98237055105888","0.01","66.52622241933696","0.06","0.4230769230769231","0.3","0.25","0.31","0.15384615384615385","0.2","0.30181086519114686","0.05","127.50859297039582","0.03","0.6176470588235294","0.05","0.2222222222222222","0.8","0.09842519685039369","0.05","0.17647058823529413","0.71"
"2141077","2141082","1728219","1925221","2269974","3","4.43","2.9","-2","0.41","-45.146726862302486","0.05","67.72009029345372","0.07","0.5","0.65","1","1","0","0.01","0.5","0","112.86681715575622","0.12","0.8333333333333334","0","0","1","0.4","1","0","1"
"2141077","2141082","1728219","2269959","1925221","2","4.6","2.75","-9","0.24","-195.6521739130435","0","0","0","0","0","0","0","0","0.01","0.2","0.42","195.6521739130435","0","1.1666666666666667","0","0","1","0","0","1","0.01"
"2141077","2141082","2269959","1925221","1912304","1","1.5","1.23","-2","0.41","-133.33333333333334","0","0","0","0","0","0","0","0","0.01","0.5","0","133.33333333333331","0.02","1","0","","0","0","0","0","1"
"2269960","1728219","2269959","2141083","2269974","1","1.5","1.78","0","0.46","0","0.46","0","0","0","0","0","0","0","0.01","0.5","0","0","1","0","1","0","1","0","0","0","1"
"2141077","2269958","1728219","1912304","2269974","2","0.9650000000000001","0.24000000000000002","-3","0.39","-310.880829015544","0","0","0","","0","","0","","0","","0","310.880829015544","0","0.5","0.33","1","0","0","0","0","1"
"1945333","2141082","2269958","1728219","1912304","1","0","0.03","0","0.46","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0"
"2141082","2141076","2269959","1925221","1912304","2","3.2","2.17","0","0.46","0","0.46","62.5","0.04","0.3333333333333333","0.08","0","0","0","0.01","0.25","0.16","62.5","0.96","1","0","0","1","0.4098360655737705","1","1","0.01"
"2141082","2269958","1728219","1912304","2269974","2","2.8649999999999998","0.54","-1","0.44","-34.904013961605585","0.09","139.61605584642237","0.98","","0","","0","","0","0","1","174.52006980802796","0","0.375","0.84","0.3333333333333333","0.37","0","0","0.5","0.07"
"2141077","2141082","1728219","2141076","2269974","4","15.795","9.45","-11","0.2","-69.64229186451409","0.01","56.98005698005698","0.02","0.45","0.41","0.3333333333333333","0.63","0","0.01","0.375","0.01","126.62234884457106","0.04","0.6428571428571429","0.03","0.16666666666666666","0.92","0.21186440677966098","0.61","0.14285714285714285","0.82"
"2141077","1728219","2269959","1925221","1912304","1","0.965","0.77","0","0.46","0","0.46","0","0","0","0","0","0","0","0.01","0","1","0","1","0","1","0.5","0.03","0","0","0","1"
"2269960","1945333","2269958","2141076","2269974","2","1.965","1.54","-4","0.36","-203.5623409669211","0","0","0","0","0","0.5","0.96","0","0.01","0.3333333333333333","0.02","203.5623409669211","0","1","0","","0","0","0","0","1"
"2141077","2141082","1728219","2141076","1925221","7","39.714999999999996","22.25","14","0.78","35.25116454740023","0.89","120.86113559108651","0.91","0.52","0.71","0.2857142857142857","0.44","0.96","0.99","0.21949078138718173","0.29","85.60997104368627","0.68","0.44285714285714284","0.59","0.3333333333333333","0.37","0.21385799828913601","0.63","0.11428571428571428","0.89"
"2141077","1728219","2141076","2269959","1925221","4","17.29","11.85","-3","0.39","-17.35106998264893","0.23","75.18796992481204","0.14","0.43333333333333335","0.34","0","0","0","0.01","0.16666666666666666","0.66","92.53903990746096","0.51","0.47058823529411764","0.45","0.6","0.01","0.2608695652173913","0.85","0","1"
"2141077","2141082","2269958","1728219","1912304","3","11.530000000000001","6.4","-1","0.44","-8.673026886383347","0.33","121.42237640936686","0.91","0.6428571428571429","0.96","0.3333333333333333","0.63","0.8571428571428571","0.99","0.29325513196480935","0.06","130.0954032957502","0.03","0.7777777777777778","0.01","0.3333333333333333","0.37","0.16835016835016833","0.34","0.2222222222222222","0.56"
"2141077","2141082","1728219","1912304","2269974","3","10.806","6.84","7","0.65","64.77882657782713","0.98","157.32000740329448","0.99","0.75","0.99","0","0","3","1","0.17730496453900707","0.59","92.54118082546734","0.51","0.4090909090909091","0.73","0.25","0.72","0.07763975155279502","0.02","0.18181818181818182","0.69"
"2141077","2141082","2141076","1925221","2141083","1","0.5","0.48","-3","0.39","-600","0","0","0","","0","","0","","0","","0","600","0","1.5","0","","0","0","0","0","1"
