"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"2141077","2141082","2269958","1728219","1925221","14","93.785","57.25","25","0.9","26.65671482646479","0.82","108.75939649197632","0.76","0.59375","0.91","0.225","0.22","0.15","0.19","0.1822017644802455","0.55","82.10268166551154","0.75","0.43478260869565216","0.62","0.36363636363636365","0.24","0.2826404084609774","0.91","0.3188405797101449","0.3"
"2141077","2141082","1728219","2141076","1925221","19","130.118","77.28999999999999","18","0.84","13.833597196390969","0.66","97.60371355231405","0.54","0.41304347826086957","0.27","0.2916666666666667","0.46","0.3130434782608696","0.66","0.18143143143143142","0.56","83.77011635592308","0.72","0.39622641509433965","0.78","0.34782608695652173","0.3","0.21808088818398097","0.66","0.2641509433962264","0.43"
"2141077","1728219","2141076","1925221","1912304","9","81.574","50.85","13","0.76","15.93645033956898","0.69","112.78103317233432","0.82","0.609375","0.93","0.24242424242424243","0.28","0.28125","0.58","0.2089749230092389","0.35","96.84458283276534","0.4","0.4583333333333333","0.51","0.2653061224489796","0.64","0.14767932489451477","0.21","0.2777777777777778","0.39"
"2141077","2141082","1728219","1925221","1912304","7","51.669","36.4","5","0.6","9.676982329830267","0.6","104.51140916216688","0.68","0.5","0.65","0.24","0.27","0.2727272727272727","0.56","0.15442690459849004","0.74","94.8344268323366","0.45","0.47","0.46","0.30303030303030304","0.47","0.1607717041800643","0.29","0.1","0.92"
"2141077","2269958","2118050","2141083","2269974","1","5.944","3.02","-5","","-84.11843876177659","","16.823687752355315","","0","","0.4","","0.5","","0.3807106598984772","","100.9421265141319","","0.5","","0","","0.17006802721088435","","0.5",""
"2269960","2269958","2118050","2141076","2141083","2","6.0600000000000005","3.56","-3","","-49.5049504950495","","49.5049504950495","","0.14285714285714285","","0.5","","0.2857142857142857","","0.11261261261261263","","99.009900990099","","0.5","","0.6666666666666666","","0.2577319587628866","","1",""
"2269958","1728219","2118050","2141076","2269974","1","0.9","0.01","2","","222.22222222222223","","222.22222222222223","","","","","","","","0","","0","","","","","","1","","",""
"2141077","1728219","2141076","1912304","2141083","1","2.163","1.68","-3","","-138.69625520110958","","0","","0","","0.5","","0","","0.25","","138.69625520110958","","0.75","","1","","0.3333333333333333","","0",""
"1945333","2141077","2269958","1728219","2269974","1","0","0.01","0","","","","","","","","","","","","","","","","","","","","","","",""
"2141077","2269958","1728219","2118050","1912304","4","6.308","3.91","1","","15.85288522511097","","63.41154090044389","","0.375","","0","","0.5","","0.17006802721088435","","47.558655675332915","","0","","0.3333333333333333","","0.22831050228310504","","0.8",""
"2269960","2141077","2141082","2141076","2269959","2","4.8","1.9000000000000001","-3","","-62.5","","41.66666666666667","","0.25","","0","","0","","0.2","","104.16666666666667","","1","","0","","0.21008403361344538","","2",""
"2141077","1728219","2118050","2141076","1912304","4","25.898","14.99","5","0.6","19.30651015522434","0.74","84.94864468298711","0.27","0.4","0.22","0.2","0.16","0.08","0.07","0.18820577164366376","0.51","65.64213452776276","0.95","0.2826086956521739","0.97","0.29411764705882354","0.51","0.136986301369863","0.16","0.21739130434782608","0.58"
"2141077","2269958","2141076","1925221","1912304","4","7","3.7300000000000004","-9","","-128.57142857142858","","28.57142857142857","","0.25","","0","","0","","0.3333333333333333","","157.14285714285714","","0.9166666666666666","","0","","0.25","","0",""
"2141077","1728219","2118050","2141076","1925221","5","11.365","6.65","5","","43.994720633523976","","87.98944126704795","","0.5","","0","","0.25","","0.3105590062111801","","43.994720633523976","","0.2777777777777778","","0.14285714285714285","","0.18181818181818182","","0",""
"2269960","2141077","2141076","1925221","2141083","1","2","1.95","-2","","-100","","0","","0","","0","","0","","0","","100","","0.5","","0","","0","","0",""
"2269958","2118050","2141076","1925221","1912304","2","5.93","3.79","-3","","-50.59021922428331","","0","","0","","0.2","","0","","0.25","","50.5902192242833","","0.3","","0.25","","0.16666666666666666","","0",""
"1945333","2141077","2141076","1925221","1912304","1","1.5","0.8","0","","0","","0","","0","","0","","0","","0","","0","","","","","","1","","",""
"2269958","1728219","2141076","1925221","2269974","4","9.195","6.66","1","","10.87547580206634","","76.12833061446437","","0.3333333333333333","","0.4","","0.2222222222222222","","0.2881844380403458","","65.25285481239804","","0.4","","0","","0.25380710659898476","","0.4",""
"2141077","2269958","2118050","2141076","2141083","3","8.833","4.38","-5","","-56.60590965696819","","45.28472772557455","","0.25","","0","","0.5","","0.4504504504504505","","101.89063738254274","","0.625","","0.3333333333333333","","0.3112033195020747","","1.5",""
"2141077","2141076","1925221","1912304","2141083","1","0.4","0","-1","","-250","","0","","","","","","","","","","250","","","","","","0","","",""
"2141077","1728219","2118050","1925221","2141083","2","3.9299999999999997","3.17","-3","","-76.33587786259542","","0","","0","","0.4","","0","","0","","76.33587786259542","","0.3","","0","","0","","0",""
"2269958","1728219","2141076","1925221","1912304","5","15.43","9.3","-8","","-51.84705119896306","","77.7705767984446","","0.5714285714285714","","0.3333333333333333","","1","","0.33156498673740054","","129.61762799740765","","0.7916666666666666","","0.2","","0.2729257641921397","","0.25",""
"2269960","2141082","1728219","2118050","2269974","1","1.632","1.07","-1","","-61.274509803921575","","0","","0","","0","","0","","0.5","","61.274509803921575","","0","","0.5","","0","","2",""
"2269958","1728219","2118050","2141076","1925221","1","1.4","0.77","0","","0","","142.85714285714286","","","","","","","","0.5319148936170213","","142.85714285714286","","1","","","","0","","0",""
"2269958","1728219","2118050","1925221","2269974","1","1.5","1.18","0","","0","","0","","","","","","","","1","","0","","0","","0","","0","","0",""
"2141077","1728219","2118050","1912304","2269974","1","2.5","1.8","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0",""
"2141077","2269958","2118050","2141076","2269974","1","1.5","0.93","-2","","-133.33333333333334","","0","","0","","0","","0","","0.5","","133.33333333333331","","1","","","","0","","0",""
"2269960","2141077","2141082","1728219","2118050","1","1.795","1.76","-3","","-167.13091922005572","","0","","0","","0","","0","","0.5","","167.13091922005572","","0.25","","1","","0","","0.5",""
"2141077","2269958","1728219","2141076","1912304","7","19.66","9.93","-6","","-30.51881993896236","","55.95116988809766","","0.4090909090909091","","0.14285714285714285","","0.18181818181818182","","0.37076271186440674","","86.46998982706002","","0.4","","0.3","","0.27910685805422647","","0.4666666666666667",""
"2269960","1728219","2118050","2141076","2141083","1","2.33","1.48","-4","","-171.67381974248926","","0","","0","","0.5","","0","","0","","171.6738197424893","","1","","","","0.3472222222222222","","2",""
"2141077","2269958","1728219","1925221","2269974","1","0.865","0.3","0","","0","","0","","","","1","","","","0.5319148936170213","","0","","0","","1","","0","","0",""
"2269960","1728219","2118050","2141076","1925221","1","0.4","0","-1","","-250","","0","","","","","","","","","","250","","","","","","0","","",""
"1945333","2269958","1728219","2118050","1925221","1","1.544","1.28","1","","64.76683937823834","","64.76683937823834","","0","","0.3333333333333333","","1","","0","","0","","","","","","1","","",""
"2269958","1728219","2141076","2269959","1925221","4","5.295","3.78","-5","","-94.42870632672333","","37.77148253068933","","0.16666666666666666","","0.2","","0","","0.14285714285714285","","132.20018885741266","","0.5","","0.6666666666666666","","0.14534883720930233","","0.4",""
"2141077","1728219","2141076","1925221","2269974","7","27.605999999999998","17.48","7","0.65","25.356806491342464","0.81","123.16163152937769","0.92","0.6363636363636364","0.96","0.2727272727272727","0.39","0.5","0.92","0.18270401948842874","0.54","97.80482503803522","0.38","0.46296296296296297","0.49","0.4117647058823529","0.13","0.15206812652068127","0.23","0.07407407407407407","0.95"
"2269960","1945333","1728219","2141076","2269974","1","0","0.56","0","","","","","","","","","","","","","","","","","","","","","","",""
"2141082","2269958","1728219","2141076","1912304","4","9.86","5.35","-2","","-20.28397565922921","","70.99391480730223","","0.5833333333333334","","0","","0","","0.45454545454545453","","91.27789046653145","","0.45","","0.6666666666666666","","0.23076923076923078","","0",""
"2141077","1728219","2118050","2141076","2269974","3","7.895","3.79","-4","","-50.664977834072204","","88.66371120962636","","0.5833333333333334","","0.3333333333333333","","0","","0.3333333333333333","","139.32868904369855","","0.6","","0.3333333333333333","","0.09615384615384615","","2",""
"2269960","1728219","2141076","1925221","2141083","1","4.865","2.85","-5","","-102.7749229188078","","0","","0","","0.25","","0","","0.3333333333333333","","102.7749229188078","","0.375","","0","","0","","0.5",""
"2269958","2118050","2141076","1925221","2141083","1","0.5","0.73","0","","0","","0","","","","","","","","1","","0","","","","","","","","",""
"2269960","1728219","2141076","1912304","2141083","1","2","0.88","0","","0","","0","","0","","0","","0","","0.5","","0","","0","","0","","0.5","","0",""
"2269960","1945333","2269958","1728219","1912304","1","1.965","1.83","-3","","-152.67175572519082","","0","","0","","0","","0","","0","","152.67175572519082","","0.75","","1","","0.3333333333333333","","0",""
"2269960","2141082","1728219","2118050","1912304","1","2.965","1.33","-4","","-134.90725126475547","","0","","","","","","","","1","","134.9072512647555","","0.5","","0.5","","0","","0",""
"2269960","2141077","2141076","1925221","1912304","1","3","1.57","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25","","0",""
"2141077","2269958","2118050","1925221","1912304","2","3.395","2.2","2","","58.910162002945505","","58.91016200294551","","0.2","","0.5","","0","","0.16666666666666666","","0","","0","","0.3333333333333333","","0.25","","0",""
