"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"1709961","1930383","1636400","2292907","1688717","9","60.964999999999996","37.510000000000005","-1","0.44","-1.6402854096612811","0.43","95.1365537603543","0.49","0.4791666666666667","0.54","0.5384615384615384","0.98","0.3125","0.66","0.2872062663185379","0.07","96.77683917001559","0.41","0.4666666666666667","0.47","0.2857142857142857","0.56","0.2166377816291161","0.65","0.4666666666666667","0.09"
"1605516","1930383","1636400","2292907","1688717","20","282.663","173.28","-47","0.01","-16.627574178438635","0.24","82.43031454417451","0.23","0.415929203539823","0.28","0.2826086956521739","0.42","0.252212389380531","0.5","0.2323590558884676","0.23","99.05788872261314","0.35","0.478","0.42","0.3150684931506849","0.42","0.1659625829812915","0.32","0.24","0.5"
"1605516","1930383","1636400","2110578","1688717","15","106.92999999999999","66.58","-3","0.39","-2.8055737398297955","0.42","100.0654633872627","0.59","0.489247311827957","0.59","0.34782608695652173","0.67","0.20430107526881722","0.36","0.1978474200696423","0.43","102.87103712709249","0.27","0.47368421052631576","0.44","0.375","0.22","0.17708654142285188","0.4","0.28421052631578947","0.38"
"2110579","1930383","1636400","2292907","1720429","3","7.77","3.9899999999999998","-2","","-25.740025740025743","","102.96010296010296","","0.3","","0.4444444444444444","","0.3","","0","","128.70012870012872","","0.5833333333333334","","0.6666666666666666","","0.20491803278688525","","0.6666666666666666",""
"1709961","1930383","1636400","1688717","1720429","2","2.8","1.24","-1","","-35.714285714285715","","107.14285714285714","","0.5","","0","","1","","0","","142.85714285714286","","0.5","","0","","0","","1",""
"1605516","1930383","1636400","1930380","1688717","15","82.095","48.44","19","0.85","23.143918630854497","0.78","95.01187648456057","0.48","0.4154929577464789","0.27","0.4318181818181818","0.88","0.323943661971831","0.69","0.1897722732720735","0.49","71.86795785370607","0.9","0.3560606060606061","0.88","0.23809523809523808","0.75","0.23948354852144937","0.77","0.24242424242424243","0.49"
"2110579","1605516","1930383","1636400","1688717","6","9.22","4.83","5","","54.22993492407809","","119.30585683297178","","0.2222222222222222","","0.2857142857142857","","0.7777777777777778","","0.0764525993883792","","65.0759219088937","","0","","0.625","","0.13774104683195593","","0.8888888888888888",""
"1605516","1930383","1636400","2110578","1930380","5","17.385","9.959999999999999","-4","","-23.008340523439745","","74.77710670117918","","0.2647058823529412","","0.38461538461538464","","0.23529411764705882","","0.1378676470588235","","97.78544722461892","","0.39473684210526316","","0.3333333333333333","","0.13111888111888112","","0.10526315789473684",""
"2110579","1605516","1930383","2292907","1688717","7","23.567","14.1","10","0.71","42.4322145372767","0.93","118.81020070437475","0.89","0.40476190476190477","0.24","0.46153846153846156","0.93","0.6190476190476191","0.97","0.15762925598991173","0.72","76.37798616709806","0.85","0.34782608695652173","0.9","0.47058823529411764","0.05","0.19788918205804748","0.53","0.13043478260869565","0.85"
"2110579","1930383","1636400","2292907","1688717","11","45.013","25.91","-4","0.36","-8.886321729278208","0.33","88.8632172927821","0.35","0.42424242424242425","0.3","0.35","0.68","0.3939393939393939","0.81","0.26555386949924126","0.11","97.74953902206029","0.38","0.40540540540540543","0.74","0.32","0.4","0.13482280431432975","0.15","0.4864864864864865","0.08"
"1605516","1709961","1636400","2292907","1688717","6","15.992","10.8","-6","","-37.51875937968984","","87.54377188594297","","0.3333333333333333","","0.6666666666666666","","0.1111111111111111","","0.20938023450586266","","125.0625312656328","","0.6428571428571429","","0.125","","0.11261261261261263","","0.2857142857142857",""
"1605516","1709961","1636400","2110578","1688717","4","22.720000000000002","11.89","-8","","-35.2112676056338","","52.816901408450704","","0.2631578947368421","","0.35714285714285715","","0.10526315789473684","","0.31163434903047094","","88.0281690140845","","0.5","","0.2727272727272727","","0.23696682464454977","","0.16666666666666666",""
"1605516","1709961","1930383","1636400","2292907","1","0.9","0.55","-1","","-111.11111111111111","","0","","0","","0","","0","","0","","111.11111111111111","","","","","","0","","",""
"2110579","1605516","1636400","2110578","2292907","3","7.728","3.58","7","","90.57971014492755","","142.33954451345755","","0.5625","","0.6","","0.375","","0.17667844522968199","","51.75983436853002","","0.4","","0.3333333333333333","","0.375","","0",""
"1605516","1930383","1636400","2292907","1720429","6","18.669","10.32","2","","10.712946595961219","","107.12946595961219","","0.6333333333333333","","0.6666666666666666","","0.13333333333333333","","0.30594405594405594","","96.41651936365096","","0.5769230769230769","","0.25","","0.28901734104046245","","0.3076923076923077",""
"2110579","1636400","2110578","2292907","1688717","1","0.965","0.68","0","","0","","0","","0","","0.5","","0","","0","","0","","0","","0","","0","","0",""
"2110579","1605516","2292908","2292907","1688717","1","0.5","0.17","0","","0","","0","","","","","","","","1","","0","","","","","","","","",""
"1930383","2292908","1636400","2292907","1688717","3","9.074","5.63","-4","","-44.081992506061276","","22.040996253030638","","0.14285714285714285","","0.4","","0","","0.4166666666666667","","66.12298875909191","","0.375","","0","","0.1111111111111111","","0",""
"1605516","1930383","2292908","2292907","1688717","1","1.5","0.72","-3","","-200","","0","","0","","0","","0","","0","","200","","1.5","","","","0.5","","0",""
"2110579","1930383","1636400","2292907","2292909","1","2.465","1.86","0","","0","","0","","0","","0","","0","","0.5","","0","","0","","0.5","","0.5","","0",""
"2110579","1605516","1930383","1636400","2110578","2","0.9","0.54","-2","","-222.22222222222223","","0","","0","","0","","0","","0","","222.22222222222223","","","","","","0","","",""
"2110579","1605516","1636400","1688717","1720429","12","127.213","75.27","-18","0.1","-14.149497299804265","0.26","75.46398559895609","0.14","0.35964912280701755","0.13","0.34523809523809523","0.66","0.21052631578947367","0.38","0.19928002057084082","0.42","89.61348289876035","0.59","0.45098039215686275","0.55","0.35","0.29","0.23603461841070025","0.75","0.3235294117647059","0.28"
"1605516","2292908","1636400","2292907","1720429","1","2","1","-2","","-100","","0","","","","","","","","1","","100","","1","","","","0.5","","0",""
"1605516","1636400","2110578","2292907","1688717","1","1.5","0.67","-2","","-133.33333333333334","","0","","","","","","","","1","","133.33333333333331","","1","","","","0.5","","0",""
"1605516","1709961","1636400","2110578","2292907","2","4.529999999999999","3.26","0","","0","","66.22516556291392","","0.2","","0.5","","0.4","","0","","66.22516556291392","","0.25","","0","","0.1838235294117647","","0.25",""
"2110579","1930383","1636400","1930380","1688717","8","17.725","11.440000000000001","-8","","-45.13399153737658","","78.98448519040902","","0.42857142857142855","","0.25","","0.2857142857142857","","0.24084778420038538","","124.1184767277856","","0.59375","","0.375","","0.14763779527559054","","0.1875",""
"2110579","1930383","1636400","1930380","1720429","5","21.739","12.49","-13","","-59.80035880215281","","78.20046920281521","","0.4","","0.23076923076923078","","0.15","","0.12335526315789473","","138.000828004968","","0.675","","0.25","","0.12335526315789473","","0.15",""
"2110579","1605516","1930383","1930380","1720429","2","6.895","4.09","2","","29.006526468455405","","58.01305293691081","","0.25","","0.3333333333333333","","0","","0.1111111111111111","","29.006526468455405","","0.2","","0.25","","0.375","","0",""
"2110579","1930383","2110578","1930380","1720429","1","2.321","0.93","-5","","-215.42438604049977","","0","","0","","0.3333333333333333","","3","","0.3012048192771084","","215.42438604049977","","1.5","","","","0","","2",""
"2110579","1605516","1636400","2292907","2292909","1","1.365","0.72","-1","","-73.26007326007326","","73.26007326007326","","0","","0.5","","1","","0","","146.5201465201465","","1","","","","0","","0",""
"1605516","1930383","1636400","1930380","2292907","10","57.527","35.4","-22","0.07","-38.2429120239192","0.07","81.70076659655466","0.22","0.37","0.15","0.35294117647058826","0.69","0.26","0.53","0.16486810551558753","0.68","119.94367862047386","0.07","0.5952380952380952","0.07","0.25925925925925924","0.67","0.1893939393939394","0.48","0.7380952380952381","0.01"
"2292911","1605516","1636400","2110578","1688717","4","13.259","8.11","-6","","-45.252281469190734","","90.50456293838147","","0.5","","0.5","","0.3","","0.2610966057441253","","135.7568444075722","","0.5833333333333334","","0.2857142857142857","","0.12019230769230768","","0.5",""
"1605516","1636400","2292907","1688717","1720429","1","3.9","2.12","0","","0","","51.28205128205129","","0","","0","","2","","0.5154639175257733","","51.28205128205129","","0.5","","0","","0.5","","0",""
"1605516","1709961","1930383","1688717","1720429","1","0.7","0.33","-2","","-285.7142857142857","","0","","","","","","","","","","285.7142857142857","","1","","1","","0","","1",""
"1605516","1930383","1636400","1720429","2292909","2","2.23","1.05","-1","","-44.84304932735426","","134.5291479820628","","","","","","","","0.3623188405797102","","179.37219730941706","","0.5","","1","","0","","0",""
"2110579","1605516","1930383","1688717","1720429","5","8.122","5.84","10","","123.12238364934746","","172.37133710908643","","0.5","","0.5714285714285714","","0.45454545454545453","","0","","49.24895345973898","","0.2","","0.6","","0.38759689922480617","","0.6",""
"2110579","1930383","1636400","1688717","1720429","8","35.813","19.76","-13","0.16","-36.29966771842627","0.08","94.93759249434562","0.48","0.48333333333333334","0.56","0.4666666666666667","0.94","0.16666666666666666","0.24","0.28761061946902655","0.06","131.2372602127719","0.02","0.6451612903225806","0.03","0.3333333333333333","0.37","0.12376237623762376","0.11","0.3225806451612903","0.29"
"1930383","2292908","1636400","1930380","1688717","1","0.4","0.31","-1","","-250","","0","","","","","","","","","","250","","","","","","0","","",""
"1709961","1930383","1636400","1930380","1688717","5","20.51","15.86","-1","0.44","-4.875670404680643","0.38","73.13505607020964","0.12","0.21428571428571427","0.01","0.3888888888888889","0.79","0.3333333333333333","0.71","0.14245014245014245","0.81","78.01072647489029","0.82","0.3181818181818182","0.94","0.4375","0.09","0.1793400286944046","0.41","0.09090909090909091","0.93"
"2110579","1605516","1930383","1636400","2292910","1","0.9","0.42","-2","","-222.22222222222223","","0","","0","","0","","0","","0","","222.22222222222223","","","","","","0","","",""
"2292911","1930383","1636400","1688717","2292909","1","2","1.47","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.5","","0",""
"2292911","1605516","1930383","1930380","1688717","1","5.13","2.46","-7","","-136.45224171539962","","0","","0","","0.25","","0","","0.3333333333333333","","136.4522417153996","","0.75","","1","","0.3105590062111801","","0.25",""
"2110579","1605516","1636400","2292907","1688717","14","122.047","74.67","-34","0.02","-27.858120232369497","0.13","100.78084672298377","0.6","0.5","0.65","0.3050847457627119","0.51","0.1651376146788991","0.24","0.1819199552197033","0.55","128.63896695535325","0.03","0.7105263157894737","0.01","0.4117647058823529","0.13","0.22700644405389572","0.71","0.25263157894736843","0.46"
"2110579","1605516","1636400","1930380","1688717","6","25.92","15.43","8","0.67","30.864197530864196","0.86","96.4506172839506","0.51","0.4791666666666667","0.54","0.42857142857142855","0.88","0.08333333333333333","0.07","0.24330900243309006","0.18","65.58641975308642","0.95","0.3333333333333333","0.92","0.14285714285714285","0.95","0.18011527377521613","0.42","0.19047619047619047","0.66"
"2110579","1605516","1636400","2110578","2292909","1","1.4","0.07","-3","","-214.2857142857143","","0","","","","","","","","1","","214.28571428571428","","1","","","","0","","2",""
"2110579","1930383","1636400","1688717","2292909","1","1.7","1.02","-4","","-235.29411764705884","","0","","","","0","","","","0.5319148936170213","","235.29411764705884","","","","","","0","","",""
