"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"2125425","1727369","1726674","1698520","1705460","6","63.646","39.66","18","0.84","28.281431668918707","0.84","106.84096408258176","0.72","0.4838709677419355","0.56","0.358974358974359","0.71","0.1935483870967742","0.33","0.12939958592132506","0.87","78.55953241366306","0.81","0.41","0.72","0.0967741935483871","0.98","0.2060035314891112","0.59","0.18","0.7"
"1727369","2125424","2333260","1698520","1705460","5","18.199","10.99","-2","0.41","-10.989614814000769","0.3","71.432496291005","0.1","0.18181818181818182","0.01","0.3888888888888889","0.79","0.36363636363636365","0.76","0.07267441860465117","0.98","82.42211110500575","0.75","0.45454545454545453","0.53","0.14285714285714285","0.95","0.26824034334763946","0.87","0.5454545454545454","0.05"
"1727369","2333260","1698520","1705460","1687578","1","3.939","2.92","2","0.52","50.774308200050775","0.96","50.774308200050775","0.01","0","0","0.6666666666666666","1","0.5","0.92","0.29069767441860467","0.06","0","1","0","1","0.3333333333333333","0.37","0.4","1","0","1"
"2125425","1727369","2125424","2333260","1698520","5","19.549","13.99","-1","0.44","-5.115351168857742","0.38","71.6149163640084","0.1","0.25","0.01","0.26666666666666666","0.37","0.4444444444444444","0.87","0.08503401360544217","0.97","76.73026753286614","0.84","0.5769230769230769","0.1","0","1","0.35","0.99","0","1"
"2125425","1727369","2125424","1698520","1705460","4","13.295","7.48","-1","0.44","-7.5216246709289205","0.35","60.17299736743137","0.03","0.4444444444444444","0.38","0.6","0.99","0","0.01","0.4375","0.01","67.69462203836028","0.94","0.35","0.89","0","1","0.21613832853025935","0.65","0.2","0.63"
"1726674","2125424","2333260","1705460","1687578","1","0.5","0.62","0","0.46","0","0.46","0","0","","0","","0","","0","","0","0","1","0","1","0","1","0","0","0","1"
"2125425","2125424","2333260","1698520","1937033","1","2","1.12","-2","0.41","-100","0","0","0","0","0","0","0","0","0.01","0","1","100","0.33","0.5","0.33","0","1","0","0","0","1"
"2125425","2125424","2333260","1705460","1937033","1","0.7","0.25","0","0.46","0","0.46","0","0","","0","0","0","","0","0","1","0","1","","0","","0","1","1","","0"
"2125425","1727369","1726674","2333260","1698520","5","15.66","8.68","-2","0.41","-12.77139208173691","0.28","83.0140485312899","0.24","0.38461538461538464","0.18","0.25","0.31","0.3076923076923077","0.65","0.16891891891891894","0.65","95.78544061302682","0.43","0.4411764705882353","0.59","0.2","0.86","0.05555555555555555","0.01","0","1"
"1727369","2125424","2333260","1705460","1937033","1","0.5","0.21","0","0.46","0","0.46","0","0","","0","","0","","0","","0","0","1","0","1","0","1","0","0","0","1"
"2125425","1727369","1611483","2125424","1705460","2","7.6000000000000005","4.35","0","0.46","0","0.46","92.10526315789474","0.42","1.5","1","1","1","1.5","1","0.6009615384615384","0","92.10526315789474","0.52","0.5833333333333334","0.09","0","1","0.14285714285714285","0.18","0","1"
