"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"1698611","1937030","1613715","1701183","1946741","10","47.172","28.990000000000002","13","0.76","27.558721275332825","0.83","108.11498346476725","0.75","0.5555555555555556","0.82","0.1","0.02","0.3611111111111111","0.76","0.1774447949526814","0.59","80.55626218943442","0.78","0.3163265306122449","0.94","0.3611111111111111","0.25","0.11589403973509935","0.09","0.20408163265306123","0.62"
"2118063","1937030","1624139","1701183","1913002","19","170.398","109.45","5","0.6","2.9343067406894447","0.5","93.89781570206223","0.46","0.43452380952380953","0.35","0.3904761904761905","0.8","0.125","0.13","0.16490765171503957","0.68","90.96350896137278","0.55","0.378698224852071","0.83","0.34513274336283184","0.31","0.14878184861446903","0.21","0.1893491124260355","0.67"
"2118063","1937030","1613715","1701183","1946741","11","58.089999999999996","38.52","22","0.87","37.872267171630234","0.91","117.0597348941298","0.87","0.5","0.65","0.3888888888888889","0.79","0.09230769230769231","0.08","0.10576414595452141","0.94","79.18746772249958","0.81","0.37755102040816324","0.83","0.3333333333333333","0.37","0.20372526193247964","0.57","0.2653061224489796","0.43"
"2118063","1937030","1613715","1624139","1701183","13","45.588","24.61","-2","0.41","-4.387119417390541","0.39","81.161709221725","0.21","0.532258064516129","0.75","0.058823529411764705","0.01","0.12903225806451613","0.14","0.2680965147453083","0.11","85.54882863911556","0.69","0.3157894736842105","0.94","0.25925925925925924","0.67","0.16257225433526012","0.3","0.5","0.07"
"2118063","1698611","1613715","1624139","1913002","1","0","0.07","0","","","","","","","","","","","","","","","","","","","","","","",""
"2118063","1698611","1937030","1701183","1913002","18","83.704","51.02","-3","0.39","-3.584058109528816","0.4","94.38019688425882","0.47","0.5","0.65","0.25","0.31","0.2923076923076923","0.61","0.2465078060805259","0.17","97.96425499378763","0.37","0.4315068493150685","0.63","0.3829787234042553","0.2","0.16","0.28","0.3424657534246575","0.25"
"2118063","1937030","1624139","1701183","1946741","21","109.48400000000001","63.57","-8","0.26","-7.3070037631069376","0.35","84.03054327572978","0.26","0.422680412371134","0.3","0.125","0.04","0.14432989690721648","0.18","0.1555337262606418","0.74","91.33754703883672","0.54","0.47701149425287354","0.42","0.2549019607843137","0.68","0.19077637690776378","0.49","0.27586206896551724","0.4"
"2118063","1937030","1609823","1701183","1946741","4","10.004000000000001","6.5","-10","","-99.96001599360254","","59.976009596161525","","0.1875","","0.375","","0.625","","0.2272727272727273","","159.93602558976409","","0.6875","","0.6666666666666666","","0.1639344262295082","","0.625",""
"2118063","1937030","1609823","1701183","1913002","6","15.465","8.12","4","","25.864856126737795","","96.99321047526674","","0.5416666666666666","","0","","0.25","","0.06983240223463687","","71.12835434852893","","0.35714285714285715","","0.1111111111111111","","0.16778523489932884","","0.14285714285714285",""
"2118063","1698611","1937030","1624139","1701183","22","221.201","133.71","-42","0.01","-18.987255934647674","0.21","84.99057418366101","0.28","0.4494047619047619","0.41","0.20754716981132076","0.17","0.2857142857142857","0.59","0.2156602521566025","0.31","103.9778301183087","0.25","0.4719387755102041","0.45","0.28205128205128205","0.57","0.15295197308045275","0.23","0.29591836734693877","0.35"
"2118063","1698611","1937030","1609823","1701183","5","31.052","18.61","-16","0.12","-51.52647172484864","0.03","57.96728069045473","0.02","0.27419354838709675","0.02","0.16666666666666666","0.09","0.06451612903225806","0.04","0.11148272017837237","0.92","109.49375241530336","0.17","0.5535714285714286","0.15","0.2","0.86","0.11848341232227487","0.09","0.14285714285714285","0.82"
"1937030","1624139","1609823","1701183","1946741","1","2.465","1.7","0","","0","","0","","0","","0.25","","0","","0","","0","","0","","0","","0","","0",""
"2118063","1698611","1624139","1609823","1946741","2","5.93","4.49","0","","0","","101.1804384485666","","0.42857142857142855","","0.25","","0","","0","","101.1804384485666","","0.5","","0.3333333333333333","","0.14285714285714285","","0",""
"2118063","1698611","1613715","1624139","1701183","13","54.817","32.16","2","0.52","3.6485032015615593","0.51","109.45509604684678","0.77","0.5111111111111111","0.68","0.21428571428571427","0.19","0.4666666666666667","0.89","0.1556662515566625","0.74","105.80659284528522","0.22","0.5425531914893617","0.18","0.3076923076923077","0.45","0.16286644951140067","0.3","0.2127659574468085","0.59"
"1698611","1613715","1609823","1701183","1946741","2","3.2","1.7000000000000002","1","","31.25","","93.75","","0.5","","0","","0.5","","0.29069767441860467","","62.5","","0.5","","0","","0.3333333333333333","","0",""
"1937030","1613715","1624139","1701183","1946741","2","3.03","2.47","-5","","-165.01650165016503","","66.006600660066","","0.5","","0","","0","","0.3333333333333333","","231.02310231023102","","0.625","","1","","0","","0.75",""
"2118063","1613715","1624139","1701183","1946741","3","7.16","4.63","-6","","-83.79888268156425","","41.899441340782126","","0.21428571428571427","","0.3333333333333333","","0","","0.125","","125.69832402234637","","0.42857142857142855","","0.5","","0.1858736059479554","","0.5714285714285714",""
"2118063","1698611","1624139","1609823","1701183","5","4.13","2.18","-7","","-169.49152542372883","","0","","0","","0","","0","","0.4","","169.49152542372883","","0.3333333333333333","","1","","0","","2",""
"2118063","1698611","1613715","1609823","1913002","3","11.49","7.51","5","","43.51610095735422","","121.84508268059182","","0.46153846153846156","","0.25","","0.15384615384615385","","0.06720430107526881","","78.3289817232376","","0.20833333333333334","","0.4","","0.06775067750677508","","0.3333333333333333",""
"2118063","1698611","1937030","1701183","1946741","22","158.278","96.11","-48","0.01","-30.32638774813935","0.11","94.13816196818257","0.47","0.43410852713178294","0.34","0.25","0.31","0.3333333333333333","0.71","0.19134047671113052","0.48","124.46454971632193","0.05","0.5454545454545454","0.17","0.3333333333333333","0.37","0.11904761904761904","0.1","0.3146853146853147","0.31"
"2118063","1698611","1613715","1946741","1913002","4","9.674","5.3999999999999995","-13","","-134.38081455447593","","62.02191440975812","","0.3","","0.16666666666666666","","1.2","","0.2819548872180451","","196.40272896423403","","0.7727272727272727","","0.5","","0","","0.18181818181818182",""
