"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"2126394","1925236","2126404","1708428","2126403","9","150.356","85.76","-22","0.07","-14.631940195269893","0.26","88.45672936231345","0.34","0.4074074074074074","0.25","0.25882352941176473","0.33","0.1925925925925926","0.32","0.18390548372715113","0.54","103.08866955758333","0.27","0.5034013605442177","0.33","0.34146341463414637","0.32","0.1312186216339571","0.14","0.08163265306122448","0.94"
"2126394","1925236","2292673","2126404","1708428","4","31.564","16.35","14","0.78","44.35432771511849","0.94","152.0719807375491","0.99","0.7068965517241379","0.99","0.4166666666666667","0.85","0.3448275862068966","0.73","0.05649717514124294","0.99","107.71765302243061","0.19","0.5535714285714286","0.15","0.26666666666666666","0.64","0.1881720430107527","0.47","0.17857142857142858","0.7"
"2126394","2292676","2292674","2292673","1708428","1","0","0.25","0","0.46","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0"
"2292675","2292676","2292674","2292673","2126404","1","1.865","1.2","-2","0.41","-107.23860589812332","0","107.23860589812332","0.73","","0","","0","","0","0.5319148936170213","0","214.47721179624665","0","0.6666666666666666","0.02","1","0","0","0","0","1"
"2126394","2292676","2292674","2292673","2126403","1","3.43","2.15","-5","0.33","-145.7725947521866","0","0","0","0","0","0.3333333333333333","0.63","0","0.01","0.25","0.16","145.7725947521866","0.01","0.8333333333333334","0","1","0","0.4","1","0","1"
"2292675","2292676","1925231","2292674","2126403","1","1","0.53","-2","0.41","-200","0","0","0","","0","","0","","0","1","0","200","0","1","0","","0","0","0","0","1"
"2292675","1925236","2292674","2292673","2126403","1","1.865","1.62","-4","0.36","-214.47721179624665","0","0","0","0","0","0.5","0.96","0","0.01","0","1","214.47721179624665","0","1","0","1","0","0","0","1","0.01"
"2292675","2292676","1925231","2292674","2126404","1","1","0.25","-2","0.41","-200","0","0","0","","0","","0","","0","1","0","200","0","1","0","","0","0","0","0","1"
"2126394","1925236","1925231","2292674","2126392","1","4","1.9","-8","0.26","-200","0","0","0","0","0","0","0","0","0.01","0.25","0.16","200","0","1","0","0","1","0","0","0","1"
"2126394","1925236","2126404","1708428","2126392","5","28.763","17.7","-10","0.22","-34.7668880158537","0.09","69.53377603170739","0.08","0.41304347826086957","0.27","0.14285714285714285","0.06","0.08695652173913043","0.07","0.25094102885821834","0.15","104.30066404756109","0.25","0.48","0.41","0.4117647058823529","0.13","0.16949152542372883","0.35","0.4","0.16"
"1925236","2292676","2292674","2126404","2126392","1","1.6","0.68","1","0.49","62.5","0.98","62.5","0.04","0","0","0","0","3","1","0","1","0","1","","0","","0","1","1","","0"
"2126394","1925236","2292674","1708428","2292679","2","6.93","3.1","-2","0.41","-28.860028860028862","0.12","86.58008658008657","0.31","0","0","0","0","3","1","0.3012048192771084","0.05","115.44011544011545","0.1","0.2857142857142857","0.97","0.4","0.15","0.10245901639344263","0.05","0.5714285714285714","0.04"
"2126394","2292676","2292674","2292673","2292679","1","4.265","2.41","0","0.46","0","0.46","93.78663540445487","0.46","0","0","0.5","0.96","2","1","0.21008403361344538","0.34","93.78663540445487","0.48","0.6666666666666666","0.02","0","1","0.4","1","0","1"
"2292675","2292676","2292674","2292673","2126403","2","7.695","5.18","-3","0.39","-38.98635477582846","0.07","77.97270955165692","0.17","0.625","0.95","1","1","0.5","0.92","0.4504504504504505","0","116.95906432748538","0.09","0.5","0.33","0.5","0.03","0.20242914979757087","0.56","0.2857142857142857","0.37"
"2126394","1925236","2292673","1708428","2126392","5","30.855","17.74","-18","0.1","-58.3373845405931","0.02","77.78317938745745","0.17","0.4","0.22","0.125","0.04","0.2","0.35","0.2046783625730994","0.38","136.12056392805056","0.01","0.6060606060606061","0.06","0.3333333333333333","0.37","0.028312570781426953","0","0.09090909090909091","0.93"
