"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"2126394","1925236","2126404","1708428","2126403","23","322.075","186.04","3","0.54","0.9314600636497711","0.47","96.56135993169293","0.52","0.4671280276816609","0.49","0.25862068965517243","0.33","0.19377162629757785","0.33","0.1781783880096426","0.58","95.62989986804315","0.43","0.45394736842105265","0.53","0.32786885245901637","0.38","0.13853367433930094","0.17","0.14473684210526316","0.81"
"2126394","1925236","2292673","2126404","1708428","9","67.687","37.18","28","0.92","41.36687990308331","0.92","135.91974825298803","0.98","0.6349206349206349","0.96","0.41379310344827586","0.85","0.25396825396825395","0.51","0.15655105973025046","0.73","94.55286834990471","0.46","0.49137931034482757","0.35","0.2727272727272727","0.61","0.17141350210970463","0.36","0.1896551724137931","0.67"
"2126394","2292676","2292674","2292673","1708428","1","0","0.25","0","","","","","","","","","","","","","","","","","","","","","","",""
"2292675","2292676","2292674","2292673","2126404","2","2.765","1.33","-4","","-144.6654611211573","","72.33273056057867","","","","","","","","0.6944444444444444","","216.998191681736","","0.6666666666666666","","1","","0","","0.6666666666666666",""
"2126394","2292676","2292674","2292673","2126403","1","3.43","2.15","-5","","-145.7725947521866","","0","","0","","0.3333333333333333","","0","","0.25","","145.7725947521866","","0.8333333333333334","","1","","0.4","","0",""
"2292675","2292676","1925231","2292674","2126403","2","2.9","1.61","1","","34.48275862068966","","137.93103448275863","","1","","","","0","","0.3333333333333333","","103.44827586206897","","1","","","","0.3472222222222222","","2",""
"2292675","1925236","2292674","2292673","2126403","1","1.865","1.62","-4","","-214.47721179624665","","0","","0","","0.5","","0","","0","","214.47721179624665","","1","","1","","0","","1",""
"2292675","2292676","1925231","2292674","2126404","4","5.895","2.44","-8","","-135.70822731128075","","16.963528413910094","","0","","0.3333333333333333","","0.6666666666666666","","0.436046511627907","","152.67175572519085","","0.42857142857142855","","0.5","","0","","0.42857142857142855",""
"2126394","1925236","1925231","2292674","2126392","1","4","1.9","-8","","-200","","0","","0","","0","","0","","0.25","","200","","1","","0","","0","","0",""
"2126394","1925236","2126404","1708428","2126392","18","124.372","74.44","-10","0.22","-8.04039494419966","0.34","85.22818640851638","0.28","0.46226415094339623","0.46","0.23809523809523808","0.26","0.10377358490566038","0.1","0.218556119571348","0.29","93.26858135271604","0.49","0.39565217391304347","0.78","0.3670886075949367","0.23","0.16765540366262574","0.34","0.2782608695652174","0.39"
"1925236","2292676","2292674","2126404","2126392","1","1.6","0.68","1","","62.5","","62.5","","0","","0","","3","","0","","0","","","","","","1","","",""
"2126394","1925236","2292674","1708428","2292679","10","43.342","26.22","14","0.78","32.301232061280054","0.87","129.20492824512021","0.96","0.5921052631578947","0.9","0.2857142857142857","0.44","0.42105263157894735","0.85","0.08156606851549755","0.98","96.90369618384015","0.4","0.39285714285714285","0.79","0.3333333333333333","0.37","0.12792397660818713","0.13","0.30952380952380953","0.32"
"2126394","2292676","2292674","2292673","2292679","1","4.265","2.41","0","","0","","93.78663540445487","","0","","0.5","","2","","0.21008403361344538","","93.78663540445487","","0.6666666666666666","","0","","0.4","","0",""
"2292675","2292676","2292674","2292673","2126403","2","7.695","5.18","-3","","-38.98635477582846","","77.97270955165692","","0.625","","1","","0.5","","0.4504504504504505","","116.95906432748538","","0.5","","0.5","","0.20242914979757087","","0.2857142857142857",""
"2126394","1925236","2292673","1708428","2126392","20","125.132","75.78","-10","0.22","-7.991560911677269","0.34","87.10801393728222","0.32","0.42857142857142855","0.32","0.34615384615384615","0.66","0.11764705882352941","0.12","0.20361415118350726","0.39","95.09957484895949","0.45","0.43103448275862066","0.64","0.3013698630136986","0.49","0.13013698630136986","0.13","0.21551724137931033","0.58"
"2126394","2292674","2292673","2126404","1708428","2","4.13","2.11","2","","48.426150121065376","","121.06537530266344","","0.5","","1","","2","","0.3472222222222222","","72.63922518159806","","0.3333333333333333","","0.5","","0.20491803278688525","","0.6666666666666666",""
"2292675","1925231","2292674","1708428","2292679","1","1.9","0.84","-2","","-105.26315789473685","","0","","0","","0","","0","","0.5","","105.26315789473684","","0","","0","","0","","2",""
"2126394","1925236","1925231","1708428","2126403","8","28.796","18.53","6","0.62","20.83622725378525","0.76","100.70843172662872","0.6","0.3620689655172414","0.13","0.19047619047619047","0.13","0.3103448275862069","0.65","0.05720823798627002","0.99","79.87220447284345","0.79","0.27941176470588236","0.97","0.4444444444444444","0.08","0.07568113017154389","0.02","0.17647058823529413","0.71"
"2126394","1925231","2126404","1708428","2126403","2","3.295","2.52","-7","","-212.44309559939302","","0","","0","","0.6666666666666666","","0","","0.4","","212.44309559939302","","0.625","","0.5","","0","","0.5",""
"2292675","2292676","1925231","2126404","2126392","1","0.9","0.65","-1","","-111.11111111111111","","0","","0","","0","","0","","0","","111.11111111111111","","","","0","","0","","",""
"2292675","2126394","2292674","2126404","2292679","2","4.43","3.42","-2","","-45.146726862302486","","0","","0","","0.2","","0","","0.16666666666666666","","45.146726862302486","","0.2","","0.3333333333333333","","0","","0",""
"2292675","2292676","2292674","2126404","2126403","1","0.965","0.55","-2","","-207.2538860103627","","0","","0","","0","","0","","0","","207.25388601036272","","0.5","","1","","0","","0",""
"2126394","1925236","2292673","1708428","2126403","12","65.812","40.52","-17","0.11","-25.8311554123868","0.15","85.0908648878624","0.28","0.3706896551724138","0.15","0.34146341463414637","0.64","0.27586206896551724","0.57","0.17712550607287447","0.59","110.9220203002492","0.15","0.5","0.33","0.21212121212121213","0.83","0.10598834128245892","0.06","0.2833333333333333","0.38"
