fullName,teamMarket,playerId,height
Brandi Williams,LMU (CA),967516,66
Kelsey Rees,Oregon St.,1581533,77
Yvonne Ejim,Gonzaga,1582594,73
Sela Heide,Oregon St.,1587570,79
Ornela Muca,Pepperdine,1587569,67
Megan Harkey,Pepperdine,1595048,78
Sol Castro,San Francisco,1603853,73
McKelle Meek,Portland,1604847,67
Emme Shearer,Portland,1604848,72
Ava Ranson,San Diego,1605516,70
Liz Smith,Pacific,1605617,69
Tayla Dalton,Gonzaga,1606381,69
Mia Vuksic,San Francisco,1611483,70
Irena Korolenko,Santa Clara,1609823,72
Alexis Mark,Portland,1611973,72
Mia Curtis,Santa Clara,1613715,69
Malia Mastora,Pepperdine,1614758,70
Maud Huijbens,Gonzaga,1615275,75
Hannah Rapp,Santa Clara,1624139,69
Anna Eddy,Portland,1614761,69
Kylie Horstmeyer,San Diego,1636400,72
Naudia Evans,LMU (CA),1687478,66
Seynabou Thiam,San Francisco,1687578,78
Carly Heidger,LMU (CA),1688590,75
Truitt Reilly,San Diego,1688717,74
Emerita Mashaire,Pepperdine,1694495,72
Maisie Burnham,Portland,1695250,72
Helena Friend,Pepperdine,1695356,72
Paula Reus Piza,LMU (CA),1696172,73
Esther Little,Gonzaga,1698593,74
Freja Werth,San Francisco,1698520,73
Bree Salenbien,Gonzaga,1698598,74
Kaya Ingram,Santa Clara,1698611,68
Olivia Pollerd,Santa Clara,1701183,74
Maggie Vick,Pepperdine,1700370,74
Emma Trawally Porta,San Francisco,1705460,73
AJ Marotte,Oregon St.,1714604,73
Claire Gallagher,San Diego,1709961,71
Tara Wallack,Washington St.,1708428,74
Ava Toone,LMU (CA),1717813,73
Anaya James,Pacific,1724724,69
Courtney Wristen,San Diego,1720429,74
Elizabeth Elliott,Pacific,1724781,73
Aya Kéita,San Francisco,1726674,69
Lorena Barbosa,San Francisco,1726668,77
Debora Dos Santos,San Francisco,1726673,72
Cami Fulcher,San Francisco,1727369,68
Makena Mastora,Pepperdine,1728217,69
Kennedy Johnson,Saint Mary's (CA),1728219,71
Trista Hull,Portland,1732365,74
Natalie Fraley,Portland,1890319,73
Ines Bettencourt,Gonzaga,1907334,69
Catarina Ferreira,Oregon St.,1898783,72
Melesungu Afeaki,Saint Mary's (CA),1912304,74
Georgia Grigoropoulou,Santa Clara,1913002,75
Abigail Shoff,Saint Mary's (CA),1925221,72
Kyra Gardner,Washington St.,1925231,71
Lauren Glazier,Pacific,1925238,76
Astera Tuhina,Washington St.,1925236,69
Sydney Ward,Pacific,1925556,72
Jayden Rhodes,San Diego,1930380,71
Hallie Rhodes,San Diego,1930383,71
Malia Latu,Santa Clara,1937030,68
Marina Hernandez,San Francisco,1937033,74
Alana Goodchild,Santa Clara,1946741,74
Sasha Murphy,Saint Mary's (CA),1945333,70
Ella Brubaker,Pepperdine,2099025,72
Lauren McCall,San Diego,2110579,66
Claire O'Connor,Gonzaga,2111086,72
Stella Szabo,Pacific,2112577,71
Malia Tharpe,San Diego,2110578,72
Nyah Lowery,Pacific,2112578,71
Ali'a Matavao,LMU (CA),2114254,72
Ella Wedin,Saint Mary's (CA),2118050,73
Amelie Sitterud,LMU (CA),2118062,73
Jamie Kent,Pacific,2112579,72
McKynnlie Dalan,Gonzaga,2118009,73
Maya Hernandez,LMU (CA),2118064,72
Kennedie Shuler,Oregon St.,2125273,70
Madison Naro,Santa Clara,2118063,67
Susana Yepes,Oregon St.,2125274,72
Luana Leite,San Francisco,2125425,67
Elle Papahronis,San Francisco,2125424,71
Candace Kpetikou,Washington St.,2126392,75
Eleonora Villa,Washington St.,2126394,68
Rhyan Mogel,Portland,2135969,70
Lainey Spear,Portland,2135962,74
Jenna Villa,Washington St.,2126404,73
Dyani Ananiev,Portland,2135949,73
Alex Covill,Washington St.,2126403,78
Zeryhia Aokuso,Saint Mary's (CA),2141082,70
Maia Jones,Saint Mary's (CA),2141077,70
Emily Foy,Saint Mary's (CA),2141076,73
Marina Radocaj,Pacific,2143277,75
Tiara Bolden,Oregon St.,2146751,71
Nadia Bernard,Saint Mary's (CA),2141083,76
Jada Hunter,Saint Mary's (CA),2269958,70
Allison Clarke,LMU (CA),2291259,71
Marta Alsina,Washington St.,2292674,71
Mauriana Hashemian-Orr,Saint Mary's (CA),2269960,67
Edie Clarke,Saint Mary's (CA),2269974,76
Zawadi Ogot,LMU (CA),2291264,71
Chloe Sotell,Pepperdine,2287010,72
Charlotte Abraham,Washington St.,2292673,72
Amy Kurkowski,Saint Mary's (CA),2269959,73
Jean Chiu,Washington St.,2292675,67
Dayana Mendes,Washington St.,2292679,74
Alice Dart,Washington St.,2292676,70
Dresha Moore,San Diego,2292907,72
Lilly Amor,San Diego,2292908,71
Erica Carr,San Diego,2292909,75
Paris Santacaterina,San Diego,2292911,67
Christabel Osarobo,Gonzaga,2303027,71
Vera Gunaydin,Gonzaga,2303021,69
Allie Turner,Gonzaga,2303025,68
Ally Schimel,Oregon St.,2308978,70
Cloe Vecina,Oregon St.,2308979,68
Madison Watts,LMU (CA),2310642,70
Tyla Fautua,Pacific,2313740,72
Tiffany Barbosa,Portland,2314995,70
Ella Zimmerman,Portland,2314994,76
Daria Nestorov,Pacific,2313738,64
Luisa Anderegg,Pacific,2313734,74
Angeliki Ziaka,San Francisco,2333260,72
Mali Ennis,Saint Mary's (CA),2269981,70
Kiana Moniz,San Francisco,2333257,65
Lexi Boles,LMU (CA),1691965,75
Lauren Grover,Santa Clara,2311525,73
Layla Curry,LMU (CA),1933449,69
Gabby Harris,Santa Clara,2357876,71
Elisa Mehyar,Oregon St.,2308976,77
Ella Hopkins,Gonzaga,2111089,75
Eva Ruse,San Diego,2292910,74
Emma Strelein,Portland,1695257,71
Mari Somvichian,LMU (CA),2118049,64
Lucia Navarro,Oregon St.,2126122,72
Addi Melone,Pepperdine,2099024,63
Hailey Johnson,Pepperdine,1912239,69
