"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"2303025","2303021","2303027","1698593","2118009","1","1.83","0.84","-3","0.39","-163.93442622950818","0","0","0","0","0","1","1","0","0.01","0.3333333333333333","0.02","163.9344262295082","0","1","0","1","0","0.3472222222222222","0.98","2","0"
"2303025","1606381","2303027","1698593","1582594","3","5.365","3.51","-1","0.44","-18.63932898415657","0.22","18.63932898415657","0","0","0","0.3333333333333333","0.63","0.6666666666666666","0.98","0.3401360544217687","0.02","37.27865796831314","1","0.25","0.99","0","1","0.3333333333333333","0.98","0","1"
"2303025","1907334","2111086","1582594","2118009","2","2.3649999999999998","2.2","0","0.46","0","0.46","84.56659619450318","0.27","0.3333333333333333","0.08","0","0","0","0.01","0","1","84.56659619450318","0.71","0","1","0.5","0.03","0","0","1","0.01"
"1606381","1907334","1698593","1698598","2118009","3","2","1.1","-4","0.36","-200","0","0","0","0","0","0","0","0","0.01","0","1","200","0","1","0","","0","0.3333333333333333","0.98","0","1"
"2303025","1606381","1698593","1582594","2118009","4","5.359999999999999","3.71","2","0.52","37.3134328358209","0.9","111.9402985074627","0.81","0.21428571428571427","0.01","0.6666666666666666","1","0.5714285714285714","0.95","0.10245901639344263","0.94","74.6268656716418","0.87","0.6666666666666666","0.02","0","1","0.36764705882352944","0.99","0.3333333333333333","0.27"
"1606381","1907334","1698593","1582594","2118009","3","4.365","2.21","6","0.62","137.4570446735395","1","229.09507445589918","1","1","1","1","1","0.5","0.92","0","1","91.63802978235968","0.53","0.5","0.33","0","1","0.2","0.55","0","1"
"1907334","2111086","1698593","1698598","1615275","3","4.865","3.49","-2","0.41","-41.109969167523126","0.06","61.66495375128468","0.03","0.5","0.65","0.5","0.96","0","0.01","0.5","0","102.7749229188078","0.27","0.6666666666666666","0.02","0","1","0.20491803278688525","0.58","0.6666666666666666","0.02"
"1606381","1907334","1698593","1698598","1582594","10","31.704","18.63","12","0.75","37.85011355034065","0.91","104.0878122634368","0.67","0.575","0.87","0.3","0.5","0.6","0.96","0.24038461538461536","0.19","66.23769871309614","0.94","0.4375","0.61","0.17647058823529413","0.9","0.2992383025027203","0.94","0.16666666666666666","0.74"
"2303025","1606381","1698593","1698598","1615275","7","30.756999999999998","18.64","1","0.49","3.251292388724518","0.51","136.55428032642976","0.98","0.75","0.99","0.18181818181818182","0.11","0.19230769230769232","0.32","0.12422360248447203","0.89","133.30298793770524","0.02","0.6060606060606061","0.06","0.25","0.72","0.05643340857787811","0.01","0.030303030303030304","0.99"
"2303025","1606381","2303027","1698593","2118009","1","0.9","0.2","0","0.46","0","0.46","222.22222222222223","1","","0","","0","","0","0","1","222.22222222222223","0","1","0","","0","0","0","0","1"
"1606381","1907334","2111086","1582594","1615275","3","4.5649999999999995","3.7199999999999998","-8","0.26","-175.24644030668128","0","0","0","0","0","0","0","0","0.01","0.5","0","175.24644030668128","0","0.5","0.33","0.3333333333333333","0.37","0","0","0.6","0.03"
