"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"1687478","967516","2291259","1688590","2118064","10","343.619","222.91","-20","0.08","-5.820399919678481","0.37","98.36475864256631","0.55","0.4199395770392749","0.29","0.2777777777777778","0.4","0.25075528700906347","0.5","0.09815469179426776","0.95","104.1851585622448","0.25","0.5159744408945687","0.26","0.37349397590361444","0.22","0.20025091681142634","0.55","0.134185303514377","0.84"
"967516","2291259","2291264","1688590","2118062","4","6.83","4.05","6","0.62","87.84773060029282","1","190.33674963396777","1","0.875","1","0","0","1.5","1","0.23148148148148145","0.23","102.48901903367495","0.28","0.5","0.33","0.5","0.03","0","0","1.2","0"
"1687478","2291259","2291264","2118064","2118062","4","7.069","4.8","9","0.69","127.31645211486773","1","169.7552694864903","1","0.6","0.92","0.5","0.96","1.2","0.99","0.20746887966804978","0.36","42.43881737162258","0.99","0.125","1","0.42857142857142855","0.1","0.1838235294117647","0.44","0.25","0.47"
"967516","2291259","2291264","1688590","2118064","5","8.369","6.87","5","0.6","59.744294419882905","0.98","83.64201218783607","0.25","0.3","0.04","0.3333333333333333","0.63","0.2","0.35","0","1","23.89771776795316","1","0.125","1","0.42857142857142855","0.1","0.3333333333333333","0.98","0","1"
"2118049","1687478","967516","1688590","2118062","1","2","1.5","-2","0.41","-100","0","0","0","0","0","0","0","0","0.01","0","1","100","0.33","0.5","0.33","0","1","0","0","0","1"
"1687478","2291259","2291264","1688590","2118064","6","18.012","8.79","-10","0.22","-55.5185431934266","0.02","111.03708638685322","0.8","0.5","0.65","0.5833333333333334","0.99","0.2777777777777778","0.57","0.12931034482758622","0.87","166.5556295802798","0","1","0","0","1","0.29585798816568043","0.93","1.3333333333333333","0"
"1687478","967516","1688590","2118064","2118062","1","0.965","0.72","0","0.46","0","0.46","0","0","0","0","1","1","0","0.01","0.5","0","0","1","","0","","0","1","1","","0"
"2118049","1687478","2291264","2118064","2118062","1","1","0.68","-2","0.41","-200","0","0","0","","0","","0","","0","1","0","200","0","1","0","","0","0","0","0","1"
"2118049","1687478","967516","2118064","2118062","1","0.7","0.3","-1","0.44","-142.85714285714286","0","0","0","0","0","0","0","0","0.01","0","1","142.85714285714286","0.01","","0","","0","0","0","","0"
"2118049","2291259","2291264","1717813","2118062","1","0.5","0.57","-3","0.39","-600","0","0","0","","0","","0","","0","","0","600","0","1.5","0","","0","0","0","0","1"
"1687478","967516","2291259","2291264","1688590","2","6.9","4.5600000000000005","6","0.62","86.95652173913044","1","144.92753623188406","0.99","0.6666666666666666","0.98","0","0","0.3333333333333333","0.71","0.12690355329949238","0.88","57.971014492753625","0.98","0.5","0.33","0","1","0.3333333333333333","0.98","0","1"
"1687478","2291259","2291264","1688590","2118062","4","3.365","1.72","1","0.49","29.717682020802375","0.85","148.58841010401187","0.99","0.6666666666666666","0.98","0.5","0.96","0.6666666666666666","0.98","0","1","118.87072808320951","0.07","1","0","","0","0.5","1","0","1"
"1687478","967516","2291259","1688590","1717813","3","6.195","3.6199999999999997","-1","0.44","-16.142050040355123","0.24","80.71025020177562","0.2","0.16666666666666666","0.01","0.375","0.76","0.2222222222222222","0.41","0.09191176470588235","0.96","96.85230024213075","0.4","0.5","0.33","0","1","0","0","0.5","0.07"
"1687478","967516","2291259","2291264","2118062","1","3.295","2.95","-3","0.39","-91.04704097116844","0","0","0","0","0","0.25","0.31","0","0.01","0","1","91.04704097116844","0.55","0.2","0.99","0.5","0.03","0","0","0.4","0.16"
"1687478","967516","2291264","1688590","1717813","2","7.930000000000001","4.779999999999999","-6","0.31","-75.66204287515762","0.01","63.05170239596468","0.04","0.2777777777777778","0.02","0.14285714285714285","0.06","0","0.01","0","1","138.7137452711223","0.01","0.42857142857142855","0.65","0.25","0.72","0","0","0.7142857142857143","0.01"
"1687478","967516","1688590","2118064","1717813","1","2","0.58","0","0.46","0","0.46","0","0","0","0","","0","0","0.01","0.5","0","0","1","","0","0","1","1","1","","0"
"2118049","967516","2291259","1688590","2118062","2","4.4","2.16","0","0.46","0","0.46","45.45454545454545","0.01","0","0","0","0","2","1","0.6147540983606558","0","45.45454545454545","0.99","0.5","0.33","0","1","0.5","1","0","1"
"2118049","967516","2291259","2118064","2118062","1","1.3","0.62","-2","0.41","-153.84615384615384","0","0","0","0","0","0","0","0","0.01","0","1","153.84615384615384","0.01","","0","","0","0","0","","0"
"1687478","967516","2291264","1717813","2118062","1","2.4","1.05","-1","0.44","-41.66666666666667","0.06","41.66666666666667","0.01","0","0","0","0","2","1","0.3472222222222222","0.02","83.33333333333334","0.73","0.5","0.33","0","1","0","0","0","1"
"2118049","2291259","2291264","1688590","2118062","1","0.5","0.32","0","0.46","0","0.46","0","0","","0","","0","","0","","0","0","1","0","1","0","1","0","0","0","1"
